N	3gram	Vygotskiy_	Tvorches
1	и т д	6	17
2	в том что	20	11
3	о том что	8	8
4	в конечном счете	1	6
5	не может быть	3	6
6	и т п	7	5
7	в самом деле	29	5
8	в наше время	2	5
9	до сих пор	6	4
10	с точки зрения	11	4
11	в первой части	1	4
12	с самого начала	10	4
13	дело не в	1	3
14	в таком случае	1	3
15	сами по себе	3	3
16	точно так же	3	3
17	том что в	1	3
18	в отличие от	1	3
19	это значит что	2	3
20	во всяком случае	6	3
21	как и в	1	3
22	с другой стороны	5	3
23	и все же	1	3
24	и не может	1	3
25	что он не	4	2
26	в данном случае	5	2
27	и в другом	2	2
28	и тут же	1	2
29	заключает в себе	1	2
30	для того чтобы	17	2
31	что у него	2	2
32	но при этом	1	2
33	и в конце	2	2
34	не потому что	1	2
35	в глубине души	1	2
36	в этом плане	1	2
37	потому что он	3	2
38	и в самом	15	2
39	та же самая	3	2
40	к тому же	2	2
41	в высшей степени	1	2
42	несмотря на все	1	2
43	так как он	1	2
44	то это означало	1	2
45	да и не	1	2
46	таким образом и	1	2
47	не то что	4	2
48	по самой своей	1	2
49	и всякий раз	1	2
50	в свою очередь	3	2
51	вместе с тем	3	2
52	заключается в том	10	2
53	только то что	3	2
54	можно сказать что	1	2
55	на этот вопрос	1	2
56	и та же	3	2
57	на самом деле	3	2
58	в этом романе	1	2
59	так же как	2	2
60	и что в	2	2
61	мы уже говорили	4	2
62	не так как	1	2
63	так сказать в	1	1
64	это имеет место	2	1
65	а в плане	1	1
66	и как раз	1	1
67	в романе в	1	1
68	одного из них	2	1
69	если мы перейдем	1	1
70	он говорит что	2	1
71	мы узнаем в	1	1
72	имеет в виду	1	1
73	и как бы	2	1
74	перед мысленным взором	1	1
75	как будто бы	1	1
76	странно ли что	1	1
77	из этого рассказа	3	1
78	том что это	1	1
79	имеет место в	2	1
80	но тот же	1	1
81	они представляют собой	1	1
82	мы все время	3	1
83	во всей ее	2	1
84	и когда она	2	1
85	о том как	3	1
86	в применении к	1	1
87	том смысле что	1	1
88	в этой морали	1	1
89	попавших в беду	1	1
90	в согласии с	1	1
91	целый ряд других	1	1
92	рассказа и в	1	1
93	что оно не	1	1
94	то или иное	1	1
95	в первый раз	2	1
96	в этом месте	1	1
97	он не может	1	1
98	во всей этой	1	1
99	он не понимает	1	1
100	в себе всю	1	1
101	так например в	2	1
102	том и другом	1	1
103	говорить о том	3	1
104	так что они	1	1
105	и мы не	1	1
106	и в свою	1	1
107	когда вся история	1	1
108	и если бы	1	1
109	мы знаем что	2	1
110	то что может	1	1
111	потому что в	2	1
112	автор как бы	1	1
113	ничего общего с	2	1
114	а между тем	1	1
115	чего он не	1	1
116	смысле что это	1	1
117	но как же	1	1
118	мы никогда не	1	1
119	бросается в глаза	2	1
120	это не просто	3	1
121	так ли это?	1	1
122	к своим героям	1	1
123	и тем самым	1	1
124	целом ряде случаев	1	1
125	в душе человека	1	1
126	кто из них	1	1
127	а с другой	1	1
128	знать об этом	1	1
129	и как мы	1	1
130	характерно для трагедии	1	1
131	и того же	1	1
132	означало бы что	1	1
133	потому что не	1	1
134	что это не	1	1
