N	3gram	Nazirov_Tr	Problemy
1	то же время	5	26
2	в то же	5	26
3	и т п	1	18
4	не может быть	1	14
5	но в то	2	11
6	в конце концов	1	11
7	в самом деле	1	9
8	по замыслу достоевского	2	9
9	с самого начала	1	9
10	во всяком случае	1	9
11	в том что	2	8
12	и не может	1	8
13	в мире достоевского	1	7
14	и в этом	1	7
15	в отличие от	2	6
16	как и все	1	6
17	том что он	1	6
18	хотя бы и	1	5
19	сам по себе	1	5
20	в высшей степени	1	5
21	но все же	2	5
22	тем не менее	1	4
23	так и в	3	4
24	а между тем	1	4
25	смысле этого слова	1	4
26	о том что	2	4
27	как и в	1	4
28	в той же	1	3
29	в братьях карамазовых	1	3
30	но при этом	1	3
31	в данном случае	2	3
32	не только не	1	3
33	и в самом	2	3
34	все же не	1	3
35	в этом случае	1	3
36	если б я	1	3
37	и до конца	1	3
38	что он не	1	2
39	и с другим	1	2
40	то что он	1	2
41	я не хочу	1	2
42	но и на	1	2
43	потому что сам	1	2
44	что все это	1	2
45	между этими двумя	2	2
46	записках из подполья	1	2
47	в столкновение с	1	2
48	в записках из	2	2
49	к тому что	1	2
50	не в силах	2	2
51	романа достоевского в	1	2
52	в одном из	1	2
53	как и его	1	2
54	у него нет	1	2
55	с начала и	1	2
56	начала и до	1	2
57	и он сам	1	1
58	с первого же	2	1
59	униженных и оскорбленных	16	1
60	у него есть	1	1
61	и даже отчасти	1	1
62	и как бы	2	1
63	на всем протяжении	1	1
64	это как бы	1	1
65	также что все	1	1
66	он вообще не	1	1
67	в известной степени	1	1
68	с ним она	1	1
69	для чего же	1	1
70	по сравнению с	1	1
71	и сам автор	1	1
72	прежде всего необходимо	1	1
73	я очень хорошо	1	1
74	одно из самых	1	1
75	и если б	1	1
76	и пусть пусть	1	1
77	и входят в	1	1
78	голядкина в двойнике	1	1
79	создается впечатление что	1	1
80	не мудрено что	2	1
81	ориентацией в мире	1	1
82	о чем он	2	1
83	но несмотря на	1	1
84	вместо того чтобы	1	1
85	и вместе с	1	1
86	точно так же	2	1
87	в этом мире	1	1
88	а как самоцель	1	1
89	но как в	1	1
90	и петра верховенского	1	1
91	для самого автора	1	1
92	в связи с	1	1
93	но уже не	1	1
94	в своей книге	1	1
95	вам ничего не	1	1
96	в самом тоне	1	1
97	за то что	1	1
98	о золотом веке	1	1
99	из подполья это	1	1
100	же время он	1	1
101	то и он	1	1
102	быть по замыслу	1	1
103	мы бы сказали	1	1
104	не только к	1	1
105	ивана карамазова в	1	1
106	в исповеди ставрогина	1	1
107	но у него	1	1
108	может быть не	1	1
109	кто он есть	1	1
110	но в конце	1	1
111	и в частности	2	1
112	в чем же	1	1
113	петра верховенского с	1	1
114	к ивану карамазову	1	1
115	для него была	1	1
116	могут быть отнесены	1	1
117	и то в	1	1
118	понятно что в	1	1
119	же время с	1	1
120	и то что	1	1
121	значение для понимания	1	1
122	не могут быть	1	1
123	с отцом и	1	1
124	он сам сознает	1	1
125	в виде отдельных	1	1
126	это и есть	1	1
127	после того как	1	1
