N	2gram	Savitsky_P	Vvedenie
1	и т	3	45
2	т е	3	40
3	т д	1	39
4	в том	9	38
5	в этом	10	35
6	и в	14	35
7	может быть	5	30
8	том что	4	30
9	не только	17	26
10	для того	3	23
11	того чтобы	1	22
12	также и	1	20
13	не может	4	19
14	то что	4	19
15	потому что	3	18
16	но также	4	16
17	только в	7	16
18	со стороны	2	16
19	представляет собой	1	14
20	в общем	2	14
21	что в	4	13
22	в самом	1	13
23	и именно	1	13
24	и не	12	13
25	в нем	3	13
26	в его	2	12
27	того что	2	12
28	xix в	1	12
29	точки зрения	3	12
30	как на	2	12
31	то же	9	11
32	в ее	2	11
33	по себе	4	11
34	в данном	1	11
35	этом смысле	1	11
36	ясно что	1	11
37	прежде всего	3	10
38	не в	5	10
39	вопрос о	1	10
40	между тем	3	10
41	но в	9	10
42	представляют собой	1	9
43	все же	1	9
44	из этих	1	9
45	но не	3	9
46	и как	3	9
47	не менее	2	9
48	в истории	1	9
49	это не	3	8
50	в качестве	9	8
51	именно в	2	8
52	о котором	1	8
53	с другой	5	8
54	представить себе	1	7
55	и то	1	7
56	в применении	1	7
57	как и	1	7
58	но и	6	7
59	было бы	6	7
60	только как	1	7
61	как бы	4	7
62	все это	2	6
63	его в	1	6
64	с тем	3	6
65	в какой	1	6
66	вместе с	1	6
67	в которых	5	6
68	же время	7	6
69	и это	2	6
70	применении к	1	6
71	хотя бы	8	6
72	и что	1	6
73	могут быть	3	6
74	в то	7	6
75	а в	4	6
76	связь между	1	5
77	уже в	1	5
78	хотя и	3	5
79	науки и	1	5
80	что и	1	5
81	другой стороны	1	5
82	в них	2	5
83	в г	1	5
84	что не	1	5
85	не есть	1	5
86	одно из	1	5
87	культуры в	2	5
88	во всяком	1	5
89	и тем	2	5
90	а не	2	5
91	говорить о	2	5
92	есть и	1	5
93	в различных	1	5
94	на основании	1	5
95	она есть	3	5
96	не просто	1	5
97	есть не	2	5
98	всяком случае	1	5
99	только что	1	4
100	с одной	3	4
101	тогда когда	1	4
102	с точки	3	4
103	как раз	2	4
104	в результате	1	4
105	в виде	2	4
106	в себе	3	4
107	из двух	1	4
108	в котором	4	4
109	заключается в	3	4
110	и ее	1	4
111	как она	1	4
112	да и	2	4
113	сравнению с	1	4
114	должен быть	1	4
115	чтобы понять	1	4
116	еще не	1	4
117	не имеет	1	4
118	в каждом	1	4
119	одной стороны	3	4
120	по сравнению	2	4
121	связана с	1	4
122	взгляда на	2	4
123	не вполне	1	4
124	отличие от	1	4
125	в и	1	4
126	в отличие	1	4
127	в области	11	4
128	само по	1	4
129	из них	2	4
130	и к	4	3
131	с е	1	3
132	с этим	2	3
133	собственном смысле	1	3
134	культурного развития	1	3
135	что с	1	3
136	можно говорить	1	3
137	и здесь	1	3
138	и на	1	3
139	этой области	1	3
140	и вот	2	3
141	обе эти	1	3
142	именно как	2	3
143	что это	1	3
144	не как	1	3
145	в с	4	3
146	в отношении	10	3
147	в этих	1	3
148	если бы	4	3
149	а также	4	3
150	в силу	2	3
151	том виде	1	3
152	история и	1	3
153	относящиеся к	1	3
154	в собственном	1	3
155	одновременно и	1	3
156	половины xix	1	3
157	и теми	1	3
158	нисколько не	1	3
159	в известном	1	3
160	в каком	1	3
161	xx в	1	3
162	бы и	1	3
163	на этой	1	3
164	и других	2	3
165	и есть	2	3
166	стороны и	2	3
167	в значительной	2	3
168	же как	1	3
169	в ней	6	3
170	которых не	1	3
171	и уже	1	3
172	в частности	2	3
173	об отношении	1	3
174	только на	1	3
175	не с	1	3
176	в этой	1	3
177	в начале	2	3
178	как оно	1	3
179	так же	1	3
180	и наоборот	1	3
181	идет речь	1	3
182	работы в	1	3
183	известном смысле	1	3
184	наряду с	3	3
185	ответа на	1	3
186	на нее	1	3
187	в своем	4	3
188	может оказаться	1	3
189	или иной	1	3
190	одна из	2	3
191	для этого	1	3
192	что уже	1	3
193	гораздо более	1	3
194	никогда не	1	3
195	или иным	1	2
196	государства и	1	2
197	должна была	1	2
198	и другие	1	2
199	находятся в	1	2
200	что оно	1	2
201	должна быть	1	2
202	мы не	3	2
203	время в	2	2
204	не нужно	2	2
205	вопросу о	1	2
206	прийти к	1	2
207	ни к	1	2
208	и ранее	1	2
209	которой в	1	2
210	мысли и	1	2
211	какой бы	1	2
212	а затем	1	2
213	сопоставлении с	1	2
214	себя в	1	2
215	для них	2	2
216	не столько	2	2
217	из числа	1	2
218	в формах	1	2
219	них и	1	2
220	не было	2	2
221	в сопоставлении	2	2
222	сказалось в	1	2
223	и с	2	2
224	исторической действительности	1	2
225	которое в	2	2
226	как явление	1	2
227	например в	2	2
228	и без	3	2
229	следует понимать	1	2
230	в ряду	2	2
231	и при	1	2
232	казалось бы	1	2
233	которые были	1	2
234	во всех	2	2
235	этих двух	1	2
236	и чем	1	2
237	и потому	4	2
238	но как	1	2
239	мы можем	1	2
240	а с	1	2
241	что мы	3	2
242	на свои	1	2
243	что каждая	1	2
244	в отношениях	1	2
245	значительной мере	2	2
246	мы должны	4	2
247	что если	1	2
248	именно на	1	2
249	в прошлом	1	2
250	отношении к	5	2
251	каждый из	1	2
252	литературы и	1	2
253	может ли	2	2
254	одно и	1	2
255	должно быть	2	2
256	тем более	2	2
257	иной раз	1	2
258	что именно	1	2
259	на то	1	2
260	бы ее	1	2
