N	2gram	Nazirov_Vr	Hudozhes
1	в качестве	1	31
2	в мире	2	24
3	и в	8	23
4	не только	9	20
5	в том	3	20
6	при этом	4	19
7	может быть	4	19
8	в частности	1	18
9	и не	5	16
10	тогда как	2	15
11	но и	7	14
12	но не	1	13
13	а в	2	13
14	в себе	2	13
15	в этом	8	12
16	то же	5	12
17	так и	1	12
18	и его	3	12
19	как бы	4	11
20	точки зрения	2	11
21	в его	3	11
22	но в	6	10
23	своего рода	1	9
24	в душе	1	9
25	том что	3	9
26	с другой	1	9
27	не может	2	9
28	себя в	1	8
29	в то	5	8
30	что в	7	7
31	в самом	1	7
32	в своей	2	7
33	и т.п	2	7
34	же время	5	7
35	по своей	1	7
36	отношение к	2	7
37	другой стороны	1	6
38	уже не	2	6
39	с ее	1	6
40	с его	3	6
41	в ее	1	6
42	а также	2	6
43	в нем	6	6
44	в виду	4	5
45	что он	4	5
46	не менее	2	5
47	я с	1	5
48	как к	1	5
49	для него	2	5
50	того что	1	5
51	прежде всего	1	5
52	в их	1	5
53	самим собой	1	5
54	тем самым	1	5
55	то что	7	5
56	могут быть	1	5
57	место в	2	5
58	отношения к	2	4
59	из которого	1	4
60	еще не	2	4
61	говорить о	1	4
62	и т.д	1	4
63	к которому	1	4
64	в своем	3	4
65	и то	2	4
66	это не	4	4
67	его в	3	4
68	и как	3	4
69	в этих	1	4
70	так в	2	4
71	между тем	5	4
72	он не	3	4
73	и что	8	4
74	в форме	1	4
75	далеко не	3	4
76	и о	3	4
77	однако в	1	4
78	в силу	1	4
79	хотя и	1	4
80	в той	2	3
81	в момент	2	3
82	о чем	2	3
83	и сам	1	3
84	в романе	6	3
85	в жизни	1	3
86	как и	6	3
87	их в	2	3
88	никто не	1	3
89	тем не	1	3
90	к нему	1	3
91	потому что	1	3
92	отношении к	1	3
93	в одном	1	3
94	как правило	1	3
95	это отношение	1	3
96	во всей	1	3
97	таким образом	2	3
98	человека к	1	3
99	по преимуществу	1	3
100	с точки	2	3
101	как раз	2	3
102	связи с	3	3
103	но он	3	3
104	в таком	1	3
105	как говорит	1	3
106	в связи	3	3
107	по своему	1	3
108	во всех	1	3
109	в русской	3	3
110	в рассказе	1	3
111	в свою	2	3
112	не будет	1	3
113	одно и	1	3
114	этом смысле	1	3
115	того же	1	3
116	человека с	2	3
117	одного и	1	3
118	в целом	1	3
119	и ее	2	3
120	один из	1	2
121	русской литературе	3	2
122	рассказ о	1	2
123	с ним	4	2
124	из которых	1	2
125	задолго до	1	2
126	в году	18	2
127	в них	2	2
128	заключается в	1	2
129	на свою	1	2
130	именно в	1	2
131	как в	1	2
132	дома и	1	2
133	роль в	1	2
134	отличается от	1	2
135	в итоге	1	2
136	в известном	2	2
137	в каком	1	2
138	о том	4	2
139	свою очередь	1	2
140	это и	1	2
141	не могли	1	2
142	совпадает с	1	2
143	на основе	2	2
144	не всегда	1	2
145	не могло	1	2
146	речь идет	3	2
147	вслед за	1	2
148	и это	2	2
149	так же	4	2
150	еще один	1	2
151	об этом	5	2
152	я думаю	1	2
153	одна из	2	2
154	не все	1	2
155	глаза в	1	2
156	он и	1	2
157	не просто	1	2
158	только о	1	2
159	никогда не	2	2
160	начиная с	2	2
161	то в	1	2
162	но на	1	2
163	войне и	1	2
164	несмотря на	4	2
165	в литературе	1	2
166	и маргариты	1	2
167	все это	4	2
168	уже говорилось	1	2
169	у него	5	2
170	в повести	2	2
171	в войне	1	2
172	одним из	3	2
173	я не	3	2
174	в сторону	1	2
175	в чем	3	2
176	тем более	2	2
177	о себе	3	2
178	но как	2	2
179	а с	2	2
180	в комедии	1	2
181	быть и	1	2
182	не с	1	2
183	человека и	1	2
184	идет о	1	2
185	в этой	2	2
186	известном смысле	1	2
187	и мире	1	2
188	тот кто	1	2
189	столь же	2	2
190	из этого	1	2
191	отнюдь не	2	2
192	в особенности	1	1
193	все что	1	1
194	для всех	1	1
195	можно говорить	1	1
196	тургенева в	7	1
197	одним словом	1	1
198	достоевского в	7	1
199	этот закон	1	1
200	если в	1	1
201	живет в	1	1
202	в литературной	1	1
203	героя в	1	1
204	произведения это	1	1
205	вопросу о	1	1
206	или а	1	1
207	что это	1	1
208	от нас	1	1
209	в другой	1	1
210	говорит о	1	1
211	одному из	1	1
212	сама жизнь	1	1
213	судьбы они	1	1
214	основного смысла	1	1
215	и наказании	1	1
216	и другими	1	1
217	к реальному	1	1
218	быть может	1	1
219	за это	1	1
220	начинается с	1	1
221	и даже	6	1
222	он уже	1	1
223	его произведений	1	1
224	тем что	3	1
225	этого в	1	1
226	в составе	1	1
227	то время	1	1
228	героев и	1	1
229	нам уже	1	1
230	меня в	1	1
231	новая форма	1	1
232	преступлении и	1	1
233	в соответствии	1	1
234	с такими	1	1
235	в бою	1	1
236	тому назад	1	1
237	вместе с	2	1
238	все же	6	1
239	наполеона в	1	1
240	не имеет	1	1
241	но у	1	1
242	да и	1	1
243	ему и	1	1
244	о котором	1	1
245	с героем	1	1
246	в это	2	1
247	для публики	1	1
248	у достоевского	4	1
249	которой не	1	1
250	но мы	1	1
251	на первый	2	1
252	по крайней	1	1
253	первый взгляд	1	1
254	с этим	1	1
255	сам же	1	1
256	нам не	1	1
257	года на	1	1
258	эту сторону	1	1
259	в котором	6	1
260	писал он	1	1
261	содержания в	1	1
262	сложности и	1	1
263	во многих	1	1
264	жизни и	1	1
265	из своего	1	1
266	к вопросу	1	1
267	не об	1	1
268	точно так	1	1
269	о своем	1	1
270	е годы	1	1
271	периоды его	1	1
272	в истории	4	1
273	каждый из	1	1
274	до того	1	1
275	автора в	1	1
276	к ним	2	1
277	просьбы о	1	1
278	соответствии с	1	1
279	у себя	1	1
280	привлекает внимание	1	1
281	ее не	1	1
282	затем в	1	1
283	ключ к	1	1
284	той же	1	1
285	за него	1	1
286	до конца	1	1
287	с нею	2	1
288	только при	1	1
289	раз и	1	1
290	том же	2	1
291	тем это	1	1
292	не имело	1	1
293	в мировой	1	1
294	уже по	1	1
295	друг друга	1	1
296	лишь один	1	1
297	крайней мере	1	1
298	из них	2	1
299	едва ли	1	1
300	человека но	1	1
301	может как	1	1
302	могли быть	2	1
303	говорилось выше	1	1
304	именно к	1	1
305	в преступлении	1	1
306	что они	1	1
307	в свое	1	1
308	только не	1	1
309	со мной	1	1
310	сюжет в	1	1
311	они не	1	1
312	автору и	1	1
313	в эпизоде	1	1
314	оценке его	1	1
315	время и	2	1
316	собой в	1	1
317	так он	1	1
318	души и	1	1
319	романе достоевского	1	1
320	чем у	1	1
321	для нас	4	1
322	и от	1	1
323	вышел в	1	1
324	иными словами	1	1
325	и есть	1	1
326	мы находим	1	1
327	тому же	1	1
328	раз в	3	1
329	но с	1	1
330	не было	5	1
331	сговор с	1	1
332	на нее	1	1
333	всего романа	1	1
334	но для	1	1
335	такое же	1	1
