N	4gram	Propp_Isto	Problema
1	и тем не менее	2	15
2	не что иное как	1	14
3	в то время как	3	12
4	есть не что иное	1	11
5	и т д и	1	9
6	т д и т	1	8
7	но в таком случае	1	7
8	д и т д	1	7
9	свидетельствует о том что	1	5
10	в том смысле что	1	5
11	тем не менее в	1	5
12	одно и то же	2	4
13	указывает на то что	1	4
14	в том числе и	2	4
15	так же как и	4	4
16	в тех случаях когда	1	3
17	как мы видели выше	1	3
18	и вместе с тем	1	3
19	как мы увидим ниже	3	3
20	с этой точки зрения	2	3
21	с одной стороны и	1	3
22	не сам по себе	1	3
23	но тем не менее	1	2
24	не только то что	1	2
25	как мы только что	1	2
26	и т д все	2	2
27	мы не будем здесь	2	2
28	ничего не говорит о	1	2
29	внимание на то что	1	2
30	только в том что	1	2
31	мы до сих пор	2	2
32	при более подробном анализе	1	1
33	то это было бы	1	1
34	и с другой стороны	1	1
35	и т д в	1	1
36	и т д мы	3	1
37	в то же время	1	1
38	может быть только тогда	1	1
39	между небом и землей	1	1
40	речи о том чтобы	1	1
41	а не потому что	1	1
42	мы только что видели	1	1
43	в русской и в	1	1
44	и т д здесь	1	1
45	вопрос о том что	1	1
46	и в русской и	1	1
47	в таких случаях в	1	1
48	но и тем что	1	1
49	быть только тогда когда	1	1
50	дело вовсе не в	1	1
51	до сих пор не	1	1
52	состоит в том что	1	1
53	как один из видов	1	1
54	еще ничего не говорит	1	1
55	и т д конечно	1	1
56	сколько бы мы ни	1	1
57	указать еще на одну	1	1
58	даже если бы мы	2	1
59	но это уже не	1	1
60	в том чтобы быть	1	1
61	и то что и	1	1
62	об этом мы скажем	1	1
63	что у него есть	1	1
64	до сих пор говорили	1	1
65	только для того чтобы	1	1
66	с представлением о смерти	1	1
67	он не может быть	1	1
68	во всех этих случаях	2	1
69	никак не может быть	1	1
70	здесь как и в	2	1
