N	3gram	Potebnia_M	Tvorches
1	в то же	3	25
2	то же время	3	24
3	и т д	6	17
4	там же с	7	12
5	в том что	18	11
6	о том что	1	8
7	не может быть	11	6
8	и т п	4	5
9	в наше время	1	5
10	по отношению к	13	5
11	до сих пор	5	4
12	по крайней мере	6	4
13	с точки зрения	3	4
14	дело в том	3	4
15	с самого начала	5	4
16	это как бы	1	3
17	в таком случае	4	3
18	сами по себе	8	3
19	точно так же	1	3
20	в отличие от	1	3
21	это значит что	1	3
22	во всяком случае	7	3
23	как и в	3	3
24	с другой стороны	7	3
25	и все же	1	3
26	и не может	1	3
27	может быть назван	1	2
28	заключает в себе	6	2
29	для того чтобы	4	2
30	тем не менее	10	2
31	важную роль в	1	2
32	что у него	1	2
33	то есть не	3	2
34	так и в	5	2
35	не имеют для	1	2
36	но при этом	1	2
37	не потому что	1	2
38	а потому что	2	2
39	не могут быть	5	2
40	несмотря на все	1	2
41	не то что	1	2
42	но это не	2	2
43	в связи с	2	2
44	в одном из	2	2
45	в свою очередь	8	2
46	вместе с тем	1	2
47	не только для	2	2
48	заключается в том	1	2
49	только то что	1	2
50	в каждом человеке	1	2
51	и многое другое	1	2
52	на этот вопрос	2	2
53	все же не	1	2
54	на самом деле	2	2
55	так же как	1	2
56	не только в	3	2
57	как бы ни	4	2
58	и что в	3	2
59	не так как	1	2
60	далеко не сразу	1	1
61	что у нас	1	1
62	лишь в том	1	1
63	тогда как в	1	1
64	потому что я	1	1
65	что в каждом	1	1
66	и как бы	4	1
67	на деле же	1	1
68	дойти до того	1	1
69	не одну свою	1	1
70	имеет место в	1	1
71	так можно выразиться	1	1
72	по себе а	1	1
73	о том как	1	1
74	в применении к	3	1
75	том смысле что	2	1
76	в один момент	1	1
77	он вовсе не	1	1
78	если же в	1	1
79	что в одном	1	1
80	в ответ на	1	1
81	это не противоречит	1	1
82	при этом что	1	1
83	д и т	1	1
84	мы говорим о	1	1
85	не в себе	1	1
86	в этом месте	1	1
87	если так можно	1	1
88	в каждом из	1	1
89	таким образом уже	1	1
90	том и другом	2	1
91	мысли и чувства	1	1
92	что в них	1	1
93	друг на друга	2	1
94	не противоречит тому	1	1
95	и в свою	3	1
96	понимается им как	1	1
97	мы знаем что	1	1
98	т д в	1	1
99	потому что в	5	1
100	ничего общего с	1	1
101	никогда бы не	1	1
102	а между тем	5	1
103	пространство и время	1	1
104	и потому что	2	1
105	в нем самом	6	1
106	другой стороны и	1	1
107	могут быть названы	3	1
108	самого начала и	1	1
109	вопроса о происхождении	2	1
110	не о том	1	1
111	и тем самым	2	1
112	во многих случаях	2	1
113	по себе не	3	1
114	в душе человека	1	1
115	и в других	1	1
116	бы не в	1	1
117	что как бы	1	1
118	то ни было	1	1
119	и того же	6	1
120	потому что не	5	1
121	и всякого рода	1	1
122	что это не	1	1
123	по себе и	2	1
124	к тому что	2	1
125	прежде всего его	1	1
126	не только на	1	1
127	бы то ни	2	1
128	то все это	1	1
129	и в том	3	1
130	человек так же	1	1
131	не мог бы	1	1
132	и в этом	7	1
133	есть в душе	2	1
134	может и не	1	1
135	в том и	2	1
136	т д и	1	1
137	и тем не	1	1
138	можно принять за	1	1
139	следовало бы искать	1	1
140	очень важную роль	2	1
141	между человеком и	3	1
142	вследствие этого в	1	1
143	к которому стремится	1	1
144	тесно связанные с	1	1
145	но и в	4	1
146	в современном человеке	1	1
147	в том смысле	7	1
148	мы должны с	1	1
149	же может быть	1	1
150	но эти слова	1	1
151	но в них	1	1
152	в эту минуту	2	1
153	что в душе	1	1
154	что же касается	1	1
155	то что в	2	1
156	все более и	2	1
157	и не в	1	1
158	но и потому	1	1
159	в синтаксисе и	1	1
160	что ничего не	1	1
161	с одной стороны	6	1
162	в то время	3	1
163	что душа его	1	1
164	более и более	2	1
165	таким образом в	3	1
166	от мысли и	1	1
167	то и другое	6	1
168	в стороне все	1	1
169	не что иное	2	1
170	там где есть	1	1
171	в мире ничего	1	1
172	далеко не все	1	1
173	противоречит тому что	1	1
174	в нее новую	1	1
175	то все же	3	1
176	можно было бы	1	1
177	известно что в	1	1
178	тем самым заставляет	1	1
179	только потому что	3	1
180	имеют для них	1	1
181	не только потому	1	1
182	то есть его	1	1
183	и вообще все	1	1
184	что на ней	2	1
185	не говорит но	1	1
186	вопрос этот и	1	1
187	не зависит от	1	1
188	что в нем	1	1
189	в его душе	1	1
190	одного и того	6	1
191	друг за другом	1	1
192	так как и	1	1
193	для него как	1	1
194	что иное как	2	1
195	и в истории	1	1
196	вопрос о том	1	1
197	и не только	1	1
198	нет ли в	1	1
199	мы не можем	2	1
200	если бы он	1	1
201	и в процессе	1	1
202	как и всякая	1	1
203	если бы не	3	1
