N	2gram	Savitsky_P	Literetu
1	а не	2	50
2	и не	12	47
3	не только	17	46
4	и в	14	44
5	может быть	5	43
6	но и	6	41
7	в том	9	39
8	в этом	10	38
9	хх века	2	32
10	том что	4	32
11	в частности	2	30
12	то что	4	29
13	в мире	2	28
14	в качестве	9	27
15	то же	9	26
16	как и	1	23
17	в то	7	23
18	себя в	1	22
19	не в	5	22
20	того что	2	22
21	не может	4	22
22	я и	3	21
23	же время	7	21
24	в себе	3	20
25	прежде всего	3	19
26	как бы	4	18
27	с другой	5	17
28	точки зрения	3	17
29	в его	2	17
30	в жизни	2	16
31	в этой	1	16
32	не менее	2	15
33	в русской	4	15
34	только в	7	15
35	со стороны	2	15
36	тем самым	3	15
37	в рамках	1	14
38	в своем	4	13
39	с одной	3	13
40	но не	3	13
41	в данном	1	12
42	одной стороны	3	12
43	пути в	2	12
44	еще не	1	12
45	а также	4	12
46	в е	2	12
47	не столько	2	11
48	никогда не	1	11
49	столь же	3	11
50	еще в	1	11
51	вместе с	1	11
52	в отличие	1	11
53	с его	1	11
54	это не	3	11
55	отличие от	1	11
56	а в	4	11
57	из них	2	10
58	в ее	2	10
59	что в	4	10
60	и на	1	10
61	потому что	3	10
62	отнюдь не	2	10
63	в области	11	10
64	наш взгляд	1	9
65	представляет собой	1	9
66	на наш	1	9
67	одно из	1	9
68	в начале	2	9
69	же в	4	9
70	быть может	6	8
71	все же	1	8
72	одна из	2	8
73	ли не	1	8
74	с точки	3	8
75	как раз	2	8
76	на себя	1	8
77	что не	1	8
78	но в	9	8
79	уже в	1	8
80	xix века	6	8
81	и как	3	8
82	и я	1	8
83	в самом	1	7
84	другой стороны	1	7
85	именно в	2	7
86	ведет к	1	7
87	на фоне	1	7
88	для этого	1	7
89	по преимуществу	1	7
90	не как	1	7
91	и тем	2	7
92	и с	2	7
93	в нем	3	7
94	в сфере	2	7
95	друг друга	1	7
96	и других	2	7
97	а затем	1	6
98	например в	2	6
99	культуры в	2	6
100	казалось бы	1	6
101	как на	2	6
102	его в	1	6
103	не было	2	6
104	во всех	2	6
105	в каждом	1	6
106	было бы	6	6
107	с ее	1	6
108	поэзии и	1	6
109	тем же	1	6
110	и то	1	6
111	том числе	2	6
112	в ней	6	6
113	далеко не	1	6
114	и только	1	6
115	и к	4	5
116	к этой	1	5
117	тех кто	4	5
118	с собой	1	5
119	хотя бы	8	5
120	русской литературы	1	5
121	должно быть	2	5
122	к жизни	1	5
123	в себя	1	5
124	между тем	3	5
125	в силу	2	5
126	в россии	3	5
127	не с	1	5
128	и если	4	5
129	вслед за	3	5
130	мир в	1	5
131	мы не	3	5
132	что и	1	5
133	владимира соловьева	1	5
134	место в	1	5
135	или иной	1	5
136	все еще	1	5
137	не к	2	5
138	а я	5	5
139	что было	1	4
140	и само	1	4
141	в них	2	4
142	с тем	3	4
143	в природе	1	4
144	во всяком	1	4
145	для того	3	4
146	только на	1	4
147	не вполне	1	4
148	во всей	2	4
149	хотя и	3	4
150	сознания к	1	4
151	что его	1	4
152	века в	1	4
153	могли бы	1	4
154	и что	1	4
155	могут быть	3	4
156	и есть	2	4
157	сводится к	3	4
158	в пределах	8	4
159	отношения к	2	4
160	нет ничего	1	4
161	ни к	1	4
162	более чем	2	4
163	каждый из	1	4
164	в формах	1	4
165	как к	1	4
166	и вот	2	4
167	для нас	2	4
168	в г	1	4
169	русской культуры	1	4
170	на то	1	4
171	в душе	1	3
172	мы и	1	3
173	мысли и	1	3
174	в этих	1	3
175	по себе	4	3
176	мысль о	2	3
177	вопрос о	1	3
178	восходит к	1	3
179	он был	1	3
180	во многих	1	3
181	так же	1	3
182	и еще	1	3
183	не просто	1	3
184	говорить о	2	3
185	а с	1	3
186	не есть	1	3
187	но как	1	3
188	же как	1	3
189	в историческом	1	3
190	над ним	1	3
191	в иных	1	3
192	там где	1	3
193	если в	2	3
194	должна быть	1	3
195	в отношении	10	3
196	в годы	1	3
197	если бы	4	3
198	где в	2	3
199	из тех	1	3
200	и т	3	3
201	они не	1	3
202	не имеет	1	3
203	да и	2	3
204	бы и	1	3
205	того чтобы	1	3
206	тех пор	1	3
207	и уже	1	3
208	отношении к	5	3
209	в истории	1	3
210	в творчестве	1	3
211	к предмету	1	3
212	всяком случае	1	3
213	тот же	3	3
214	на нее	1	3
215	в какой	1	3
216	и потому	4	3
217	также и	1	3
218	стороны и	2	3
219	только то	1	3
220	и иных	1	3
221	числе и	1	3
222	и о	5	3
223	в ходе	1	3
224	есть не	2	3
225	об отношении	1	2
226	эта мысль	1	2
227	например с	1	2
228	в результате	1	2
229	их не	1	2
230	чтобы в	1	2
231	в борьбе	1	2
232	черты в	1	2
233	из двух	1	2
234	прошлого не	1	2
235	и другим	1	2
236	что по	1	2
237	первой половине	1	2
238	в это	1	2
239	отношением к	1	2
240	за то	1	2
241	в котором	4	2
242	пор пока	1	2
243	только как	1	2
244	не об	1	2
245	еще более	2	2
246	всего что	1	2
247	тем более	2	2
248	гораздо более	1	2
249	сравнении с	3	2
250	и мы	2	2
251	в психологии	1	2
252	куда в	1	2
253	у каждого	1	2
254	и всегда	1	2
255	бытия не	1	2
256	в недрах	2	2
257	культуры на	1	2
258	духовных исканий	1	2
259	не властно	1	2
260	и притом	1	2
261	от тех	1	2
262	xviii века	1	2
263	в живом	1	2
264	в ряду	2	2
265	и м	1	2
266	не означает	1	2
267	в исторической	1	2
268	и весьма	2	2
269	одно и	1	2
270	как известно	1	2
271	того кто	1	2
272	новейшей русской	1	2
273	культуры и	1	2
274	друг другу	2	2
275	культурной традиции	1	2
276	в общем	2	2
277	и по	1	2
278	душе своей	1	2
279	и ее	1	2
280	к истокам	1	2
281	к более	1	2
282	в статье	2	2
283	в сочетании	2	2
284	переходит в	1	2
285	и который	1	2
286	тогда когда	1	2
287	и при	1	2
288	и ранее	1	2
289	никак не	2	2
290	есть и	1	2
291	основная задача	1	2
292	для них	2	2
293	на заре	1	2
294	к смерти	1	2
295	не более	1	2
296	с ними	3	2
297	в сравнении	3	2
298	который не	1	2
299	полной мере	2	2
300	и более	1	2
301	в значительной	2	2
302	из этих	1	2
303	на основе	1	2
304	есть путь	1	2
305	время в	2	2
306	на плечи	1	2
307	с которой	1	2
308	и теперь	1	2
309	да в	1	2
310	и наоборот	1	2
311	может оказаться	1	2
312	где бы	2	2
313	чуть ли	1	2
314	богом и	1	2
315	xix веке	2	2
316	в преодолении	1	2
317	в русском	2	2
318	вождя в	1	2
319	этом не	1	2
320	и где	1	2
321	можно быть	1	2
322	в сферу	1	2
323	мира а	1	2
324	и без	3	2
325	есть в	2	2
326	своего существования	1	2
327	должен быть	1	2
328	и тех	1	2
329	в полной	2	2
330	до тех	1	2
331	интеллигенции и	1	2
332	она не	1	2
333	нужно было	2	2
334	как явление	1	2
335	в xix	2	2
336	в большинстве	1	2
337	россии как	3	2
338	что есть	1	2
339	которое в	2	2
340	в эти	1	2
341	может и	2	2
342	ранее в	1	1
343	в ком	1	1
344	был и	1	1
345	является в	2	1
346	ней не	2	1
347	в момент	1	1
348	только что	1	1
349	государства в	1	1
350	мира к	1	1
351	которой в	1	1
352	какой бы	1	1
353	наиболее же	1	1
354	более или	1	1
355	и слабость	1	1
356	и питает	1	1
357	сущности не	1	1
358	к другим	1	1
359	эстетических достоинств	1	1
360	в собственном	1	1
361	от первой	1	1
362	духа в	1	1
363	притом в	1	1
364	стремления к	1	1
365	и страсти	1	1
366	вечности и	1	1
367	как мастер	1	1
368	с этим	2	1
369	гумилева в	1	1
370	говорится о	1	1
371	на этой	1	1
372	было в	2	1
373	присутствующее в	1	1
374	почти исключительно	1	1
375	которых не	1	1
376	из понимания	1	1
377	мы все	1	1
378	идеи и	1	1
379	в различных	1	1
380	причастны к	1	1
381	ценности и	1	1
382	отказом от	1	1
383	перед каждым	1	1
384	как таковую	1	1
385	соприкасается с	1	1
386	переход от	2	1
387	ней и	1	1
388	отдельности и	1	1
389	из всех	1	1
390	наряду с	3	1
391	духа и	2	1
392	во времена	1	1
393	без того	1	1
394	входят в	1	1
395	и понятиях	1	1
396	пути но	1	1
397	что жизнь	1	1
398	со столь	1	1
399	грань между	1	1
400	в человеческих	1	1
401	представить себе	1	1
402	русской культуре	1	1
403	века как	1	1
404	мира нового	2	1
405	в жертву	1	1
406	в восприятии	1	1
407	есть у	1	1
408	что уже	1	1
409	мы знаем	1	1
410	находится в	1	1
411	в последующие	1	1
412	что при	1	1
413	глаза на	1	1
414	в тот	2	1
415	так было	1	1
416	в которой	1	1
417	не о	2	1
418	как по	1	1
419	прежде чем	1	1
420	но для	1	1
421	вся в	1	1
422	на пути	4	1
423	также в	1	1
424	большинстве случаев	1	1
425	к единению	1	1
426	между прочим	2	1
427	и жизнь	1	1
428	не вследствие	1	1
429	составляющих ее	1	1
430	в свете	1	1
431	к осуществлению	1	1
432	в смысле	6	1
433	о в	5	1
434	в эту	2	1
435	в других	1	1
436	миру в	1	1
437	и мир	1	1
438	к истине	1	1
439	мы можем	1	1
440	весь мир	1	1
441	и быть	1	1
442	именно потому	1	1
443	и дети	2	1
444	но до	1	1
445	в перспективе	2	1
446	для тех	2	1
447	говорить об	1	1
448	в развитии	1	1
449	откровения и	1	1
450	на каждого	1	1
451	не были	1	1
452	как автор	1	1
453	для самой	1	1
454	которого в	1	1
455	многих случаях	1	1
456	словами с	1	1
457	тот или	1	1
458	и судьбы	1	1
459	в отношениях	1	1
460	которые были	1	1
461	движение и	1	1
462	гордыня и	1	1
463	на чью	1	1
464	и особенно	1	1
465	которая и	1	1
466	к сожалению	1	1
467	и здесь	1	1
468	россии не	1	1
469	как возможность	1	1
470	них в	1	1
471	такова же	1	1
472	в основном	1	1
473	с и	1	1
474	из мира	1	1
475	и менее	1	1
476	представляют собой	1	1
477	что это	1	1
478	в глубинах	2	1
479	от этой	1	1
480	творчества и	2	1
481	оказывается в	1	1
482	на территории	1	1
483	и умножить	1	1
484	и пусть	2	1
485	есть нечто	2	1
486	в которых	5	1
487	о котором	1	1
488	в известном	1	1
489	слова о	1	1
490	будущее в	1	1
491	выступает как	1	1
492	на россию	1	1
493	к победе	1	1
494	и лиц	1	1
495	что мы	3	1
496	о явлениях	1	1
497	в иной	1	1
498	культуры можно	1	1
499	именно на	1	1
500	и вся	1	1
501	ощущается как	1	1
502	россии в	5	1
503	на основании	1	1
504	как проблема	1	1
505	в мир	1	1
506	ни были	1	1
507	в каком	1	1
508	было и	1	1
509	в делах	1	1
510	на две	1	1
511	о соотношении	1	1
512	если мы	1	1
513	к ценностям	1	1
514	ответа на	1	1
515	мыслилась как	1	1
516	в определенном	1	1
517	и достоевского	2	1
518	имеет не	2	1
519	исключительно в	2	1
520	с того	1	1
521	государства но	1	1
522	обратиться к	1	1
523	к началу	2	1
524	одних и	2	1
525	и правит	1	1
526	бы за	1	1
527	многих других	1	1
528	десятилетия хх	1	1
529	на личную	1	1
530	в предыдущем	1	1
531	ни на	1	1
532	все это	2	1
533	россия в	3	1
534	и политического	4	1
535	в виде	2	1
536	начала в	1	1
537	преодоления и	1	1
538	глубоко в	1	1
539	в бытии	1	1
540	в эпоху	1	1
541	более что	1	1
542	склонность к	1	1
543	иной раз	1	1
544	мира который	1	1
545	полноте и	1	1
546	нисколько не	1	1
547	в условиях	1	1
548	с другом	1	1
549	или менее	1	1
550	при виде	1	1
551	не все	1	1
552	бы ни	2	1
553	бы это	1	1
554	прямо на	1	1
555	этих двух	1	1
556	тем чем	1	1
557	бытия как	1	1
558	и эти	1	1
559	что от	1	1
560	как ни	1	1
561	прибегают к	1	1
562	под покровом	1	1
563	усомниться в	1	1
564	в наши	1	1
565	поскольку они	1	1
566	своих интересов	1	1
567	и слова	1	1
568	огромное и	1	1
569	частности в	1	1
570	кто не	1	1
571	в трех	1	1
572	и и	2	1
573	пространство в	1	1
574	историческим опытом	1	1
575	человека с	1	1
576	и преимущественно	1	1
577	явленной и	1	1
578	реальность в	1	1
579	возвращением к	1	1
580	т и	1	1
581	тем чтобы	1	1
582	мира с	2	1
583	творения в	1	1
584	технических средств	1	1
585	само по	1	1
586	пути к	1	1
587	и наряду	1	1
