N	2gram	Tiupa_Hudo	Otkroven
1	о человеке	2	29
2	у него	13	22
3	и в	34	19
4	и не	15	13
5	но и	13	13
6	в этом	22	12
7	человека в	10	11
8	а не	23	11
9	не только	22	11
10	не в	16	11
11	может быть	12	11
12	вопрос о	2	10
13	человека и	4	10
14	и все	10	10
15	в нем	5	10
16	к человеку	1	9
17	потому что	7	9
18	в человеке	5	9
19	прежде всего	12	9
20	не было	8	9
21	в самой	2	9
22	никогда не	8	9
23	и он	6	8
24	он был	1	8
25	нет ничего	4	7
26	от него	3	7
27	ни с	2	7
28	в его	17	7
29	он всегда	1	7
30	он не	8	7
31	но он	3	7
32	лишь в	5	7
33	до конца	3	7
34	человек не	1	7
35	человеческой личности	1	6
36	все это	2	6
37	как и	16	6
38	в самом	7	5
39	достоевского и	1	5
40	в творчестве	4	5
41	в том	24	5
42	человеке и	1	5
43	для него	15	5
44	него в	2	5
45	в этой	11	5
46	а в	11	5
47	человеке в	1	5
48	отношение к	3	5
49	о его	2	5
50	то что	13	5
51	человеку и	1	5
52	все в	2	4
53	что в	8	4
54	того чтобы	6	4
55	т е	6	4
56	не может	10	4
57	него и	2	4
58	человеческих отношений	7	4
59	всегда есть	1	4
60	что не	4	4
61	в самую	1	4
62	человек и	1	4
63	все эти	4	4
64	на земле	2	4
65	и его	8	4
66	он сам	3	4
67	в романах	1	4
68	о бессмертии	1	4
69	о боге	2	4
70	с его	9	4
71	только одно	1	3
72	в русской	4	3
73	и от	6	3
74	все что	4	3
75	к гибели	1	3
76	что человек	1	3
77	и вот	1	3
78	хотя бы	2	3
79	это не	12	3
80	для того	3	3
81	с ним	6	3
82	души но	1	3
83	мысли и	2	3
84	когда он	2	3
85	быть может	7	3
86	в этих	7	3
87	не могут	1	3
88	в своих	4	3
89	о природе	3	3
90	как бы	11	3
91	было бы	8	3
92	человека его	2	3
93	могут быть	1	3
94	в себе	19	3
95	достоевского в	1	3
96	что он	14	3
97	различие между	1	3
98	это было	2	3
99	и ее	3	3
100	о том	21	3
101	того что	5	3
102	к нему	2	3
103	еще не	10	3
104	всего в	1	2
105	человека к	1	2
106	и к	6	2
107	как к	4	2
108	и потому	3	2
109	так и	19	2
110	что они	4	2
111	и то	2	2
112	человека есть	2	2
113	в душе	6	2
114	все же	5	2
115	что у	4	2
116	не могли	1	2
117	он восклицает	1	2
118	искать его	1	2
119	так как	2	2
120	его героев	3	2
121	за все	1	2
122	должно быть	2	2
123	к этой	4	2
124	к ней	2	2
125	его не	1	2
126	уже в	2	2
127	ничто не	1	2
128	любовь к	1	2
129	в другом	3	2
130	совсем не	1	2
131	личности и	3	2
132	и любовь	1	2
133	так что	3	2
134	в своем	9	2
135	в этот	1	2
136	с тем	1	2
137	и из	1	2
138	этом он	2	2
139	в которой	2	2
140	о которой	3	2
141	не все	2	2
142	одно из	4	2
143	что и	3	2
144	для человека	1	2
145	потребность в	2	2
146	у кого	1	2
147	в уста	1	2
148	добро и	1	2
149	его в	5	2
150	чем в	1	2
151	их не	1	2
152	ведь это	1	2
153	мысль о	2	2
154	вместо того	2	2
155	образ человека	1	2
156	и с	10	2
157	что же	4	2
158	самой последней	1	2
159	и там	1	2
160	он в	2	2
161	и о	8	2
162	природы и	1	2
163	сказать что	3	2
164	что для	1	2
165	тем что	6	2
166	из всего	1	2
167	чего это	1	2
168	ничего и	1	2
169	и на	6	2
170	в других	4	2
171	что все	3	2
172	ничего не	11	2
173	хотя и	3	2
174	в своей	15	2
175	все еще	3	2
176	жизни в	12	2
177	по себе	3	2
178	не имеет	2	2
179	о любви	1	2
180	него всегда	1	2
181	к этому	1	2
182	ни у	1	2
183	сразу же	2	2
184	и никогда	1	2
185	же это	2	2
186	том что	31	2
187	и для	5	2
188	что ведь	1	2
189	в ее	16	2
190	своей жизни	6	2
191	но в	6	2
192	человека а	2	2
193	человека один	1	1
194	что было	3	1
195	выступает носителем	1	1
196	ближе к	2	1
197	к одному	1	1
198	это от	1	1
199	в каждом	1	1
200	и сложность	1	1
201	глаза что-то	1	1
202	чувствует и	1	1
203	человеке но	1	1
204	и весь	1	1
205	во всяком	1	1
206	и человеческого	1	1
207	ни к	2	1
208	его и	2	1
209	сказать про	1	1
210	во внешнем	1	1
211	совершенно не	1	1
212	том случае	2	1
213	бытия как	3	1
214	то он	1	1
215	ее и	2	1
216	на человека	2	1
217	для его	1	1
218	еще одну	1	1
219	а с	5	1
220	не существует	1	1
221	в центре	4	1
222	все его	3	1
223	и других	1	1
224	не исчезая	1	1
225	один из	6	1
226	которым он	1	1
227	в котором	5	1
228	и здесь	1	1
229	та же	5	1
230	даже когда	1	1
231	и состоит	4	1
232	его существование	1	1
233	я верю	1	1
234	он понимал	1	1
235	они и	2	1
236	природы это	1	1
237	про него	1	1
238	же и	3	1
239	которых в	1	1
240	которым можно	2	1
241	не имеют	3	1
242	бытия она	1	1
243	бытие не	1	1
244	человека не	3	1
245	случае если	2	1
246	в пределе	2	1
247	того как	1	1
248	жизнь их	1	1
249	который всегда	1	1
250	и личной	2	1
251	и заключается	1	1
252	в первый	2	1
253	его с	1	1
254	она не	6	1
255	том как	5	1
256	жизни нет	1	1
257	мы не	2	1
258	не могу	3	1
259	бы даже	1	1
260	тайне человека	1	1
261	но еще	3	1
262	иных случаях	1	1
263	раскрыться в	1	1
264	смысле слова	1	1
265	связана с	1	1
266	в тайне	1	1
267	его было	1	1
268	сострадания к	2	1
269	что сама	1	1
270	всего мира	2	1
271	еще больше	1	1
272	был до	1	1
273	еще более	1	1
274	жизнь а	1	1
275	также и	1	1
276	но не	7	1
277	отношениях к	1	1
278	и менее	1	1
279	это я	1	1
280	из жизни	2	1
281	для многих	1	1
282	не по	2	1
283	к творчеству	2	1
284	представляет собой	1	1
285	в строе	1	1
