N	2gram	Bakhtin_Pr	PoTuStor
1	может быть	26	17
2	и в	38	16
3	и пр	2	12
4	таким образом	10	9
5	в этом	15	9
6	прежде всего	13	9
7	мы можем	6	9
8	и проч	28	9
9	и только	4	9
10	в психике	6	8
11	совершенно не	7	8
12	точки зрения	8	8
13	и с	17	8
14	не может	27	8
15	и его	16	8
16	не только	9	7
17	сказать что	4	7
18	с его	2	7
19	и к	3	6
20	при этом	5	6
21	для него	1	6
22	самом деле	6	6
23	и это	3	6
24	конечно не	5	6
25	с точки	6	6
26	ни в	11	5
27	все эти	5	5
28	в чем	2	5
29	еще не	7	5
30	как бы	22	5
31	отношение к	10	5
32	нуждается в	2	5
33	в него	2	5
34	все что	3	4
35	для всех	1	4
36	и на	3	4
37	все это	3	4
38	в его	43	4
39	жизни человека	1	4
40	художественного творчества	12	4
41	мысли и	1	4
42	так и	5	4
43	на самом	4	4
44	его в	9	4
45	и даже	3	4
46	и все	3	4
47	с ними	4	4
48	только в	13	4
49	и не	42	4
50	можно сказать	2	4
51	но и	9	4
52	хотя бы	4	4
53	и может	1	4
54	в этой	1	4
55	как мы	7	4
56	отнюдь не	19	4
57	в нем	15	4
58	с ее	1	4
59	в один	1	4
60	и ее	2	4
61	и наконец	6	4
62	но в	4	4
63	и вот	1	3
64	до сих	1	3
65	к себе	2	3
66	в том	8	3
67	с другими	3	3
68	между ними	4	3
69	в конечном	4	3
70	отношения к	6	3
71	этом смысле	3	3
72	и как	8	3
73	что в	7	3
74	том что	3	3
75	большинстве случаев	5	3
76	вместе с	1	3
77	на этом	2	3
78	в этих	2	3
79	мира и	1	3
80	и художественного	3	3
81	сравнению с	1	3
82	вся культура	1	3
83	во всех	11	3
84	но оно	1	3
85	и потому	4	3
86	в основе	5	3
87	тех же	1	3
88	только как	6	3
89	по сравнению	1	3
90	и теперь	1	3
91	как это	2	3
92	только на	1	3
93	в одном	1	3
94	и значение	2	3
95	чем не	2	3
96	а в	6	3
97	в большинстве	5	3
98	то что	8	3
99	и др	8	3
100	могут быть	5	3
101	и есть	2	3
102	сих пор	1	3
103	в общем	1	3
104	жизни и	1	3
105	в области	11	3
106	чувств и	1	3
107	едва ли	3	3
108	в самом	7	2
109	об его	1	2
110	в свое	1	2
111	что оно	2	2
112	и мы	1	2
113	на протяжении	1	2
114	они не	3	2
115	ни было	3	2
116	что это	2	2
117	можно определить	2	2
118	аналогии с	1	2
119	в область	3	2
120	может иметь	5	2
121	для нас	1	2
122	и этим	6	2
123	но как	2	2
124	что и	2	2
125	не на	5	2
126	не могут	2	2
127	дела с	4	2
128	со всеми	3	2
129	в душе	1	2
130	в них	5	2
131	а на	1	2
132	и других	2	2
133	все то	3	2
134	не знает	3	2
135	всех его	4	2
136	так называемый	2	2
137	не нуждается	2	2
138	по аналогии	1	2
139	что не	4	2
140	цельного человека	2	2
141	и действительно	1	2
142	конечном счете	4	2
143	здесь же	2	2
144	вообще не	7	2
145	но ведь	1	2
146	как и	7	2
147	что он	2	2
