N	3gram	Medvedev_S	TeoriaLi
1	в том что	2	10
2	по отношению к	2	10
3	в то же	1	8
4	то же время	1	8
5	в конечном счете	1	6
6	в связи с	1	3
7	с одной стороны	1	3
8	в противном случае	1	2
9	и в то	1	2
10	а с другой	1	2
11	сама по себе	1	2
12	в том и	1	1
13	они ни были	1	1
14	по крайней мере	1	1
15	бы они ни	1	1
16	дело не в	2	1
17	это и есть	1	1
18	друг от друга	1	1
19	в настоящее время	1	1
20	а между тем	1	1
21	в лучшем случае	1	1
22	а тем более	1	1
23	а в том	1	1
24	то же самое	1	1
25	только то что	1	1
