N	4gram	Bakhtin_Fr	SlovoVZh
1	дело в том что	2	4
2	бы то ни было	1	3
3	с одной стороны и	2	2
4	мы не найдем в	1	1
5	на самом же деле	1	1
6	какой бы то ни	1	1
7	но в то же	7	1
8	как мы уже сказали	2	1
9	одним и тем же	1	1
10	имеет в виду и	1	1
11	все более и более	1	1
12	в то время как	1	1
13	мы имеем в виду	2	1
14	это один и тот	1	1
15	ни в коем случае	1	1
16	в коем случае нельзя	1	1
17	до сих пор не	1	1
18	и тот же акт	1	1
19	и не может быть	1	1
20	то же время не	1	1
21	в то же время	13	1
22	один и тот же	3	1
