N	3gram	Bakhtin_KF	Tragedij
1	то же время	2	5
2	в то же	2	5
3	в том что	2	2
4	и как бы	1	2
5	но в то	1	2
6	и не быть	2	1
7	бы и не	2	1
8	не может жить	1	1
9	смысле этого слова	1	1
10	это может быть	1	1
11	вместо того чтобы	1	1
12	не может быть	11	1
13	в этом мире	1	1
14	и чтобы не	1	1
15	справедливости все это	1	1
16	во всем его	2	1
17	могло бы и	1	1
18	и то что	1	1
19	но это уже	2	1
20	хотя бы и	1	1
21	и все же	1	1
22	может быть в	3	1
23	нет в нем	1	1
24	во всяком случае	1	1
25	к тому что	1	1
26	тем не менее	2	1
27	но уже не	1	1
28	все в этом	1	1
29	не имеет для	1	1
30	и должна быть	1	1
31	это и есть	1	1
32	ко всему что	1	1
33	и в этом	3	1
