N	2gram	Berdyaev_M	BTomashe
1	у нас	13	3
2	все это	6	2
3	в ней	23	2
4	можно было	1	2
5	не то	1	2
6	и не	26	2
7	вопрос о	7	1
8	говорить о	1	1
9	творчества и	1	1
10	и о	1	1
11	выпадают из	1	1
12	и нет	3	1
13	не только	42	1
14	а о	1	1
15	всего в	2	1
16	не было	25	1
17	в эпоху	2	1
18	прежде всего	18	1
19	бы только	1	1
20	и в	61	1
21	их что	1	1
22	на самом	2	1
23	так и	5	1
24	на которой	1	1
25	в своей	18	1
26	во всяком	1	1
27	и потому	17	1
28	и во	5	1
29	склонен видеть	1	1
30	также что	1	1
31	за пределы	5	1
32	говорить об	1	1
33	же не	2	1
34	с другой	1	1
35	об этом	2	1
36	своей книге	2	1
37	как будто	4	1
38	не о	2	1
39	всяком случае	1	1
40	было бы	11	1
41	стоит на	2	1
42	и ее	2	1
43	только одной	1	1
44	одной из	1	1
45	в значительной	2	1
46	в пределах	1	1
47	должна быть	7	1
48	в области	1	1
49	тем более	1	1
50	он свою	1	1
51	не вполне	1	1
52	и более	2	1
53	что все	5	1
54	не все	3	1
55	значительной степени	2	1
56	его не	5	1
57	будто бы	3	1
58	а не	36	1
59	о свободе	18	1
60	до конца	16	1
61	представляется нам	1	1
62	и на	9	1
63	выходит за	1	1
64	по отдельным	1	1
65	между ними	1	1
66	еще не	1	1
67	целиком в	1	1
68	к ней	6	1
69	все же	2	1
70	что в	12	1
71	к формальному	1	1
72	меньше чем	1	1
