N	3gram	Tiupa_Anal	Sovremen
1	с точки зрения	2	5
2	в каждом отдельном	2	5
3	каждом отдельном случае	2	5
4	в зависимости от	1	4
5	не может быть	2	4
6	в свою очередь	7	2
7	во всяком случае	6	2
8	тем не менее	3	2
9	в отличие от	5	2
10	есть не что	1	1
11	всяком случае не	1	1
12	под углом зрения	1	1
13	в том что	12	1
14	что при таком	1	1
15	один и тот	1	1
16	и те же	1	1
17	на самом деле	1	1
18	не могут быть	1	1
19	и есть не	1	1
20	до сих пор	1	1
21	одни и те	1	1
22	в свое время	4	1
23	и тот же	1	1
24	но уже в	1	1
25	не что иное	1	1
26	той же природы	2	1
27	в связи с	1	1
28	и все же	1	1
29	в самом деле	1	1
30	в дальнейшем мы	1	1
31	дело в том	3	1
32	в такой же	1	1
33	тот факт что	1	1
34	той или иной	6	1
35	что иное как	1	1
36	не отразиться на	1	1
37	в данном случае	11	1
38	ни то ни	1	1
39	одна из них	1	1
40	и прежде всего	2	1
41	и той же	2	1
42	в конечном счете	5	1
43	с одной стороны	3	1
44	одной и той	2	1
45	они не могут	1	1
46	в известном смысле	2	1
47	такой же мере	1	1
48	то же время	7	1
49	не в том	1	1
50	с новой силой	1	1
51	по отношению к	9	1
52	то ни другое	1	1
53	и может быть	1	1
54	в то же	7	1
55	но они не	1	1
56	в обратном порядке	1	1
57	на этот вопрос	1	1
58	по крайней мере	5	1
59	ведь это не	1	1
60	в этом случае	1	1
61	тот или иной	3	1
62	можно было бы	1	1
63	в этом смысле	1	1
64	мы видим что	1	1
