N	4gram	Vygotskiy_	Sovremen
1	и во всех деталях	1	1
2	только и могут быть	1	1
3	но мы знаем что	1	1
4	то же самое что	3	1
5	то же самое в	1	1
6	не только ничего не	1	1
7	до сих пор в	1	1
8	одной и той же	5	1
9	с одной стороны и	4	1
10	совершенно так же как	1	1
11	ясно что при таком	1	1
12	не что иное как	1	1
13	к которому они относятся	1	1
14	в то же время	1	1
15	в такой же мере	3	1
16	что это совершенно невозможно	1	1
17	в конце развития мы	1	1
18	развития в зависимости от	1	1
19	развития с точки зрения	1	1
20	есть не что иное	1	1
