N	2gram	Tiupa_Lite	Tvorches
1	у достоевского	2	91
2	и в	26	56
3	как бы	8	41
4	в его	9	37
5	в романе	1	34
6	в то	12	30
7	князя мышкина	1	28
8	достоевского в	1	27
9	то же	13	25
10	в году	18	24
11	не только	29	24
12	же время	12	24
13	но в	5	24
14	как и	13	23
15	то есть	11	23
16	и не	19	23
17	а в	5	23
18	и его	7	23
19	в этом	19	22
20	и т	2	22
21	что в	7	21
22	в том	22	21
23	он не	4	19
24	том что	19	19
25	может быть	24	19
26	потому что	5	19
27	у него	5	18
28	то что	14	18
29	таким образом	4	17
30	и на	5	17
31	что он	8	17
32	при этом	23	16
33	но и	25	16
34	никогда не	5	16
35	как в	5	16
36	в творчестве	2	16
37	прежде всего	14	16
38	достоевского с	1	16
39	не может	10	16
40	и с	4	15
41	xix века	6	15
42	в мире	9	15
43	но это	2	15
44	в этой	7	15
45	с его	5	15
46	и даже	9	14
47	это не	4	14
48	о том	3	13
49	времени в	1	13
50	а не	28	13
51	в котором	1	12
52	тем самым	8	12
53	в целом	10	12
54	в своей	5	11
55	все же	6	11
56	достоевского это	1	11
57	отнюдь не	4	11
58	преступления и	1	11
59	для него	6	11
60	в самом	4	10
61	творческого процесса	2	10
62	он сам	2	10
63	в русской	13	10
64	и наказания	1	10
65	не в	11	10
66	в конце	6	10
67	только в	8	10
68	когда он	1	10
69	в основном	1	10
70	уже в	7	10
71	так и	7	10
72	но не	8	10
73	как будто	2	10
74	в душе	3	9
75	в своих	5	9
76	наряду с	1	9
77	а затем	3	9
78	и от	1	9
79	один из	7	9
80	жизни в	5	9
81	в свою	2	9
82	записки из	1	9
83	человека в	5	9
84	в нем	4	9
85	даже в	6	8
86	именно в	1	8
87	в соответствии	2	8
88	не менее	11	8
89	так же	1	8
90	достоевским в	1	8
91	к этому	2	8
92	одним из	8	8
93	это уже	2	8
94	вместе с	5	8
95	тогда как	20	8
96	соответствии с	3	8
97	одной из	2	8
98	еще не	4	8
99	в себе	8	8
100	так как	2	8
101	романе достоевского	1	8
102	в их	3	8
103	вовсе не	3	8
104	по сути	1	8
105	человека и	2	8
106	русской литературе	7	7
107	в этих	2	7
108	и сам	6	7
109	например в	3	7
110	уже не	9	7
111	казалось бы	6	7
112	в дальнейшем	1	7
113	за собой	2	7
114	и он	3	7
115	в которой	1	7
116	в чем	2	7
117	в рассказе	1	7
118	не случайно	5	7
119	своего рода	22	7
120	человеческой личности	1	7
121	самом деле	2	7
122	читателя в	2	7
123	в момент	1	6
124	в принципе	7	6
125	не столько	8	6
126	и как	2	6
127	конечном счете	8	6
128	на эту	1	6
129	хотя бы	3	6
130	его романов	1	6
131	одна из	8	6
132	достоевского но	1	6
133	его в	4	6
134	в конечном	9	6
135	так что	4	6
136	а потому	4	6
137	героя в	2	6
138	с ним	2	6
139	если бы	1	6
140	и все	1	6
141	приводит к	4	6
142	все эти	2	6
143	ли не	7	6
144	xx века	2	6
145	более не	2	5
146	из всех	1	5
147	в пользу	1	5
148	мысли и	1	5
149	что человек	1	5
150	быть может	2	5
151	у пушкина	1	5
152	в них	1	5
153	что этот	1	5
154	с другой	11	5
155	приходит к	1	5
156	по отношению	6	5
157	как правило	5	5
158	в своем	12	5
159	в одной	1	5
160	во всей	1	5
161	все время	1	5
162	из них	5	5
163	что они	1	5
164	на него	1	5
165	в ее	1	5
166	что и	3	5
167	не было	5	5
168	что не	3	5
169	в таком	1	5
170	я не	8	5
171	и у	1	5
172	а с	2	5
173	героя и	2	5
174	что это	1	5
175	т п	2	5
176	в наше	1	5
177	если не	1	5
178	между тем	2	5
179	процесса в	2	5
180	достоевского идиот	1	5
181	с большой	1	5
182	в первой	1	5
183	дело не	2	5
184	наше время	1	5
185	не так	1	5
186	на деле	1	5
187	та же	2	5
188	самим собой	2	5
189	в россии	2	5
190	в творческом	2	5
191	в современном	1	5
192	в истории	1	5
193	до конца	3	5
194	в образе	1	5
195	том же	3	5
196	тот же	1	5
197	ничего не	3	5
198	мы не	5	5
199	в литературе	2	5
200	бы не	3	5
201	в виде	1	5
202	но с	3	5
203	в ту	1	5
204	и по	1	5
205	и других	4	5
206	что я	4	5
207	это как	3	5
208	как он	2	5
209	отношению к	4	5
210	с этой	6	4
211	в финале	2	4
212	говорит о	1	4
213	него в	2	4
