N	2gram	Potebnia_M	FransuaR
1	и в	48	367
2	то есть	53	209
3	в этом	19	112
4	и т.п	1	108
5	и не	28	101
6	таким образом	24	100
7	и его	4	99
8	в его	6	98
9	прежде всего	6	92
10	не только	32	87
11	мы уже	5	85
12	но и	30	84
13	как бы	10	82
14	все эти	1	79
15	вовсе не	13	77
16	как и	22	76
17	в нем	16	75
18	но в	8	75
19	и на	5	72
20	и др	1	72
21	в том	47	71
22	как мы	8	71
23	то же	35	66
24	и все	5	66
25	в них	9	65
26	в этой	3	65
27	так и	17	65
28	и с	4	64
29	в сущности	3	64
30	в то	16	63
31	во время	4	63
32	во всех	1	62
33	все это	4	62
34	же время	8	55
35	что в	30	52
36	в своем	6	51
37	только в	29	48
38	так как	20	46
39	и до	2	46
40	том что	28	45
41	то что	37	41
42	у него	3	40
43	жизни и	3	40
44	в самом	11	38
45	точки зрения	4	37
46	в ней	11	37
47	с его	1	36
48	о том	7	35
49	он был	1	35
50	может быть	46	35
51	мы видим	3	35
52	сказать что	8	34
53	и даже	3	34
54	в себе	26	34
55	рядом с	2	32
56	мы видели	5	32
57	он не	4	32
58	для него	14	32
59	в своей	2	31
60	так же	6	30
61	но он	3	30
62	один из	7	30
63	потому что	82	30
64	той же	6	30
65	и потому	9	30
66	никогда не	2	30
67	тела и	2	30
68	в одном	4	29
69	еще не	9	29
70	связи с	6	29
71	в этих	2	29
72	что он	8	29
73	не может	18	29
74	при этом	6	29
75	его в	6	29
76	не в	24	29
77	и к	5	28
78	из них	11	28
79	в той	2	28
80	эти образы	2	28
81	сих пор	4	27
82	до сих	4	27
83	все же	3	27
84	по своему	2	27
85	и их	4	27
86	образов в	1	26
87	на самом	4	25
88	в области	3	25
89	но это	9	25
90	мира и	1	25
91	этот образ	7	24
92	но не	8	24
93	например в	9	24
94	в ее	3	24
95	и от	5	24
96	как в	17	24
97	того чтобы	5	24
98	времени и	2	24
99	в большинстве	2	24
100	отношение к	2	24
101	большинстве случаев	2	23
102	так сказать	6	23
103	своего рода	1	23
104	и здесь	3	23
105	с ним	10	23
106	в их	2	23
107	есть и	3	23
108	к нему	7	23
109	это не	2	23
110	еще и	1	23
111	даже в	3	22
112	не было	12	22
113	а в	14	22
114	границы между	1	22
115	тем что	13	22
116	что и	16	22
117	и других	3	22
118	там где	6	22
119	вместе с	22	22
120	и во	1	22
121	связь с	4	22
122	и о	6	22
123	в своих	2	21
124	именно в	5	21
125	уже в	10	21
126	и как	8	21
127	есть в	6	21
128	одним из	3	21
129	в себя	1	21
130	что это	6	21
131	ни в	2	21
132	и наконец	3	21
133	в виду	1	20
134	в связи	1	20
135	и это	6	20
136	одной из	3	20
137	этом отношении	2	20
138	образов и	2	20
139	с точки	3	20
140	в образе	4	20
141	они были	1	20
142	а также	1	20
143	самом деле	5	20
144	во всем	2	19
145	их в	3	19
146	к этому	3	19
147	в эту	4	19
148	того же	5	19
149	за пределы	2	19
150	было бы	16	19
151	с другой	8	19
152	хотя и	3	19
153	в форме	2	19
154	в ту	2	19
155	далеко не	5	19
156	на мир	2	18
157	это и	2	18
158	здесь не	1	18
159	но они	1	18
160	превращается в	3	18
161	этих образов	1	18
162	перед нами	3	18
163	это в	2	18
164	в большей	3	17
165	большей или	1	17
166	для того	8	17
167	конечно не	2	17
168	в результате	1	17
169	можно было	1	17
170	на его	4	17
171	еще более	1	17
172	но все	2	17
173	меньшей степени	1	17
174	связана с	1	17
175	и вот	1	17
176	того что	24	17
177	и образов	1	17
178	а не	22	17
179	влияние на	3	16
180	с одной	8	16
181	между ними	4	16
182	с образами	2	16
183	между тем	19	16
184	нужно сказать	1	16
185	тот же	2	16
186	в начале	3	16
187	или меньшей	1	16
188	ничего не	1	16
189	дело в	1	16
190	не подлежит	2	16
191	мысли и	8	15
192	в которой	9	15
193	не были	4	15
194	никто не	5	15
195	из этих	10	15
196	мы еще	1	15
197	с их	1	15
198	от всех	1	15
199	особенно в	1	15
200	и вообще	4	15
201	одно из	6	15
202	как на	6	15
203	в нашем	1	15
204	не мог	1	15
205	xix века	1	15
206	в первой	1	15
207	пор еще	1	15
208	в истории	2	15
209	в самой	1	15
210	в котором	7	14
211	в чем	6	14
212	образом в	4	14
213	и по	5	14
214	с миром	1	14
215	мы не	17	14
216	на них	2	14
217	здесь только	4	14
218	все что	4	14
219	в данном	3	14
220	и он	1	14
221	несмотря на	2	14
222	в более	4	14
223	и сам	1	13
224	с этим	12	13
225	и еще	1	13
226	что все	5	13
227	его к	2	13
228	на языке	2	13
229	на все	3	13
230	в одной	1	13
231	в жизни	1	13
232	одной стороны	4	13
233	не знает	4	13
234	отличие от	2	13
235	в мире	3	13
236	в других	3	13
237	бы в	3	13
238	и есть	4	13
239	только на	4	13
240	не на	1	13
241	этот процесс	1	13
242	или в	4	13
243	и эта	2	13
244	так в	4	13
245	это было	3	13
246	жизнь и	1	13
247	как он	1	13
248	в известной	3	13
249	другой стороны	4	12
250	те же	6	12
251	главным образом	1	12
252	и ее	1	12
253	та же	3	12
254	жизни в	1	12
255	начиная с	1	12
256	о нем	1	12
257	у нас	2	12
258	уже сказали	1	12
259	место в	4	12
260	только для	3	12
261	можно сказать	4	12
262	но этот	2	12
263	не могут	7	12
