N	2gram	Nazirov_Tr	slovoVRo
1	и в	18	92
2	в романе	10	89
3	и т	1	82
4	т п	1	72
5	то есть	3	64
6	может быть	7	59
7	и его	6	59
8	в нем	4	59
9	и не	7	51
10	не только	8	44
11	не может	5	41
12	но и	4	39
13	до конца	2	37
14	в этом	9	36
15	а не	1	34
16	во всех	1	32
17	так и	5	30
18	могут быть	1	29
19	и др	1	29
20	в его	3	27
21	слова в	1	26
22	все это	4	25
23	как бы	7	24
24	то же	5	23
25	и на	7	22
26	как в	3	21
27	второй линии	1	21
28	не в	2	21
29	в то	5	20
30	прежде всего	4	19
31	как мы	1	19
32	с ним	3	18
33	как и	5	18
34	же время	6	18
35	таким образом	1	17
36	и даже	4	17
37	все же	5	17
38	в истории	1	17
39	все эти	3	17
40	при этом	3	16
41	в них	1	16
42	отличие от	2	16
43	но в	6	16
44	в той	1	15
45	и с	7	15
46	романа и	3	14
47	только в	1	14
48	в отличие	2	14
49	так сказать	1	14
50	в особенности	1	13
51	это не	5	13
52	с его	2	13
53	рядом с	1	13
54	еще не	4	12
55	во всяком	1	12
56	никогда не	2	12
57	и потому	1	12
58	отношение к	2	12
59	и наконец	1	12
60	один из	3	11
61	роман и	1	11
62	с ними	1	11
63	для него	3	11
64	с одной	1	11
65	и их	1	10
66	и все	4	10
67	уже не	2	10
68	лишь в	1	10
69	в своем	3	10
70	в том	2	10
71	она не	1	10
72	в себе	4	10
73	в основном	3	9
74	романа в	1	9
75	в своей	1	9
76	этом случае	1	9
77	его в	2	9
78	одна из	2	9
79	героя и	1	9
80	он не	2	9
81	одним из	1	9
82	и от	1	9
83	но не	1	9
84	с ее	3	9
85	к нему	3	9
86	в самом	2	8
87	для нас	1	8
88	не могут	2	8
89	все время	1	8
90	для понимания	1	8
91	всяком случае	1	8
92	человека и	1	8
93	в ней	1	8
94	во всем	1	7
95	от него	1	7
96	но все	2	7
97	о нем	1	7
98	например в	1	7
99	том что	4	7
100	перед нами	2	7
101	сливается с	1	7
102	известной степени	1	7
103	в романах	1	7
104	друг друга	2	7
105	стиля и	1	7
106	у него	6	7
107	не было	1	7
108	связи с	1	7
109	в таком	2	7
110	ту же	1	7
111	за пределы	1	7
112	с которым	1	7
113	в целом	4	7
114	что в	4	6
115	и здесь	2	6
116	дело с	1	6
117	в одном	2	6
118	ни в	2	6
119	по себе	1	6
120	именно в	1	6
121	линии романа	1	6
122	роль в	1	6
123	и прямо	1	6
124	xix века	1	6
125	бы и	2	6
126	а также	1	6
127	романе в	1	6
128	на этом	1	6
129	хотя бы	1	6
130	между тем	1	6
131	он в	1	6
132	ничего не	2	6
133	должна быть	1	5
134	и при	1	5
135	не как	1	5
136	и чисто	1	5
137	а затем	1	5
138	роман в	1	5
139	в результате	1	5
140	него нет	1	5
141	вместе с	1	5
142	не менее	1	5
143	о том	2	5
144	не является	1	5
145	в противовес	1	5
146	в данном	2	5
147	с помощью	1	5
148	только на	1	5
149	речи в	1	5
150	той же	1	5
151	линии в	1	5
152	но он	1	5
153	в дальнейшем	5	5
154	между этими	2	5
155	уже в	3	5
156	как его	1	5
157	а как	2	5
158	дистанции между	1	5
159	в быту	1	5
160	и сам	3	5
161	характерно что	1	5
162	и по	1	5
163	обстоит дело	1	4
164	не столько	1	4
165	в виду	1	4
166	что он	6	4
167	так же	4	4
168	к тому	2	4
169	и образ	1	4
170	развернута в	1	4
171	того чтобы	1	4
172	в другом	1	4
173	самого автора	1	4
174	именно на	1	4
175	с этой	1	4
176	в чем	1	4
177	в известной	2	4
178	с этими	1	4
179	из романа	1	4
180	но это	4	4
181	его как	1	4
182	того что	1	4
183	что оно	1	4
184	о себе	1	4
185	в литературе	1	4
186	что и	2	4
187	нового романа	1	4
188	чем он	2	4
189	в виде	2	4
190	а на	1	4
191	в которой	1	4
192	даже на	2	4
193	и как	3	4
194	в условиях	1	4
195	с образом	1	4
196	но как	1	4
197	эти слова	1	4
198	в частности	2	4
199	или как	1	4
200	литературы и	1	4
201	и о	1	4
202	вообще не	1	4
203	и ее	2	4
204	этих романов	1	4
205	еще раз	2	3
206	его с	1	3
207	в форме	1	3
208	и то	2	3
209	в связи	1	3
210	в духе	1	3
211	в первом	2	3
212	необходимо отметить	1	3
213	тем что	2	3
214	жизни в	1	3
215	автора но	2	3
216	силы и	1	3
217	как это	3	3
218	из себя	1	3
219	в этой	4	3
220	и до	2	3
221	отметить что	1	3
222	романа как	1	3
