N	2gram	Losev_Prob	Retstnzi
1	не может	18	4
2	и в	64	3
3	если в	2	2
4	один из	7	2
5	может и	3	1
6	несмотря на	6	1
7	может быть	29	1
8	не только	37	1
9	точки зрения	5	1
10	с точки	3	1
11	может не	1	1
12	для него	2	1
13	в ней	1	1
14	как художественная	1	1
15	себе все	2	1
16	в каждом	1	1
17	связи с	8	1
18	не из	1	1
19	бы на	1	1
20	от контекста	1	1
21	оторвано от	2	1
22	если один	1	1
23	можно и	1	1
24	с другими	6	1
25	его от	4	1
26	если бы	8	1
27	конечно и	1	1
28	смысл и	3	1
29	художественного произведения	1	1
30	вещей и	1	1
31	на примере	1	1
32	в его	12	1
33	и тому	1	1
34	ничего кроме	1	1
35	не менее	26	1
36	именно с	1	1
37	в языке	13	1
38	речь и	1	1
39	но и	23	1
40	мы видим	2	1
41	к тому	5	1
42	анализа и	4	1
43	сравнении с	1	1
44	можно назвать	1	1
45	тому что	6	1
46	и можно	3	1
47	языка как	2	1
48	вопрос что	2	1
49	разных категорий	1	1
50	в конкретном	2	1
51	в то	7	1
52	из этих	5	1
53	и больше	2	1
54	он в	2	1
55	ни один	1	1
56	то же	10	1
57	а не	21	1
58	бы в	3	1
59	нет и	5	1
60	в лингвистике	1	1
61	и должно	2	1
62	в системе	3	1
63	и не	63	1
64	язык как	3	1
65	на нее	2	1
66	и все	9	1
67	и на	11	1
68	вполне понятно	1	1
69	это направление	1	1
