N	3gram	Bakhtin_Pr	Vvedenie
1	и т д	1	39
2	для того чтобы	2	22
3	в том что	3	15
4	не может быть	11	10
5	в этом смысле	3	10
6	тем не менее	3	9
7	до сих пор	1	7
8	в применении к	3	6
9	в самом деле	3	6
10	к выводу что	1	6
11	в то же	3	6
12	то же время	3	6
13	и т п	13	5
14	на этот вопрос	1	5
15	не что иное	1	5
16	что иное как	1	5
17	с другой стороны	4	5
18	вопрос о том	1	5
19	и в том	1	4
20	широком смысле слова	1	4
21	по отношению к	19	4
22	с точки зрения	6	4
23	по сравнению с	1	4
24	можно было бы	3	4
25	не только в	2	4
26	в данном случае	4	4
27	в отличие от	5	4
28	с одной стороны	3	4
29	в этом отношении	2	4
30	и в этом	1	4
31	одной стороны и	1	3
32	и тем не	1	3
33	той или иной	2	3
34	и именно в	1	3
35	и в самом	1	3
36	в свое время	1	3
37	можно сказать что	2	3
38	в строгом смысле	2	3
39	дело в том	1	3
40	но в то	1	3
41	о чем говорится	1	3
42	есть не что	1	3
43	с тем что	1	3
44	также и в	1	3
45	то же самое	2	3
46	в свою очередь	1	2
47	не в том	1	2
48	по своему значению	1	2
49	имеют дело с	1	2
50	хотя бы и	1	2
51	в известной мере	1	2
52	как мы уже	1	2
53	не говоря уже	1	2
54	вообще не может	1	2
55	а между тем	1	2
56	смысле этого слова	1	2
57	в первом случае	1	2
58	тем или иным	1	2
59	подобно тому как	1	2
60	не могут быть	2	2
61	имеет дело с	4	2
62	в связи с	1	2
63	всего то что	1	2
64	а также и	1	2
65	может быть и	1	2
66	со словом а	1	1
67	в одном и	1	1
68	в том же	2	1
69	все то что	3	1
70	приходится иметь дело	2	1
71	из всего сказанного	1	1
72	не входят в	2	1
73	и др в	2	1
74	культурной жизни как	1	1
75	который мог бы	1	1
76	в том как	1	1
77	но и в	2	1
78	в том смысле	1	1
79	в подобных случаях	1	1
80	имеется в виду	1	1
81	на самом деле	3	1
82	то или иное	2	1
83	и даже к	1	1
84	своему значению для	1	1
85	как момент в	1	1
86	язык в его	1	1
87	к своему предмету	1	1
88	во всех отношениях	1	1
89	его отношение к	1	1
90	уже не к	1	1
91	и не в	1	1
92	т д мы	1	1
93	но в принципе	1	1
94	можно и должно	1	1
95	в лучшем случае	2	1
96	имеют в виду	1	1
97	здесь не может	1	1
98	того или иного	2	1
99	отношению к нему	1	1
100	его можно было	1	1
101	говоря уже о	1	1
102	в самом широком	1	1
103	может быть только	3	1
104	не было бы	1	1
105	с самими этими	1	1
106	языка как такового	1	1
107	в настоящее время	1	1
108	во всех его	4	1
109	смысле слова но	1	1
110	следует что в	1	1
111	в более узком	1	1
112	в области изучения	2	1
113	и прежде всего	5	1
114	как одна из	1	1
115	по себе не	1	1
116	строгом смысле этого	1	1
117	а в том	1	1
118	в нем не	1	1
119	все это можно	1	1
120	то ни было	2	1
121	к тому что	1	1
122	та или иная	1	1
123	лицом к лицу	1	1
124	притом не только	1	1
125	в таких случаях	1	1
126	бы то ни	3	1
127	одна из сторон	1	1
128	идет речь в	1	1
129	том смысле что	1	1
130	в значительной степени	1	1
131	то что в	1	1
132	имеем дело с	1	1
133	но не чувствует	1	1
134	мы имеем дело	2	1
