N	4gram	Vinokur_St	Formalny
1	в то же время	5	20
2	бы то ни было	1	7
3	и в то же	1	6
4	одни и те же	1	5
5	и т п в	4	4
6	не может быть и	1	4
7	с точки зрения его	1	3
8	во что бы то	1	3
9	ведь на самом деле	1	3
10	с точки зрения их	2	3
11	что бы то ни	1	3
12	в том числе и	2	3
13	то же время не	1	3
14	во всяком случае в	2	3
15	бы то ни стало	1	3
16	но в то же	2	3
17	может быть и речи	1	3
18	той мере в какой	2	2
19	в том смысле что	2	2
20	в той мере в	2	2
21	одних и тех же	1	2
22	одним и тем же	2	2
23	но ведь на самом	1	2
24	иметь в виду что	1	2
25	не говоря уже о	2	2
26	и в этом отношении	1	2
27	для этого прежде всего	1	2
28	не в том смысле	1	2
29	и в том что	1	1
30	было бы отрицать что	1	1
31	на самом деле конечно	1	1
32	в настоящее время можно	1	1
33	с нашей точки зрения	1	1
34	и в этом случае	2	1
35	не выходя за пределы	1	1
36	одно и то же	1	1
37	и в данном случае	1	1
38	каких бы то ни	1	1
39	в одних и тех	1	1
40	в той же мере	1	1
41	эпохи с одной стороны	1	1
42	дело в том что	7	1
43	будет зависеть от характера	1	1
44	не может быть абсолютно	1	1
45	в том отношении что	2	1
46	только в том случае	1	1
47	иначе и быть не	1	1
48	том отношении что они	2	1
49	может быть даже и	1	1
50	языка не может быть	1	1
51	то что он не	1	1
52	только с точки зрения	1	1
53	отчета в том что	2	1
54	как и всякая иная	1	1
55	как бы ни была	1	1
56	и т п на	1	1
57	это объясняется тем что	1	1
58	и по отношению к	1	1
59	на самом деле оно	1	1
60	научная работа никогда не	1	1
61	и в наши дни	1	1
62	не может быть никакого	1	1
63	и в этом его	1	1
64	с другой стороны и	1	1
65	в начале своей статьи	1	1
66	и быть не могло	1	1
67	что и в этом	1	1
68	произведений с точки зрения	1	1
69	она не могла бы	1	1
70	говорит о том что	3	1
71	что такое отношение к	1	1
72	этого прежде всего необходимо	1	1
73	она до сих пор	1	1
74	пишет по этому поводу	1	1
75	что же это за	1	1
