N	2gram	Tiupa_Lite	Morfolog
1	и т	2	62
2	может быть	24	61
3	таким образом	4	26
4	могут быть	4	21
5	так как	2	20
6	мы имеем	2	19
7	не может	10	19
8	в этом	19	18
9	в этих	2	17
10	представляет собой	5	17
11	и в	26	17
12	представляют собой	1	16
13	и не	19	16
14	перед нами	1	14
15	прежде всего	14	14
16	по существу	4	13
17	связи с	7	12
18	и др	4	12
19	а не	28	11
20	чаще всего	1	11
21	что в	7	10
22	то же	13	10
23	а затем	3	10
24	вопрос о	1	10
25	не всегда	1	10
26	этом случае	2	10
27	в том	22	10
28	так и	7	10
29	что и	3	10
30	в связи	4	10
31	то что	14	10
32	все же	6	9
33	с другой	11	9
34	но и	25	9
35	не только	29	8
36	в результате	2	8
37	мы не	5	8
38	в качестве	21	8
39	но не	8	8
40	а в	5	8
41	как мы	2	8
42	нет необходимости	1	7
43	во втором	3	7
44	один из	7	7
45	и здесь	1	7
46	если в	2	7
47	не могут	1	7
48	не менее	11	7
49	том что	19	7
50	потому что	5	7
51	по отношению	6	7
52	наряду с	1	7
53	точки зрения	8	7
54	как это	9	7
55	тем не	4	7
56	а также	5	7
57	отношению к	4	7
58	подобно тому	4	6
59	о том	3	6
60	как бы	8	6
61	не все	1	6
62	но это	2	6
63	это не	4	6
64	с точки	4	6
65	в образе	1	6
66	в нашем	2	6
67	или в	1	6
68	и как	2	6
69	вовсе не	3	6
70	во всех	4	6
71	если мы	1	6
72	также и	3	6
73	во время	1	6
74	героя в	2	5
75	из которых	3	5
76	другой стороны	5	5
77	в первом	1	5
78	вслед за	1	5
79	начинается с	1	5
80	что он	8	5
81	как в	5	5
82	со стороны	6	5
83	то это	2	5
84	хотя бы	3	5
85	было бы	4	5
86	к тому	3	5
87	ничего не	3	5
88	что они	1	5
89	тому что	1	5
90	все эти	2	5
91	одна из	8	5
92	в поле	2	5
93	мы можем	1	5
94	сюда же	1	5
95	тому как	4	5
96	между тем	2	5
97	он не	4	5
98	далеко не	4	5
99	в ходе	2	5
100	в целом	10	5
101	и к	1	4
102	в некоторых	1	4
103	есть и	1	4
104	на этом	3	4
105	как и	13	4
106	самом деле	2	4
107	но все	1	4
108	показать что	1	4
109	тем что	6	4
110	никто не	1	4
111	уже не	9	4
112	еще не	4	4
113	не является	3	4
114	а если	2	4
115	тех же	3	4
116	того чтобы	1	4
117	говорить о	1	4
118	так же	1	4
119	сказать что	1	4
120	следующим образом	2	4
121	на него	1	4
122	на котором	1	4
123	и для	1	4
124	из них	5	4
125	но в	5	4
126	герой и	1	4
127	несмотря на	3	4
128	на самом	1	4
129	его в	4	4
130	что его	3	4
131	подобных случаях	1	4
132	к этому	2	4
133	в то	12	4
134	можно было	3	4
135	о его	1	4
136	всего это	1	3
137	та же	2	3
138	только что	1	3
139	предметы и	1	3
140	с этой	6	3
141	что это	1	3
142	это уже	2	3
143	в сущности	5	3
144	в живых	1	3
145	то с	2	3
146	с собой	4	3
147	только в	8	3
148	здесь мы	1	3
149	из двух	1	3
150	можно назвать	1	3
151	и другим	1	3
152	есть нечто	1	3
153	в бою	2	3
154	состоит из	1	3
155	имеется в	2	3
156	но мы	1	3
157	на первый	1	3
158	то здесь	1	3
159	и что	2	3
160	для того	2	3
161	но эти	1	3
162	или не	1	3
163	целый ряд	1	3
164	а во	2	3
165	состоит в	18	3
166	так например	1	3
167	вопрос что	1	3
168	здесь не	1	3
169	с его	5	3
170	в отдельных	1	3
171	для этой	2	3
172	что при	1	3
173	к нему	1	3
174	бы то	1	3
175	то в	3	3
176	первый взгляд	1	3
177	они не	1	3
178	или с	1	3
179	того что	7	3
180	что такое	2	3
181	ее в	1	3
182	но как	3	3
183	у нас	5	3
184	и есть	3	3
185	в виде	1	3
186	а на	1	3
187	как таковое	1	3
188	но для	1	3
189	а то	2	3
190	к месту	1	3
191	в какой	2	3
192	большинстве случаев	1	3
193	это было	1	3
194	и у	1	3
195	вопроса о	1	3
196	лицо которое	1	3
197	героя и	2	3
198	как уже	3	3
199	для наших	1	3
200	то ни	1	3
201	в ход	1	3
202	если бы	1	3
203	друг друга	5	3
204	из ряда	1	3
205	и тем	4	3
206	не в	11	3
207	в которой	1	3
208	а по	2	3
209	в начале	4	3
210	в пределах	4	3
211	в большинстве	1	3
212	в этой	7	3
213	приводит к	4	3
214	же в	6	3
215	все еще	2	3
216	на то	2	3
217	и его	7	3
218	и по	1	3
219	и только	4	3
220	в один	1	3
221	можно указать	1	3
222	не так	1	2
223	от него	2	2
224	является в	1	2
225	а потому	4	2
226	и этот	1	2
227	самого себя	3	2
228	должна быть	3	2
229	из таких	2	2
230	на работу	1	2
231	не с	2	2
232	потому не	1	2
233	например с	1	2
234	не меняет	1	2
235	не на	2	2
236	ниже в	1	2
237	в своих	5	2
238	с этого	1	2
239	образом если	1	2
240	в россии	2	2
241	например в	3	2
242	с тем	2	2
243	многих других	1	2
244	является функцией	1	2
245	в которых	1	2
246	себя и	3	2
247	только для	1	2
248	не имеет	2	2
249	за ней	1	2
250	в итоге	2	2
251	роль в	2	2
252	в каком	1	2
253	к другому	1	2
254	во всяком	3	2
255	можно сказать	1	2
256	того как	1	2
257	в данном	7	2
258	в основе	5	2
