N	4gram	Losev_Vesc	Psycholo
1	заключается в том что	2	23
2	и в самом деле	1	19
3	в то время как	4	13
4	указывает на то что	3	11
5	с этой точки зрения	3	10
6	заключается в том чтобы	1	9
7	одно и то же	5	7
8	в том что он	2	7
9	не что иное как	12	6
10	один и тот же	1	5
11	было бы сказать что	2	5
12	одного и того же	1	4
13	никак не может быть	1	4
14	в то же время	4	3
15	и вместе с тем	1	3
16	том что он не	1	3
17	и то и другое	1	3
18	в том смысле что	1	3
19	значит ли это что	4	3
20	дело в том что	4	3
21	ни в каком случае	4	2
22	не только то что	1	2
23	решить вопрос о том	1	2
24	что с точки зрения	1	2
25	в ее чистом виде	1	2
26	так как она есть	1	2
27	заключается не в том	1	2
28	т д все это	1	2
29	и есть в сущности	1	2
30	только в том что	1	2
31	с одной стороны и	1	2
32	и т д все	1	2
33	и тем не менее	5	2
34	видим таким образом что	1	2
35	и т д и	11	2
36	т д и т	10	2
37	мы видим таким образом	1	2
38	бы то ни было	12	2
39	и в этом отношении	1	2
40	д и т д	10	2
41	есть не что иное	8	2
42	точка зрения приводит к	1	1
43	но уже сейчас мы	1	1
44	уже не может быть	2	1
45	то это значит что	3	1
46	то что в ней	1	1
47	оно есть не просто	1	1
48	не имеет никакого отношения	2	1
49	сами по себе совершенно	1	1
50	в коем случае не	1	1
51	когда речь идет о	1	1
52	когда она еще не	1	1
53	не иначе как в	1	1
54	которое вкладывает в нее	1	1
55	каком случае не может	1	1
56	и мы увидим как	1	1
57	ни в коем случае	1	1
58	указание на то что	1	1
59	в том что это	1	1
60	иначе как в результате	1	1
61	и даже больше того	1	1
62	к одному и тому	1	1
63	только в зависимости от	1	1
64	и более или менее	1	1
65	само по себе но	1	1
66	нельзя а можно только	1	1
67	о котором я говорю	1	1
68	сам по себе то	1	1
69	одному и тому же	1	1
70	не потому что они	3	1
71	но тот же самый	1	1
72	дело вовсе не в	1	1
73	как бы вбирает в	1	1
74	это значило бы что	3	1
75	умозаключений и т д	1	1
76	какого бы то ни	2	1
77	взятый сам по себе	1	1
78	на что не направленный	1	1
79	если это так то	2	1
80	что бы то ни	1	1
81	есть все то что	1	1
82	она резко отличается от	1	1
83	что оно есть не	2	1
84	ни о чем не	1	1
85	что они находятся в	1	1
86	если мы скажем что	1	1
87	из того что мы	1	1
88	в каком случае не	2	1
89	или что то же	2	1
90	и как раз в	1	1
91	по крайней мере в	2	1
92	одном и том же	1	1
93	в самом деле в	1	1
94	и не было бы	1	1
95	то с чем мы	2	1
96	в первом случае мы	1	1
97	свидетельствует о том что	3	1
98	ни на что не	1	1
99	и т д то	1	1
100	можно было бы и	1	1
101	какой бы то ни	1	1
102	что она и не	1	1
103	но если это так	2	1
104	бы вбирает в себя	1	1
105	когда мы говорили о	1	1
