N	2gram	Kanaev_Sov	EvropaiC
1	таким образом	11	34
2	в том	4	31
3	и в	7	24
4	том что	1	20
5	все эти	5	19
6	не может	17	18
7	может быть	12	17
8	до сих	1	15
9	все же	3	15
10	сих пор	1	15
11	точки зрения	12	14
12	в этом	7	13
13	все это	3	13
14	самом деле	2	12
15	с этим	2	12
16	в своем	1	12
17	по отношению	1	11
18	отношению к	1	11
19	все что	1	10
20	мы знаем	2	10
21	не только	4	10
22	как и	6	10
23	во всех	1	10
24	как бы	4	10
25	что в	2	9
26	при этом	3	9
27	в результате	6	9
28	не в	3	9
29	и все	3	9
30	и не	6	9
31	с другом	2	9
32	и что	2	9
33	друг с	2	9
34	того же	1	9
35	в самом	2	8
36	с точки	5	8
37	ясно что	3	8
38	если бы	1	8
39	так же	1	8
40	знаем что	2	8
41	из этих	2	8
42	так как	4	7
43	что при	2	7
44	на самом	1	7
45	не менее	2	7
46	о том	1	7
47	вместе с	4	7
48	в этой	3	7
49	по существу	1	7
50	мы можем	6	6
51	несмотря на	1	6
52	с ним	1	6
53	что с	1	6
54	только в	1	6
55	в мире	1	6
56	отличается от	3	6
57	еще не	3	6
58	все они	1	6
59	и если	1	6
60	и при	1	6
61	с другой	1	6
62	в то	1	6
63	и для	1	6
64	и к	3	5
65	а потому	1	5
66	должно быть	1	5
67	в его	2	5
68	из всех	1	5
69	что это	2	5
70	у него	2	5
71	его в	1	5
72	первое время	1	5
73	в которой	2	5
74	но все	2	5
75	именно в	1	5
76	быть и	2	5
77	не будет	1	5
78	между двумя	1	5
79	и их	1	5
80	в себе	3	5
81	и от	1	5
82	что все	2	5
83	к этому	1	5
84	в целом	4	5
85	из них	4	5
86	но в	3	5
87	то они	1	4
88	поэтому что	1	4
89	та же	1	4
90	этой области	1	4
91	этом случае	1	4
92	хотя и	1	4
93	тем не	2	4
94	совершенно не	2	4
95	из которых	2	4
96	в виде	2	4
97	связи с	1	4
98	что его	1	4
99	в конце	3	4
100	в таком	2	4
101	состоит из	3	4
102	не могут	2	4
103	между собой	3	4
104	и у	1	4
105	том случае	1	4
106	мы уже	1	4
107	в течение	1	4
108	то ни	2	4
109	в дальнейшем	4	4
110	в такой	1	4
111	мы должны	4	4
112	что эта	1	4
113	факт что	1	4
114	тот факт	1	4
115	всегда будет	1	4
116	и т.д	3	4
117	в области	3	4
118	он не	1	4
119	если мы	4	4
120	то же	3	4
121	совершенно так	1	4
122	никогда не	1	4
123	бы то	1	3
124	данном случае	1	3
125	и по	2	3
126	в начале	1	3
127	с одной	2	3
128	ни было	1	3
129	в нашем	2	3
130	как у	1	3
131	для нас	3	3
132	прежде всего	5	3
133	у нас	3	3
134	говорить что	1	3
135	различия между	1	3
136	чем в	1	3
137	в нем	3	3
138	сомнению что	1	3
139	представление о	1	3
140	можно назвать	2	3
141	в связи	1	3
142	не подлежит	3	3
143	же как	1	3
144	то из	1	3
145	настоящее время	2	3
