N	3gram	Nazirov_Vr	KFilosof
1	не может быть	2	11
2	с точки зрения	2	10
3	в этом смысле	1	3
4	в котором он	1	3
5	не было бы	1	3
6	и в этом	1	3
7	то что я	1	2
8	в том что	2	2
9	тем не менее	1	2
10	в то же	4	2
11	в соответствии с	1	2
12	то же время	4	2
13	в этот момент	2	1
14	в свою очередь	1	1
15	можно говорить об	1	1
16	равно как и	1	1
17	во всяком случае	1	1
18	на то что	1	1
19	не только от	1	1
20	в том же	1	1
21	а следовательно и	1	1
22	а с точки	1	1
23	ее и в	1	1
24	независимо от того	1	1
25	до сих пор	1	1
26	но в то	2	1
27	и в котором	1	1
28	и в то	1	1
29	и то что	1	1
30	но и от	1	1
31	но в этом	1	1
32	и все же	5	1
33	в известном смысле	1	1
34	между прочим и	1	1
35	это и есть	1	1
36	но это не	1	1
37	может быть и	1	1
