N	3gram	Vinokur_St	Marksizm
1	с точки зрения	10	46
2	не может быть	5	25
3	в самом деле	7	19
4	по отношению к	3	15
5	то же время	5	15
6	в то же	5	15
7	в том что	29	14
8	и не может	1	12
9	то ни было	1	12
10	в высшей степени	1	12
11	бы то ни	2	12
12	для того чтобы	13	11
13	до сих пор	12	11
14	в отличие от	1	10
15	с самого начала	3	10
16	но в то	2	9
17	в настоящее время	2	8
18	в отношении к	1	8
19	может быть и	2	8
20	смысле этого слова	1	7
21	с другой стороны	8	7
22	на то что	5	6
23	является не только	1	6
24	на самом деле	7	6
25	во всяком случае	8	6
26	с одной стороны	2	6
27	одни и те	1	5
28	должна опираться на	1	5
29	к тому что	4	5
30	той или иной	1	5
31	и те же	1	5
32	в этом случае	3	5
33	в этом отношении	13	5
34	в зависимости от	2	4
35	быть и речи	1	4
36	и пр в	1	4
37	но все же	3	4
38	о том что	19	4
39	в узком смысле	1	4
40	каких бы то	1	4
41	нашей точки зрения	1	4
42	у нас не	1	4
43	том что он	6	4
44	в той или	1	3
45	свое выражение в	2	3
46	не только в	4	3
47	в применении к	3	3
48	тем не менее	4	3
49	и тем же	2	3
50	хотя бы и	2	3
51	в том числе	3	3
52	и пр но	1	3
53	более или менее	2	3
54	и то же	1	3
55	в конце концов	2	3
56	том числе и	2	3
57	в данном отношении	6	3
58	вовсе не является	1	3
59	в значительной степени	2	3
60	и речи о	1	3
61	а не в	1	3
62	и в этом	4	3
63	но и в	2	3
64	и не в	1	3
65	на этот вопрос	2	3
66	одним и тем	2	3
67	одно и то	1	3
68	можно было бы	8	3
69	именно в том	1	3
70	он должен был	2	2
71	что он не	5	2
72	себе отчет в	1	2
73	в этом смысле	2	2
74	и в результате	1	2
75	ли отсюда что	1	2
76	в какой степени	1	2
77	друг от друга	1	2
78	их точки зрения	1	2
79	так или иначе	3	2
80	так и в	5	2
81	мы встречаем в	1	2
82	ничего общего с	3	2
83	а между тем	2	2
84	если бы это	1	2
85	в данном случае	7	2
86	и в других	1	2
87	к тому же	2	2
88	не то что	1	2
89	и в том	3	2
90	с нашей точки	1	2
91	тому что в	2	2
92	сами по себе	2	2
93	пр но и	1	2
94	того или иного	4	2
95	чуть ли не	2	2
96	а иногда и	2	2
97	по крайней мере	2	2
98	ту или иную	1	2
99	как и в	2	2
100	в г в	4	2
101	совершенно независимо от	1	2
102	в чем же	1	2
103	таким образом в	1	2
104	так же как	5	2
105	он не знает	1	2
106	хотя бы в	1	2
107	же как и	1	2
108	и в самом	3	2
109	вопрос о том	4	2
110	должен был бы	1	2
111	но и здесь	2	2
112	то не проще	1	1
113	что у нас	1	1
114	мы на самом	1	1
115	но ведь это	1	1
116	быть не может	1	1
117	как и во	1	1
118	другой же стороны	1	1
119	того как он	1	1
120	а может быть	1	1
121	в статье о	3	1
122	это не значит	3	1
123	однако и в	1	1
124	а не на	1	1
125	с громадным трудом	1	1
126	что и для	1	1
127	речи в этом	1	1
128	как раз того	1	1
129	давления со стороны	1	1
130	ни в каком	1	1
131	точка зрения на	1	1
132	и это не	1	1
133	во второй части	1	1
134	и даже не	2	1
135	конечно все эти	1	1
136	очень близко к	1	1
137	то что он	3	1
138	случае можно было	1	1
139	было бы ему	1	1
140	того чтобы не	1	1
141	на том что	1	1
142	по сравнению с	1	1
143	из этих двух	2	1
144	и в другом	1	1
145	все это и	1	1
146	для него не	1	1
147	то или иное	3	1
148	точки зрения той	1	1
149	та и другая	1	1
150	не столько в	1	1
151	в каком же	1	1
152	и на этом	1	1
153	и вообще нет	1	1
154	говоря уже о	2	1
155	он не может	1	1
156	вовсе не в	2	1
157	ответ на эти	1	1
158	в том же	3	1
159	с фактической стороны	1	1
160	еще почти не	1	1
161	совершенно так же	1	1
162	что в своем	3	1
163	духе как он	1	1
164	будет зависеть от	1	1
165	прежде всего необходимо	1	1
166	только с точки	1	1
167	свидетельствует о том	1	1
168	и не имеет	1	1
169	но и он	1	1
