N	4gram	Ircho_Kome	formyVre
1	в то же время	5	18
2	в том числе и	1	5
3	в то время как	6	4
4	в связи с этим	1	4
5	одних и тех же	1	4
6	ни в чем не	1	3
7	так же как и	1	3
8	одна и та же	1	2
9	и т п в	1	2
10	ни в один из	1	2
11	же что и в	1	2
12	в соответствии с этим	1	2
13	с этой точки зрения	1	1
14	то же время он	1	1
15	в том что в	1	1
16	дошедший до нас в	1	1
17	быта и частной жизни	1	1
18	по своему содержанию и	1	1
19	в то время когда	1	1
20	жизни но и в	1	1
21	нет и в помине	1	1
22	в тех случаях когда	1	1
23	с другой стороны в	1	1
24	в литературе нового времени	1	1
25	как и во всех	1	1
26	в том что они	1	1
27	у великих французских реалистов	1	1
28	в основе его лежит	1	1
29	как мы уже знаем	1	1
30	сводится к тому что	1	1
31	под тем же названием	1	1
32	в том что он	4	1
33	в это время и	1	1
34	скорее можно говорить о	1	1
35	до сих пор не	1	1
