N	4gram	Propp_Isto	Formalny
1	бы то ни было	2	7
2	с одной стороны и	1	5
3	на самом же деле	1	3
4	сводится к тому чтобы	1	3
5	мы уже знаем что	2	3
6	один и тот же	2	3
7	сам по себе а	1	2
8	иметь в виду что	1	2
9	только в связи с	1	2
10	не говоря уже о	1	2
11	какой бы то ни	1	2
12	но тем не менее	1	1
13	не что иное как	3	1
14	является не чем иным	1	1
15	мы увидим что и	1	1
16	как один из возможных	1	1
17	мы можем сказать что	1	1
18	так же обстоит дело	2	1
19	не сам по себе	1	1
20	дело в том что	2	1
21	в большей или меньшей	1	1
22	в том отношении что	1	1
23	и глубже чем это	1	1
24	с другой стороны в	1	1
25	потому что он был	1	1
26	в том что они	3	1
27	в какой это диктуется	1	1
28	не чем иным как	1	1
29	и связанные с ними	1	1
30	а для нас важны	1	1
31	с тем что в	1	1
32	но вместе с тем	1	1
33	и тем не менее	2	1
34	но и в пределах	1	1
35	а не только на	1	1
36	не может быть понят	1	1
37	по мере того как	4	1
38	что не мешает ему	1	1
39	есть не что иное	2	1
