N	2gram	Savitsky_P	Dialekti
1	не есть	1	181
2	т е	3	159
3	и не	12	120
4	и т	3	82
5	по себе	4	79
6	а не	2	78
7	и в	14	77
8	т д	1	75
9	точки зрения	3	72
10	может быть	5	71
11	не только	17	66
12	то что	4	59
13	и есть	2	55
14	не может	4	53
15	с точки	3	46
16	что это	1	46
17	есть нечто	2	46
18	потому что	3	45
19	не просто	1	44
20	как бы	4	43
21	и что	1	42
22	не имеет	1	41
23	в том	9	40
24	в этом	10	39
25	то же	9	39
26	в себе	3	38
27	том что	4	37
28	прежде всего	3	37
29	это не	3	36
30	она есть	3	35
31	и –	1	35
32	что в	4	34
33	в нем	3	34
34	того что	2	33
35	но и	6	32
36	ясно что	1	31
37	все это	2	31
38	отнюдь не	2	30
39	и как	3	30
40	было бы	6	29
41	как и	1	28
42	никогда не	1	27
43	не в	5	26
44	есть и	1	26
45	говорить о	2	25
46	и то	1	25
47	и пр	5	25
48	есть не	2	25
49	если бы	4	24
50	в то	7	23
51	что оно	1	23
52	и вот	2	23
53	что не	1	21
54	должна быть	1	21
55	она не	1	21
56	и с	2	20
57	что и	1	20
58	что все	1	20
59	только в	7	20
60	в каком	1	20
61	как раз	2	20
62	в самом	1	19
63	не менее	2	19
64	в своем	4	19
65	и притом	1	19
66	и это	2	19
67	тогда когда	1	19
68	что мы	3	19
69	же время	7	18
70	хотя бы	8	18
71	с другой	5	18
72	ни на	1	18
73	должно быть	2	17
74	одно и	1	16
75	само по	1	16
76	да и	2	16
77	нет ничего	1	16
78	мы не	3	16
79	только что	1	15
80	все же	1	15
81	так же	1	15
82	и мы	2	15
83	хотя и	3	15
84	в виде	2	15
85	также и	1	15
86	и о	5	15
87	на то	1	15
88	– все	1	14
89	не было	2	14
90	и ее	1	14
91	и потому	4	14
92	и только	1	14
93	и к	4	13
94	другой стороны	1	13
95	что именно	1	13
96	в смысле	6	13
97	в силу	2	13
98	с ее	1	13
99	но в	9	13
100	в ней	6	13
101	именно в	2	12
102	с этим	2	12
103	вопрос о	1	12
104	нет никакого	1	12
105	но как	1	12
106	но не	3	12
107	могут быть	3	12
108	иной раз	1	12
109	никак не	2	12
110	еще не	1	12
111	и если	4	12
112	тем более	2	12
113	а в	4	12
114	что если	1	11
115	в них	2	11
116	в данном	1	11
117	только на	1	11
118	о личности	1	11
119	не о	2	11
120	и тем	2	11
121	из них	2	11
122	оно есть	1	11
123	есть в	2	11
124	нисколько не	1	11
125	мы должны	4	11
126	только то	1	11
127	в душе	1	10
128	одно из	1	10
129	в результате	1	10
130	в жизни	2	10
131	веры и	1	10
132	во всяком	1	10
133	только как	1	10
134	для того	3	10
135	мы видим	1	10
136	в ее	2	10
137	если мы	1	10
138	в его	2	10
139	идеи и	1	10
140	в частности	2	10
141	может и	2	10
142	и уже	1	10
143	история и	1	9
144	не как	1	9
145	быть может	6	9
146	в этих	1	9
147	и на	1	9
148	в котором	4	9
149	мы можем	1	9
150	же как	1	9
151	и по	1	9
152	с ними	3	9
153	и более	1	9
154	время есть	1	9
155	или иной	1	9
156	религия есть	1	9
157	в истории	1	9
158	та или	1	9
159	она всегда	1	8
160	в отношении	10	8
161	вопрос об	1	8
162	себя в	1	8
163	с одной	3	8
164	или иная	1	8
165	по одному	1	8
166	что эта	1	8
167	этом смысле	1	8
168	в этой	1	8
169	что есть	1	8
170	науки и	1	8
171	в сфере	2	8
172	наука и	1	8
173	бы и	1	8
174	и без	3	8
175	мы и	1	7
176	как она	1	7
177	об отношении	1	7
178	как на	2	7
179	грань между	1	7
180	что уже	1	7
181	но для	1	7
182	в мире	2	7
183	и при	1	7
184	сами по	3	7
185	заключается в	3	7
186	отношения к	2	7
187	со стороны	2	7
188	в сравнении	3	7
189	с его	1	7
190	и где	1	7
191	и я	1	7
192	думать что	2	7
193	она должна	1	7
194	из этих	1	7
195	тем самым	3	7
196	т н	1	7
197	более или	1	6
198	в природе	1	6
199	уже в	1	6
200	одной стороны	3	6
201	в себя	1	6
202	одна из	2	6
203	во всех	2	6
204	в которой	1	6
205	я и	3	6
206	именно как	2	6
207	а она	1	6
208	того кто	1	6
209	друг другу	2	6
210	с тем	3	6
211	вместе с	1	6
212	может не	1	6
213	о котором	1	6
214	ни к	1	6
215	того чтобы	1	6
216	но о	2	6
217	на основании	1	6
218	каком смысле	1	6
219	всяком случае	1	6
220	они не	1	6
221	сравнении с	3	6
222	его в	1	6
223	или менее	1	6
224	бы ни	2	6
225	интеллигенции и	1	6
226	не с	1	6
227	стороны и	2	6
228	идет речь	1	6
229	для этого	1	6
230	а я	5	6
231	в сферу	1	5
232	есть прежде	1	5
233	их не	1	5
234	именно о	1	5
235	если он	1	5
236	например в	2	5
237	что по	1	5
238	в одно	1	5
239	в это	1	5
240	как таковую	1	5
241	может ли	2	5
242	и еще	1	5
243	смысле не	1	5
244	гораздо более	1	5
245	в качестве	9	5
246	что его	1	5
247	в свете	1	5
248	были бы	1	5
249	от нее	1	5
250	если в	2	5
251	сравнению с	1	5
252	только мы	1	5
253	по сравнению	2	5
254	тех пор	1	5
255	только один	1	5
256	отношении к	5	5
257	реальность и	2	5
258	во времени	1	5
259	реальное и	1	5
260	что с	1	5
261	весь мир	1	5
262	бы это	1	5
263	в области	11	5
264	только к	1	5
265	можно говорить	1	4
266	и очень	1	4
267	еще более	2	4
268	это значит?	1	4
269	и само	1	4
270	из нее	1	4
271	в собственном	1	4
272	относиться к	1	4
273	вечности и	1	4
274	к ним	1	4
275	представить себе	1	4
276	чтобы это	1	4
277	мы знаем	1	4
278	к чему	2	4
279	на себя	1	4
280	есть та	1	4
281	точек зрения	2	4
282	не нужно	2	4
283	чтобы понять	1	4
284	в каждом	1	4
285	из двух	1	4
286	главным образом	2	4
287	и здесь	1	4
288	есть для	1	4
289	он будет	1	4
290	связанные с	1	4
291	поэзии и	1	4
292	который не	1	4
293	друг друга	1	4
294	мир в	1	4
295	и этим	1	4
296	в предыдущем	1	4
297	них и	1	4
298	и слова	1	4
299	в общем	2	4
300	помнить что	2	4
301	или что	1	4
302	бы мы	1	4
303	к жизни	1	4
304	и эти	1	4
305	как ни	1	4
306	эти последние	1	4
307	же в	4	4
308	говорить об	1	4
309	что было	1	3
310	ней не	2	3
311	к этой	1	3
312	тех кто	4	3
313	мысли и	1	3
314	науке и	1	3
315	из чего	1	3
316	явление и	1	3
317	самосознание и	1	3
318	она ни	2	3
319	без того	1	3
320	во всей	2	3
321	что жизнь	1	3
322	в жертву	1	3
323	и личности	1	3
324	бытия как	1	3
325	совершенно ясно	1	3
326	и именно	1	3
327	и жизнь	1	3
328	но к	2	3
329	или его	1	3
330	а с	1	3
331	как факт	2	3
332	между тем	3	3
333	не более	1	3
334	как известно	1	3
335	не поможет	1	3
336	возможно что	1	3
337	культуры и	1	3
338	но есть	1	3
339	и чем	1	3
340	существует но	1	3
341	в которых	5	3
342	в отдельности	1	3
343	с которой	1	3
344	гласит что	1	3
345	и веры	1	3
346	вслед за	3	3
347	мы хотим	1	3
348	знаем что	1	3
349	видим в	1	3
350	тем же	1	3
351	по преимуществу	1	3
352	тот же	3	3
353	одних и	2	3
354	но на	1	3
355	и которая	1	3
356	для нас	2	3
357	место в	1	3
358	различия между	1	3
359	склонность к	1	3
360	в какой	1	3
361	значило бы	1	3
362	должен быть	1	3
363	отличие от	1	3
364	на свои	1	3
365	церкви и	2	3
366	которая хотя	1	3
367	далеко не	1	3
368	и всегда	1	3
369	д не	1	3
370	можно судить	1	3
371	мы отнюдь	1	3
372	в современной	1	3
373	и тех	1	3
374	не к	2	3
375	они являются	1	2
376	или хотя	1	2
377	чтобы дать	1	2
378	мы все	1	2
379	эта идея	2	2
380	что то	1	2
381	те же	1	2
382	мира а	1	2
383	чем говорить	1	2
384	не являясь	1	2
385	собственном смысле	1	2
386	мысль о	2	2
387	в некотором	1	2
388	в порядке	3	2
389	ними как	1	2
390	когда в	1	2
391	для философии	1	2
392	более как	1	2
393	настоящее и	1	2
394	знаем и	1	2
395	было в	2	2
396	душа и	1	2
397	он был	1	2
398	всего что	1	2
399	во многих	1	2
400	в условиях	1	2
401	или все	1	2
402	не об	1	2
403	в различных	1	2
404	не вполне	1	2
405	как оно	1	2
406	и движение	1	2
407	по характеру	2	2
408	ней и	1	2
409	наряду с	3	2
410	духа и	2	2
411	зрения можно	1	2
412	находится в	1	2
413	она может	1	2
414	друг с	1	2
415	духа с	1	2
416	или иным	1	2
417	реально и	1	2
418	по природе	1	2
419	говорили об	1	2
420	бы что	1	2
421	и других	2	2
422	бога не	1	2
423	в полной	2	2
424	от тех	1	2
425	не очень	1	2
426	прежде чем	1	2
427	которое в	2	2
428	пр в	1	2
429	в других	1	2
430	и мир	1	2
431	творчества и	2	2
432	ибо только	1	2
433	и быть	1	2
434	бы она	1	2
435	но до	1	2
436	не были	1	2
437	не могла	1	2
438	тот или	1	2
439	– по	1	2
440	история не	1	2
441	своего существования	1	2
442	сливаются в	1	2
443	которые были	1	2
444	было с	1	2
445	если будет	1	2
446	к сожалению	1	2
447	чувство и	1	2
448	них в	1	2
449	также что	1	2
450	исторического бытия	1	2
451	но также	4	2
452	вот как	1	2
453	от этой	1	2
454	равным образом	1	2
