N	4gram	Vinokur_Ku	Marksizm
1	в то же время	4	15
2	бы то ни было	1	12
3	одного и того же	2	9
4	и пр и пр	2	5
5	в том что он	3	4
6	все более и более	1	3
7	между первым и вторым	1	3
8	одной и той же	1	3
9	одно и то же	1	3
10	какой бы то ни	1	3
11	и в том что	1	2
12	в том или ином	1	2
13	и то же слово	1	2
14	до тех пор пока	1	2
15	находит свое выражение в	1	2
16	сводится к тому что	1	2
17	несмотря на то что	1	2
18	в собственном смысле слова	1	2
19	с этой точки зрения	3	1
20	не что иное как	2	1
21	но для того чтобы	1	1
22	от этого не меняется	1	1
23	что же касается до	1	1
24	есть и еще один	1	1
25	в широком смысле слова	1	1
26	но все же и	1	1
27	же и здесь мы	1	1
28	между грамматикой и стилистикой	1	1
29	выражение в том что	1	1
30	если мы взглянем на	1	1
31	не сам по себе	1	1
32	говоря уже о том	1	1
33	дело в том что	1	1
34	в большей или меньшей	2	1
35	вместо того чтобы искать	1	1
36	во всех этих случаях	1	1
37	в тех случаях когда	2	1
38	уже о том что	1	1
39	не говоря уже о	1	1
40	в этом отношении и	1	1
41	а вместе с тем	1	1
42	отсюда следует что в	1	1
43	но во всяком случае	1	1
44	хотя бы и не	1	1
45	во всяком случае все	1	1
46	все же и здесь	1	1
47	ни в какой мере	1	1
48	в самом деле в	1	1
49	на то что его	1	1
50	в самом деле среди	1	1
51	лишь после того как	1	1
52	свое выражение в том	1	1
53	свидетельствует о том что	1	1
54	смысле этого слова и	1	1
55	если бы дело шло	1	1
56	и с точки зрения	1	1
57	в этом последнем случае	1	1
58	на язык как на	1	1
59	история языка таким образом	1	1
