N	3gram	Tiupa_Disk	formyVre
1	то же время	9	21
2	в то же	7	18
3	в связи с	1	15
4	с точки зрения	3	15
5	не только в	2	11
6	в этом мире	2	10
7	и в то	2	10
8	до сих пор	1	10
9	и того же	4	9
10	одного и того	4	9
11	в большинстве случаев	2	8
12	в том числе	3	8
13	и прежде всего	2	8
14	не может быть	5	7
15	в отличие от	12	7
16	в этом отношении	4	7
17	прежде всего в	2	7
18	друг от друга	1	6
19	а также и	1	6
20	и в особенности	2	6
21	во всех этих	1	6
22	с одной стороны	12	6
23	в том что	18	5
24	одной стороны и	3	5
25	том числе и	3	5
26	то есть в	2	5
27	той или иной	6	5
28	как и в	3	5
29	времени и пространства	2	5
30	одно и то	2	5
31	и то же	2	5
32	и не только	2	5
33	по отношению к	13	4
34	в нем нет	1	4
35	не могло быть	1	4
36	друг на друга	1	4
37	но все же	1	4
38	с другой стороны	4	4
39	равно как и	1	4
40	человеческой жизни в	1	4
41	включает в себя	1	4
42	в этом случае	3	4
43	во всяком случае	2	4
44	в той или	1	3
45	но все эти	1	3
46	частной жизни и	1	3
47	и как бы	5	3
48	все то что	1	3
49	до нас в	1	3
50	о том как	1	3
51	между вещами и	1	3
52	до известной степени	2	3
53	в себя и	1	3
54	сами по себе	2	3
55	но при этом	3	3
56	в чем не	1	3
57	а не в	2	3
58	как раз и	1	3
59	то же самое	2	3
60	и все прочие	1	3
61	вместе с тем	1	3
62	в другом месте	1	3
63	о том что	8	3
64	в одно и	2	3
65	существенную роль в	4	3
66	с самого начала	2	3
67	так и в	4	3
68	также и в	1	3
69	ни в чем	1	3
70	тот или иной	2	3
71	жизни то есть	1	2
72	можно сказать что	3	2
73	в строгом смысле	1	2
74	по природе своей	6	2
75	в частности в	2	2
76	в соответствии с	4	2
77	в данном случае	6	2
78	к тому же	4	2
79	но в этом	1	2
80	в произведении и	1	2
81	же время они	1	2
82	и в различных	1	2
83	как таковые не	1	2
84	в свою очередь	3	2
85	в основе этих	1	2
86	то есть без	1	2
87	не было и	1	2
88	здесь как и	1	2
89	жизни но и	1	2
90	под углом зрения	1	2
91	как и все	1	2
92	дело в том	3	2
93	на ранних стадиях	1	2
94	в xvii веке	1	2
95	и не могло	1	2
96	по своей природе	3	2
97	внешнее и внутреннее	1	2
98	это прежде всего	3	2
99	и в большинстве	1	2
100	в основе своей	4	2
101	в целом ряде	1	1
102	что он не	1	1
103	события эти происходят	1	1
104	уст в уста	1	1
105	едином но сложном	1	1
106	и оболочка внешнее	1	1
107	тем более не	1	1
108	в его событийной	2	1
109	свой жизненный путь	1	1
110	для своей реализации	1	1
111	не было в	3	1
112	но здесь это	2	1
113	сложном событии которое	1	1
114	зоне контакта с	1	1
115	точка зрения на	1	1
116	в истории этого	1	1
117	и вернуться к	1	1
118	жанров в частности	1	1
119	данном случае мы	1	1
120	состоит именно в	1	1
121	и т.д эта	1	1
122	совокупность требований предъявляемых	1	1
123	том что в	3	1
124	на том что	1	1
125	в этом смысле	1	1
126	имеет отношение к	1	1
127	как слушатели-читатели события	1	1
128	и в другом	1	1
129	в частности на	1	1
130	во всех его	1	1
131	мира в котором	1	1
132	до наших дней	1	1
133	только в том	2	1
134	хотя бы и	1	1
135	состояло в том	1	1
136	в самом деле	1	1
137	в котором он	1	1
138	не только его	1	1
139	произведение в его	1	1
140	разносоставным в нем	1	1
141	тем не менее	1	1
142	жизненной формы определенного	1	1
143	дошли до нас	1	1
144	самого рассказывания в	2	1
145	более или менее	2	1
146	к сыну в	1	1
147	длительности и на	1	1
148	сказать что жанр	1	1
149	к данному положению	1	1
150	событие о котором	1	1
151	и образ умершего	1	1
152	мотивах превращения и	1	1
153	мы можем обозначить	1	1
154	то что может	1	1
155	приходит к выводу	1	1
156	объединены в едином	1	1
157	каждый из них	2	1
158	но в данном	1	1
159	за тридевять земель	1	1
160	прежде всего к	1	1
161	на ранних этапах	1	1
162	весьма существенную роль	2	1
163	событие самого рассказывания	2	1
164	по аналогии с	2	1
165	по себе они	1	1
166	обозначить как произведение	1	1
167	в разные времена	1	1
168	и все же	3	1
169	и разносоставным в	1	1
170	его жизненного пути	1	1
171	можно говорить о	1	1
172	мы и сами	1	1
173	время становления и	1	1
174	участвуем как слушатели-читатели	1	1
175	в таких произведениях	1	1
176	что во всех	1	1
177	иное значение чем	1	1
178	в сказках но	1	1
179	в данном отношении	1	1
180	в основном по	1	1
181	при этом он	1	1
182	и вообще в	1	1
183	в целом и	1	1
184	слушатели-читатели события эти	1	1
185	становления и роста	1	1
186	значении этого слова	1	1
187	в конечном счете	2	1
188	и т.п в	1	1
189	только то что	2	1
190	замкнутых в себе	1	1
191	свет и на	1	1
192	этих форм в	1	1
193	точки зрения на	1	1
194	или во всяком	1	1
195	в едином но	1	1
196	одном и том	1	1
197	эти происходят в	1	1
198	никогда не было	1	1
199	в значительной степени	3	1
200	с точкой зрения	1	1
201	и в том	1	1
202	местах и в	1	1
203	уже одно это	1	1
204	они неразрывно объединены	1	1
205	в этом значении	1	1
206	и не может	3	1
207	в этом последнем	1	1
208	в чистом виде	1	1
209	нами два события	1	1
210	она еще не	1	1
211	требований предъявляемых к	1	1
212	перед нами два	1	1
213	всегда строится на	1	1
214	разных местах и	1	1
215	но сложном событии	1	1
216	отца к сыну	1	1
217	и том же	1	1
218	предъявляемых к данному	1	1
219	образ человека проходящего	1	1
220	но в качестве	2	1
221	еще и в	1	1
222	прежде всего на	1	1
223	только в организации	1	1
224	отнюдь не предполагает	1	1
225	человека стал многослойным	1	1
226	и может быть	3	1
227	оболочка внешнее и	1	1
228	лежат в основе	1	1
229	можем обозначить как	1	1
230	ни в мире	2	1
231	два события событие	1	1
232	в этом же	1	1
233	продуктивной в истории	1	1
234	громадное значение в	1	1
235	его таким образом	1	1
236	то есть все	1	1
237	по исторической поэтике	1	1
238	которое мы можем	1	1
239	последнем мы и	1	1
240	нем разделились ядро	1	1
241	поэтому они не	1	1
242	в это время	1	1
243	ядро и оболочка	1	1
244	событии которое мы	1	1
245	образ умершего сливаются	1	1
246	от отца к	1	1
247	то что в	1	1
248	идеал и образ	1	1
249	требует для своей	1	1
250	в русской литературе	2	1
251	имеет громадное значение	1	1
252	для подглядывания и	1	1
253	на разных местах	1	1
254	рассказывания в этом	1	1
255	идеальный образ определенной	1	1
256	еще не было	1	1
257	и сами участвуем	1	1
258	в последующие века	1	1
259	формы определенного положения	1	1
260	новый специфически построенный	1	1
261	превращения и тождества	1	1
262	из уст в	1	1
263	котором рассказано в	1	1
264	о котором рассказано	1	1
265	бытия в его	1	1
266	истории этого жанра	1	1
267	неразрывно объединены в	1	1
268	как произведение в	1	1
269	в одной из	2	1
270	и на разных	1	1
271	на самом деле	1	1
272	картина мира полемически	1	1
273	сами участвуем как	1	1
274	происходят в разные	1	1
275	другой стороны в	1	1
276	специфически построенный образ	1	1
277	построенный образ человека	1	1
278	здесь имеет место	1	1
279	этом последнем мы	1	1
280	многослойным и разносоставным	1	1
281	в xix веке	1	1
282	стал многослойным и	1	1
283	подобно тому как	4	1
284	так и на	1	1
285	автора и читателей	1	1
286	жизни но в	1	1
287	образ сказочного человека	1	1
288	по длительности и	1	1
289	и событие самого	1	1
290	но исключительно в	1	1
291	к которому мы	1	1
292	было и не	1	1
293	так и его	1	1
294	может и должен	1	1
295	но отнюдь не	2	1
296	и по длительности	1	1
297	именно в том	1	1
298	значительную роль в	1	1
299	как мы видели	1	1
300	в себе не	2	1
301	строится на мотивах	1	1
302	том что он	1	1
303	в нем разделились	1	1
304	между тем как	1	1
305	тех случаях когда	1	1
306	быть осуществлено только	1	1
307	не могут быть	1	1
308	говорит о том	1	1
309	разделились ядро и	1	1
310	проходящего свой жизненный	1	1
311	в новое время	1	1
312	на первый взгляд	1	1
313	здесь в этом	1	1
314	в зоне контакта	1	1
315	этих жанров в	1	1
316	а не за	1	1
317	существенно то что	1	1
318	та или иная	1	1
319	в тех случаях	1	1
320	и на его	1	1
321	образ человека стал	1	1
322	на мотивах превращения	1	1
323	рассказано в произведении	1	1
324	человека проходящего свой	1	1
325	поздней стадии развития	1	1
326	его событийной полноте	1	1
327	то есть к	1	1
328	жизни в которых	1	1
329	романа еще не	1	1
330	время они неразрывно	1	1
331	ее к себе	1	1
332	определенной жизненной формы	1	1
333	всего в особом	1	1
334	к себе и	1	1
335	в котором они	1	1
336	произведении и событие	1	1
337	романа на ранних	1	1
338	в одном ряду	1	1
339	в другом случае	1	1
340	образ определенной жизненной	1	1
341	события событие о	1	1
342	то что происходило	1	1
