N	3gram	Propp_Isto	SlovoVZh
1	по отношению к	6	11
2	не может быть	8	7
3	в том что	6	4
4	дело в том	3	4
5	так как если	1	4
6	то ни было	2	3
7	до сих пор	11	3
8	это как бы	1	3
9	бы то ни	2	3
10	тем не менее	7	3
11	в каком отношении	1	2
12	это не так	1	2
13	на самом деле	2	2
14	в какой степени	1	2
15	одной стороны и	1	2
16	то же самое	3	2
17	мы можем сказать	1	2
18	мы никогда не	1	2
19	в зависимости от	3	2
20	с одной стороны	7	2
21	с другой стороны	7	2
22	до известной степени	1	2
23	и то же	1	2
24	но тем не	1	2
25	для нас же	2	2
26	со всех сторон	4	1
27	все же не	2	1
28	сам по себе	1	1
29	это только одна	1	1
30	сами по себе	1	1
31	о том что	5	1
32	как одно из	1	1
33	в противном случае	1	1
34	мы обратимся к	2	1
35	один и тот	2	1
36	можно с уверенностью	1	1
37	нам удалось показать	1	1
38	таким образом мы	3	1
39	только одна сторона	2	1
40	в высшей степени	1	1
41	мы не найдем	1	1
42	не всегда имеет	1	1
43	и тот же	2	1
44	по себе не	1	1
45	но уже в	1	1
46	само нуждается в	1	1
47	что мы имеем	3	1
48	какой бы то	1	1
49	в высшую степень	1	1
50	с уверенностью сказать	1	1
51	самом же деле	1	1
52	в нем и	1	1
53	но в то	1	1
54	сказать что и	1	1
55	равно как и	1	1
56	в этом направлении	1	1
57	только то что	1	1
58	значение и его	1	1
59	подобно тому как	3	1
60	как это делает	1	1
61	мы увидим что	8	1
62	и она не	1	1
63	с самого начала	4	1
64	на самом же	1	1
65	же как и	1	1
66	и в нем	2	1
67	так как будто	1	1
68	он не должен	1	1
69	и в каком	1	1
70	не сливаются в	1	1
71	можно было бы	5	1
72	в этом отношении	1	1
73	так же как	6	1
74	к нему в	1	1
75	бы показать что	1	1
76	и др все	1	1
77	тех или иных	1	1
78	для нас не	2	1
79	и прежде всего	1	1
80	прежде всего нужно	1	1
81	более или менее	5	1
82	но и в	4	1
83	мы имеем в	4	1
84	в значительной степени	1	1
85	то время как	3	1
86	том что в	1	1
87	сих пор мы	4	1
88	мы имеем дело	1	1
89	так как в	2	1
90	и в этом	1	1
91	уверенностью сказать что	1	1
92	в то время	3	1
93	в этом смысле	1	1
94	но все это	1	1
95	уже не может	1	1
96	но все же	7	1
97	другой стороны как	1	1
98	и здесь мы	1	1
99	если бы не	1	1
100	к тому же	1	1
101	может быть только	1	1
