N	3gram	Tiupa_Narr	EvropaiE
1	с точки зрения	2	16
2	в то же	7	15
3	то же время	7	14
4	и в то	2	8
5	с одной стороны	5	8
6	в том что	11	6
7	одной стороны и	1	6
8	так же как	1	5
9	этой точки зрения	1	5
10	для того чтобы	4	5
11	с этой точки	1	5
12	того или иного	3	4
13	той или иной	6	4
14	само по себе	1	4
15	не только в	12	4
16	то ни было	1	4
17	бы то ни	1	4
18	друг с другом	1	3
19	в той или	1	3
20	можно было бы	1	3
21	в этом смысле	1	3
22	же как и	1	3
23	заключает в себе	2	3
24	во всяком случае	2	3
25	можно сказать что	5	3
26	в известном смысле	4	3
27	в этом отношении	5	3
28	так и в	1	2
29	а тем более	1	2
30	по своему характеру	1	2
31	как мы видели	1	2
32	не может быть	6	2
33	на то что	2	2
34	в большинстве случаев	1	2
35	в данном случае	12	2
36	по сравнению с	1	2
37	и со стороны	1	2
38	друг от друга	1	2
39	в свою очередь	2	2
40	с другой стороны	1	2
41	из того что	1	2
42	тому или иному	1	2
43	в частности в	2	2
44	или хотя бы	1	2
45	и т д	1	1
46	настоящего времени в	1	1
47	хотя и не	2	1
48	в ряде случаев	2	1
49	в противном случае	1	1
50	что для него	1	1
51	в том случае	1	1
52	и не только	1	1
53	можно представить себе	1	1
54	не означает что	1	1
55	качестве одной из	1	1
56	и та же	1	1
57	то есть в	1	1
58	дело в том	2	1
59	так и со	1	1
60	большей или меньшей	1	1
61	к тому или	1	1
62	так и по	1	1
63	речь идет о	3	1
64	не сводится к	7	1
65	настоящего и будущего	1	1
66	в определенный момент	1	1
67	можно ли признать	1	1
68	мы не можем	1	1
69	вместо того чтобы	1	1
70	к тому что	4	1
71	или иной степени	1	1
72	но и в	4	1
73	том числе и	1	1
74	в полной мере	1	1
75	отнюдь не означает	1	1
76	можно развернуть в	1	1
77	в качестве одной	1	1
78	качестве одного из	1	1
79	к ней в	2	1
80	и тем самым	6	1
81	то время как	1	1
82	в соответствии с	7	1
83	в том смысле	1	1
84	в отличие от	6	1
85	как же обстоит	1	1
86	и того же	2	1
87	один и тот	1	1
88	по большей части	5	1
89	не может не	1	1
90	не исключено что	1	1
91	его жизни но	1	1
92	точки зрения развития	1	1
93	на то чтобы	2	1
94	в связи с	3	1
95	том случае если	1	1
96	и тот же	1	1
97	с другой в	1	1
98	а также в	1	1
99	только в качестве	1	1
100	между тем для	1	1
101	в этом процессе	1	1
102	в том числе	1	1
103	в стороне от	1	1
104	же обстоит дело	1	1
105	связи с этим	1	1
106	в то время	1	1
107	более или менее	2	1
108	в значительной степени	1	1
109	действительности как и	1	1
110	в качестве одного	1	1
111	на этот раз	1	1
112	на этот вопрос	1	1
113	в большей или	1	1
114	к тому же	8	1
115	находятся в отношении	1	1
116	одна и та	1	1
117	одного и того	2	1
118	а также и	1	1
119	может быть и	1	1
