N	2gram	Nazirov_Tr	Psycholo
1	то что	4	193
2	и в	18	190
3	в том	2	163
4	что в	4	123
5	потому что	2	114
6	том что	4	113
7	и что	4	108
8	может быть	7	107
9	таким образом	1	102
10	в этом	9	100
11	то есть	3	97
12	все время	1	86
13	в самом	2	82
14	как бы	7	80
15	того чтобы	1	78
16	что он	6	76
17	не только	8	75
18	и не	7	73
19	что она	2	71
20	самом деле	1	70
21	и т	1	69
22	не может	5	68
23	так же	4	63
24	то же	5	54
25	о том	2	54
26	при этом	3	52
27	как и	5	51
28	что и	2	50
29	а не	1	50
30	что это	5	49
31	по себе	1	46
32	только в	1	46
33	заключается в	1	46
34	говорит что	2	45
35	к тому	2	45
36	не в	2	45
37	в этой	4	43
38	никогда не	2	42
39	и все	4	42
40	вместе с	1	41
41	как это	3	40
42	но и	4	40
43	того что	1	39
44	т п	1	38
45	и это	2	37
46	мы видим	1	37
47	и как	3	36
48	с тем	2	35
49	и если	1	34
50	и его	6	34
51	тому что	1	33
52	все же	5	33
53	что все	2	33
54	в себе	4	32
55	все это	4	32
56	он не	2	31
57	в его	3	31
58	для нас	1	31
59	в ней	1	31
60	как будто	3	30
61	как в	3	30
62	с одной	1	29
63	в нем	4	29
64	и то	2	28
65	на деле	1	27
66	и на	7	27
67	в трагедии	1	26
68	так что	2	26
69	совершенно не	1	26
70	только что	1	25
71	и здесь	2	25
72	до конца	2	24
73	тем что	2	24
74	указывает на	1	24
75	и совершенно	1	24
76	в целом	4	24
77	в своем	3	23
78	один из	3	23
79	что оно	1	23
80	могут быть	1	23
81	между тем	1	22
82	и даже	4	22
83	в котором	1	21
84	в двух	1	21
85	той же	1	21
86	в своей	1	21
87	ни в	2	21
88	в конце	3	21
89	что эта	1	21
90	но только	1	21
91	как мы	1	21
92	и вот	1	21
93	в то	5	20
94	она не	1	20
95	дело с	1	20
96	несмотря на	5	20
97	на этом	1	20
98	это не	5	20
99	все эти	3	20
100	в одном	2	19
101	что при	1	19
102	в ее	2	19
103	у него	6	19
104	с этой	1	18
105	в которой	1	18
106	можно было	1	18
107	но в	6	18
108	что с	3	18
109	но не	1	18
110	и есть	1	18
111	перед нами	2	18
112	в виду	1	17
113	во всяком	1	17
114	но это	4	17
115	одна из	2	17
116	только не	1	17
117	и о	1	17
118	обратиться к	1	16
119	говорит о	2	16
120	самого начала	1	16
121	с самого	1	16
122	в таком	2	16
123	не имеет	2	16
124	так и	5	16
125	в результате	1	15
126	в них	1	15
127	только на	1	15
128	что именно	1	15
129	во всех	1	15
130	как говорит	2	15
131	не могут	2	15
132	и потому	1	15
133	не просто	2	15
134	еще не	4	15
135	для него	3	15
136	в частности	2	15
137	хотя бы	1	14
138	но он	1	14
139	это и	1	14
140	того как	1	14
141	прежде всего	4	14
142	что на	1	14
143	при таком	1	14
144	бы в	1	14
145	столь же	2	14
146	должна быть	1	14
147	всяком случае	1	14
148	в области	1	14
149	с ним	3	14
150	факт что	1	14
151	именно в	1	13
152	не могли	1	13
153	отнюдь не	3	13
154	с такой	1	13
155	в той	1	13
156	и он	3	13
157	говорит он	1	13
158	могло бы	1	13
159	как он	1	13
160	не менее	1	12
161	я не	4	12
162	в рассказе	2	12
163	в самой	1	12
164	сам по	1	12
165	но если	1	12
166	это в	1	12
167	конце концов	1	12
168	и с	7	12
169	например в	1	12
170	что этот	2	12
171	что не	1	12
172	и до	2	12
173	ничего не	2	12
174	об этом	4	12
175	что эти	2	12
176	понятно что	1	11
177	не было	1	11
178	утверждать что	1	11
179	сравнению с	1	11
180	по сравнению	1	11
181	но мы	1	11
182	на этот	1	11
183	уже в	3	11
184	на все	1	11
185	отличие от	2	11
186	есть в	1	11
187	исходит из	1	11
188	по поводу	2	11
189	его в	2	11
190	ли это	1	11
191	этого слова	1	11
192	с его	2	11
193	во всем	1	10
194	в другом	1	10
195	не так	2	10
196	именно на	1	10
197	искусства но	1	10
198	данном случае	2	10
199	от него	1	10
200	в данном	2	10
201	должно быть	3	10
202	по мнению	2	10
203	но как	1	10
204	и от	1	10
205	здесь мы	1	10
206	не является	1	10
207	это было	1	10
208	и их	1	10
209	не есть	1	9
210	так сказать	1	9
211	вопрос о	2	9
212	что даже	1	9
213	в чем	1	9
214	под влиянием	2	9
215	героя и	1	9
216	с ее	3	9
217	бы не	1	9
218	в отличие	2	9
219	в виде	2	9
220	и по	1	9
221	тем самым	3	9
222	и ее	2	9
223	о чем	3	9
224	точно так	2	9
225	но все	2	9
226	мысль о	1	9
227	роль в	1	9
228	ту же	1	9
229	мысль что	1	9
230	с совершенно	1	9
231	и наконец	1	9
232	не к	1	9
233	в общем	1	8
234	он в	1	8
235	о нем	1	8
236	смысле этого	1	8
237	в такой	1	8
238	и эта	1	8
239	представление о	1	8
240	наряду с	1	8
241	согласиться с	1	8
242	к нему	3	8
243	бы и	2	8
244	жизнь и	3	8
245	еще раз	2	7
246	не как	1	7
247	представляет собой	1	7
248	рассказывает о	1	7
249	связи с	1	7
250	полагал что	1	7
251	для чего	1	7
252	в особенности	1	7
253	и при	1	7
254	который он	1	7
255	только один	1	7
256	к ним	1	7
257	но при	2	7
258	к этой	1	7
259	одно из	1	7
260	если он	1	7
261	когда в	1	7
262	в глаза	2	7
