N	3gram	Medvedev_I	Problema
1	с другой стороны	1	25
2	для того чтобы	1	17
3	в значительной мере	1	7
4	в первую очередь	1	5
5	а с другой	1	4
6	по отношению к	1	2
7	и без этого	1	2
8	художественного творчества то	1	2
9	кто иной как	1	2
10	не кто иной	1	2
11	униженных и оскорбленных	1	1
12	что при такой	1	1
13	есть только общее	1	1
14	все это было	1	1
15	ничего не дает	1	1
16	другой стороны он	1	1
17	самого себя в	1	1
18	и многое другое	1	1
19	произведения и с	1	1
20	если бы все	1	1
21	только для того	1	1
22	бы все это	1	1
23	пушкина и гоголя	1	1
