N	2gram	Tiupa_Disk	RusskieA
1	и в	27	79
2	в том	29	64
3	том что	27	59
4	что в	8	57
5	не только	36	41
6	во время	1	38
7	и другие	1	33
8	в этом	29	33
9	состоит в	20	32
10	как бы	9	31
11	но и	22	31
12	в других	1	30
13	в и	1	30
14	как и	27	28
15	и на	8	28
16	может быть	29	28
17	в этот	1	26
18	одна из	1	24
19	о том	12	23
20	при этом	22	22
21	там же	3	20
22	это не	5	20
23	а в	5	20
24	как мы	2	20
25	из них	6	19
26	представляют собой	2	18
27	все это	2	18
28	с тем	1	17
29	таким образом	4	17
30	то что	10	17
31	вместе с	3	17
32	об этом	3	17
33	потому что	7	17
34	мы не	2	16
35	или на	3	15
36	будто бы	3	15
37	один из	3	15
38	в них	6	14
39	и с	2	14
40	не менее	6	14
41	тем не	1	14
42	как это	2	14
43	и что	2	14
44	мы видели	1	14
45	и не	25	14
46	в xix	1	14
47	уже не	7	13
48	к этому	4	13
49	в некоторых	1	13
50	так что	1	13
51	и по	2	13
52	как в	16	13
53	в которых	5	13
54	еще не	20	13
55	не может	17	13
56	тем что	4	12
57	между собой	2	12
58	этом случае	3	12
59	мы имеем	4	12
60	в виде	1	12
61	следующим образом	1	11
62	не имеет	1	11
63	но это	3	11
64	далеко не	10	11
65	что на	3	11
66	все же	8	10
67	так например	2	10
68	представляет собой	24	10
69	том чтобы	2	10
70	его в	1	10
71	между тем	5	10
72	что и	5	10
73	так и	14	10
74	или в	2	10
75	а также	15	10
76	и других	1	10
77	то же	12	9
78	о чем	4	9
79	видно что	1	9
80	что они	1	9
81	к жизни	1	9
82	с ней	3	9
83	и все	5	9
84	данном случае	6	9
85	том же	1	9
86	но в	15	9
87	в г	2	9
88	но не	17	9
89	одно из	4	8
90	в этих	4	8
91	представление о	1	8
92	связи с	4	8
93	на себя	2	8
94	во всех	6	8
95	что это	1	8
96	подобно тому	4	8
97	их в	2	8
98	в россии	1	8
99	того что	4	8
100	ее в	1	8
101	в данном	9	8
102	не все	1	8
103	как уже	5	8
104	тому как	5	8
105	же в	1	8
106	в это	1	7
107	должна была	1	7
108	в своем	11	7
109	на них	1	7
110	к нему	1	7
111	не в	8	7
112	а с	8	7
113	было бы	1	7
114	только в	9	7
115	еще в	6	7
116	это время	1	7
117	говорится что	1	7
118	из этих	3	7
119	а не	35	7
120	начиная с	1	7
121	до конца	2	7
122	ничего не	1	7
123	иногда и	1	7
124	и как	9	7
125	мы должны	1	7
126	как будто	3	7
127	для этого	1	7
128	в году	3	6
129	же как	1	6
130	к тому	6	6
131	что этот	1	6
132	и другой	2	6
133	не всегда	2	6
134	только на	2	6
135	но они	3	6
136	в одном	5	6
137	что она	1	6
138	в качестве	45	6
139	в разные	2	6
140	в таком	1	6
141	на земле	1	6
142	должно было	2	6
143	на этом	3	6
144	должны были	1	6
145	в этой	5	6
146	в нем	16	6
147	в в	1	6
148	с ними	1	6
149	приводит к	4	6
150	и более	1	6
151	что здесь	1	6
152	друг друга	2	6
153	в первый	1	6
154	в их	5	6
155	все эти	2	6
156	так в	1	6
157	а иногда	1	6
158	связаны с	1	6
159	она не	1	6
160	в новый	1	6
161	но она	3	6
162	и их	1	6
163	и о	4	6
164	при изучении	1	6
165	и к	4	5
166	в разных	1	5
167	стоит в	1	5
168	например в	4	5
169	тогда как	28	5
170	с этим	3	5
171	вопрос о	2	5
172	входит в	2	5
173	с другой	14	5
174	к ним	3	5
175	как правило	5	5
176	с целью	1	5
177	не было	9	5
178	в связи	1	5
179	такие же	1	5
180	или же	1	5
181	в тех	2	5
182	и др	3	5
183	будут рассмотрены	1	5
184	чаще всего	1	5
185	там где	1	5
186	в то	8	5
187	прежде всего	17	5
188	в особенности	5	5
189	его с	2	5
190	для них	1	5
191	что он	6	5
192	то и	1	5
193	в свою	3	5
194	к себе	2	5
195	заметить что	2	5
196	но если	1	5
197	в его	9	5
198	состоял в	1	5
199	на самом	1	5
200	или даже	2	5
201	и потому	3	5
202	в народе	1	5
203	отнюдь не	11	5
204	не с	4	5
205	в целом	5	5
206	вплоть до	2	5
207	во всем	2	4
208	или по	1	4
209	не столько	3	4
210	в своих	6	4
211	но все	2	4
212	именно в	5	4
213	во всяком	3	4
214	некоторые из	1	4
215	в котором	7	4
216	но эти	1	4
217	в отличие	13	4
218	под названием	2	4
219	от них	1	4
220	не просто	1	4
221	несмотря на	1	4
222	не соответствует	1	4
223	как можно	1	4
224	так на	1	4
225	не был	1	4
226	но есть	1	4
227	могут быть	5	4
228	и от	2	4
229	по нескольку	1	4
230	своего рода	15	4
231	за ним	1	4
232	они и	3	4
233	если в	2	4
234	в основном	1	4
235	и при	1	4
236	и другим	1	4
237	не на	3	4
238	в основе	11	4
239	в круг	1	4
240	что сила	1	4
241	в середине	1	4
242	совпадают с	2	4
243	и до	2	4
244	и там	1	4
245	переход от	2	4
246	на две	1	4
247	в образе	1	4
248	этого слова	1	4
249	всяком случае	2	4
250	у них	1	4
251	нас не	1	4
252	уже в	2	4
253	его и	1	4
254	в таких	1	4
255	такой же	1	4
256	по своему	3	4
257	а к	3	4
258	отличие от	13	4
259	в ней	2	4
260	дело не	3	4
261	связано с	1	4
262	которые в	1	4
263	и ее	5	4
264	таким же	1	4
265	можно говорить	2	3
266	же и	1	3
267	говорит о	1	3
268	представлений о	1	3
269	в какой	2	3
270	в виду	2	3
271	более или	2	3
272	на которых	1	3
273	есть в	3	3
274	имеет место	4	3
275	а именно	1	3
276	в одно	2	3
277	на первый	1	3
278	от этого	1	3
279	восходит к	4	3
280	он был	1	3
281	представления о	2	3
