N	3gram	Bakhtin_fo	Poddanst
1	то же время	13	7
2	в то же	10	7
3	в том что	4	4
4	не только в	6	4
5	сами по себе	2	3
6	с точки зрения	9	3
7	с одной стороны	3	3
8	и как раз	6	2
9	но и в	5	2
10	в значительной мере	2	2
11	и в то	7	2
12	в том числе	7	2
13	и не только	2	2
14	в тот же	1	2
15	одной стороны и	2	2
16	и т д	3	1
17	друг с другом	5	1
18	в борьбе с	2	1
19	совершенно ясно что	1	1
20	что мы и	1	1
21	и в частности	2	1
22	не входят в	2	1
23	в этих двух	1	1
24	вместе с тем	3	1
25	но в то	2	1
26	в противоречии с	1	1
27	том числе и	4	1
28	в одно и	3	1
29	не может быть	4	1
30	в этом мире	7	1
31	та или иная	1	1
32	в большинстве случаев	2	1
33	ибо то что	1	1
34	мы видим в	1	1
35	том что в	1	1
36	в отличие от	3	1
37	по сравнению с	3	1
38	есть прежде всего	1	1
39	что во всех	1	1
40	что в этом	1	1
41	но в этом	2	1
42	в нем в	2	1
43	во всяком случае	1	1
44	для того чтобы	11	1
45	и не столько	1	1
46	что то же	1	1
47	с другой стороны	1	1
48	в последующие века	1	1
49	бы она ни	2	1
50	тем более что	2	1
51	так же как	2	1
52	тот или иной	1	1
53	в частности в	1	1
54	или хотя бы	1	1
55	и в этом	2	1
56	или что то	1	1
57	то что происходит	1	1
