N	4gram	Losev_Dial	Formalny
1	в то же время	7	20
2	и в то же	3	6
3	с одной стороны и	3	5
4	в связи с этим	2	5
5	все более и более	1	4
6	бы она ни была	1	4
7	на самом же деле	2	3
8	мы уже знаем что	2	3
9	с точки зрения самого	2	3
10	и то и другое	3	3
11	но в то же	1	3
12	и до сих пор	1	2
13	в том смысле что	3	2
14	не может и не	2	2
15	с точки зрения своей	1	2
16	одних и тех же	1	2
17	иметь в виду что	2	2
18	не говоря уже о	1	2
19	и в этом отношении	1	2
20	не нуждается ни в	1	2
21	и с точки зрения	1	2
22	не в том что	1	2
23	материала с другой стороны	1	1
24	с точки зрения какого-нибудь	1	1
25	лишь с точки зрения	1	1
26	взятые сами по себе	1	1
27	не что иное как	4	1
28	с той или иной	1	1
29	с самого начала что	1	1
30	не выходя за пределы	2	1
31	одно и то же	8	1
32	не потому что он	2	1
33	мы можем сказать что	3	1
34	не с точки зрения	2	1
35	т е в конце	1	1
36	и не должна быть	2	1
37	в одних и тех	1	1
38	сами по себе не	1	1
39	не имеет никакого отношения	1	1
40	в жизни и в	1	1
41	дело в том что	1	1
42	что на самом деле	1	1
43	же в таком случае	1	1
44	же время никогда не	1	1
45	ни в чем не	1	1
46	в нем должна быть	1	1
47	с другой стороны в	1	1
48	же самое и в	1	1
49	ни в коем случае	1	1
50	одной и той же	1	1
51	как бы она ни	1	1
52	тем не менее в	1	1
53	на самом деле это	1	1
54	а с точки зрения	2	1
55	как бы ни была	1	1
56	все новые и новые	1	1
57	совершенно не нуждается в	1	1
58	в самом деле с	1	1
59	ясно что это не	1	1
60	то же самое и	1	1
61	в коем случае не	1	1
62	с другой стороны без	1	1
63	действительности как она есть	1	1
64	а потому что он	1	1
65	так а не иначе	1	1
66	и тем не менее	1	1
67	наука до сих пор	1	1
68	по мере того как	1	1
69	что же это за	1	1
70	то же и в	1	1
71	есть не что иное	3	1
