N	2gram	Tiupa_Disk	Morfolog
1	может быть	29	61
2	в сказке	3	27
3	таким образом	4	26
4	действующих лиц	1	22
5	могут быть	5	21
6	мы имеем	4	19
7	не может	17	19
8	в этом	29	18
9	в этих	4	17
10	представляет собой	24	17
11	и в	27	17
12	представляют собой	2	16
13	и не	25	16
14	перед нами	4	14
15	с этим	3	14
16	прежде всего	17	14
17	при помощи	1	12
18	связи с	4	12
19	и др	3	12
20	а не	35	11
21	заметить что	2	11
22	чаще всего	1	11
23	что в	8	10
24	то же	12	10
25	вопрос о	2	10
26	не всегда	2	10
27	но если	1	10
28	этом случае	3	10
29	в том	29	10
30	так и	14	10
31	что и	5	10
32	в связи	1	10
33	то что	10	10
34	все же	8	9
35	о животных	3	9
36	с другой	14	9
37	но и	22	9
38	не только	36	8
39	в результате	3	8
40	мы не	2	8
41	в качестве	45	8
42	но не	17	8
43	представляет собою	1	8
44	в тех	2	8
45	а в	5	8
46	как мы	2	8
47	во втором	5	7
48	один из	3	7
49	если в	2	7
50	не могут	2	7
51	не менее	6	7
52	том что	27	7
53	потому что	7	7
54	по отношению	13	7
55	наряду с	1	7
56	точки зрения	6	7
57	как это	2	7
58	тем не	1	7
59	или же	1	7
60	а также	15	7
61	отношению к	13	7
62	и другие	1	6
63	подобно тому	4	6
64	сказки с	1	6
65	о том	12	6
66	сказки и	2	6
67	как бы	9	6
68	не все	1	6
69	но это	3	6
70	это не	5	6
71	с точки	3	6
72	в образе	1	6
73	в нашем	2	6
74	сказки о	3	6
75	или в	2	6
76	и как	9	6
77	вовсе не	1	6
78	во всех	6	6
79	также и	6	6
80	в форме	2	6
81	во время	1	6
82	они и	3	5
83	героя в	6	5
84	из которых	1	5
85	другой стороны	5	5
86	в первом	4	5
87	вслед за	1	5
88	по их	1	5
89	что он	6	5
90	как в	16	5
91	со стороны	17	5
92	видно что	1	5
93	это явление	1	5
94	хотя бы	3	5
95	было бы	1	5
96	к тому	6	5
97	ничего не	1	5
98	что они	1	5
99	хотя и	3	5
100	учение о	1	5
101	все эти	2	5
102	одна из	1	5
103	между собой	2	5
104	на его	4	5
105	об этом	3	5
106	в других	1	5
107	там где	1	5
108	мы можем	1	5
109	сюда же	1	5
110	тому как	5	5
111	между тем	5	5
112	он не	4	5
113	если же	1	5
114	далеко не	10	5
115	в ходе	5	5
116	в целом	5	5
117	и ее	5	5
118	и к	4	4
119	в некоторых	1	4
120	на этом	3	4
121	как и	27	4
122	самом деле	2	4
123	но все	2	4
124	тем что	4	4
125	уже не	7	4
126	еще не	20	4
127	не является	5	4
128	входит в	2	4
129	героя а	1	4
130	говорить о	3	4
131	и наоборот	1	4
132	сказать что	4	4
133	следующим образом	1	4
134	на него	2	4
135	сказка о	1	4
136	из них	6	4
137	но в	15	4
138	что сказка	1	4
139	несмотря на	1	4
140	на самом	1	4
141	его в	1	4
142	что его	1	4
143	с теми	1	4
144	случае не	1	4
145	встречается в	1	4
146	к этому	4	4
147	волшебные сказки	1	4
148	в то	8	4
149	сказки не	1	4
150	как таковые	1	4
151	от того	1	4
152	в иных	1	4
153	могла бы	2	4
154	о его	1	4
155	независимо от	1	4
156	три года	1	4
157	их по	1	4
158	всего это	1	3
159	утверждать что	1	3
160	в сказках	2	3
161	для каждой	1	3
162	сказки в	1	3
163	с этой	2	3
164	и при	1	3
165	что это	1	3
166	это уже	1	3
167	в сущности	3	3
168	одному из	1	3
169	ни в	7	3
170	связывается с	1	3
171	то с	2	3
172	только в	9	3
173	в плоскости	1	3
174	из двух	5	3
175	всего следует	1	3
176	или на	3	3
177	можно назвать	2	3
178	и другим	1	3
179	в собственном	1	3
180	может существовать	1	3
181	на первый	1	3
182	некоторые из	1	3
183	не существует	1	3
184	и что	2	3
185	но эти	1	3
186	или не	2	3
187	целый ряд	2	3
188	состоит в	20	3
189	и вне	2	3
190	так например	2	3
191	здесь не	1	3
192	с его	9	3
193	последовательность событий	2	3
194	он должен	1	3
195	к нему	1	3
196	то в	1	3
197	первый взгляд	1	3
198	они не	2	3
199	того что	4	3
200	что такое	1	3
201	ее в	1	3
202	но как	2	3
203	это и	2	3
204	о герое	1	3
205	и есть	2	3
206	в виде	1	3
207	в таких	1	3
208	должны рассматриваться	1	3
209	к чему	2	3
210	но для	2	3
211	здесь же	1	3
212	в какой	2	3
213	большинстве случаев	2	3
214	даже не	1	3
215	это было	2	3
216	вопроса о	1	3
217	том случае	1	3
218	определен как	1	3
219	героя и	2	3
220	как уже	5	3
221	если бы	1	3
222	друг друга	2	3
223	мы должны	1	3
224	и тем	2	3
225	не в	8	3
226	в которой	2	3
227	на нем	1	3
228	а по	2	3
229	и их	1	3
230	в начале	2	3
231	в пределах	4	3
232	в большинстве	3	3
233	в этой	5	3
234	приводит к	4	3
235	но есть	1	3
236	же в	1	3
237	все еще	1	3
238	из другой	1	3
239	на то	1	3
240	волшебная сказка	1	3
241	и его	4	3
242	и по	2	3
243	и только	1	3
244	сказки как	1	3
245	встречается и	1	3
246	можно указать	1	3
247	а потому	1	2
248	как таковой	1	2
249	самого себя	1	2
250	должна быть	2	2
251	научной литературе	1	2
