N	3gram	Nazirov_Tv	Morfolog
1	и т д	10	60
2	не может быть	2	9
3	в связи с	2	9
4	по отношению к	3	7
5	тем не менее	2	6
6	с другой стороны	2	5
7	в том что	8	4
8	на самом деле	2	4
9	не могут быть	2	4
10	к тому что	1	4
11	о том что	6	3
12	как и в	2	3
13	не значит что	2	3
14	в настоящее время	1	3
15	бы то ни	1	3
16	на первый взгляд	1	3
17	и тем не	1	2
18	это не значит	2	2
19	о том как	1	2
20	быть определен как	1	2
21	дело не в	1	2
22	то что в	1	2
23	говорить о том	1	2
24	друг на друга	1	2
25	хотя и не	1	2
26	т д в	1	2
27	не что иное	1	2
28	это еще не	1	2
29	друг за другом	1	2
30	можно было бы	1	2
31	точно так же	3	2
32	в данном случае	2	2
33	мы имеем в	1	2
34	и в других	1	2
35	то ни было	1	2
36	во всяком случае	2	2
37	что иное как	1	2
38	к вопросу о	1	2
39	с одной стороны	1	2
40	может быть определен	1	1
41	о характере этого	1	1
42	т д и	1	1
43	в свою очередь	2	1
44	могут быть названы	1	1
45	т д все	1	1
46	ничего не зная	1	1
47	они представляют собой	1	1
48	вспомним хотя бы	1	1
49	как один из	1	1
50	нашу мысль на	1	1
51	в применении к	1	1
52	что они имеют	1	1
53	до начала действия	1	1
54	играют огромную роль	1	1
55	это одна из	1	1
56	том или другом	1	1
57	в чем же	1	1
58	то что не	1	1
59	за той или	1	1
60	в первый раз	1	1
61	что же касается	1	1
62	можно сказать что	2	1
63	можно говорить лишь	1	1
64	более и более	1	1
65	в то же	19	1
66	и многое другое	2	1
67	на этот вопрос	2	1
68	в таком случае	2	1
69	вряд ли можно	1	1
70	когда герой в	1	1
71	заметим кстати что	1	1
72	до сих пор	1	1
73	все более и	1	1
74	не означает что	2	1
75	прежде всего возникает	1	1
76	а если мы	1	1
77	могут быть поняты	2	1
78	роль в создании	1	1
79	той или иной	1	1
80	но это еще	1	1
81	бросается в глаза	1	1
82	в бою и	1	1
83	не зная о	1	1
84	в этой области	1	1
85	так например в	1	1
86	вполне может быть	1	1
87	т д такое	1	1
88	это уже не	2	1
89	выясняется что он	1	1
90	если же в	1	1
91	нет не только	1	1
92	с самого начала	3	1
93	и др мы	1	1
94	такую же роль	1	1
95	еще не все	1	1
96	мы видим как	1	1
97	в своей известной	3	1
98	удобный момент для	1	1
99	это значит что	1	1
100	в целом и	1	1
101	или во всяком	1	1
102	то же время	18	1
103	в третий раз	1	1
104	некоторые из них	1	1
105	является одним из	3	1
106	не то что	1	1
107	в их числе	1	1
108	не задаваясь вопросом	1	1
109	но это не	2	1
110	он не может	1	1
