N	3gram	Tiupa_Anal	Komedia
1	в том что	13	29
2	к тому же	6	21
3	в то же	9	16
4	то же время	7	16
5	до сих пор	1	16
6	в самом деле	3	13
7	о том что	8	13
8	и т п	3	11
9	для того чтобы	3	11
10	в свою очередь	1	10
11	едва ли не	1	10
12	по отношению к	9	9
13	вместе с тем	1	9
14	с одной стороны	6	9
15	речь идет о	1	8
16	с другой стороны	2	8
17	и в самом	3	8
18	обращает на себя	3	7
19	так или иначе	1	7
20	бы то ни	3	7
21	то ни было	3	7
22	на этот раз	1	7
23	на себя внимание	3	7
24	в первую очередь	1	7
25	во всяком случае	1	7
26	в отличие от	8	6
27	говоря уже о	1	6
28	в том числе	3	6
29	в связи с	2	6
30	с точки зрения	6	6
31	до тех пор	1	6
32	не говоря уже	1	6
33	о том как	1	5
34	то же самое	3	5
35	в ответ на	2	5
36	в этом отношении	5	5
37	тем не менее	3	5
38	том что он	2	5
39	и тот же	2	4
40	в самом начале	3	4
41	в обоих случаях	2	4
42	там и здесь	1	4
43	к тому что	2	4
44	не в состоянии	1	4
45	можно было бы	1	4
46	во второй половине	1	4
47	в той же	1	3
48	в том же	1	3
49	более или менее	2	3
50	друг с другом	2	3
51	в соответствии с	2	3
52	а то и	1	3
53	вместе с ним	2	3
54	равно как и	1	3
55	на то что	2	3
56	но и в	3	3
57	в последние десятилетия	1	3
58	один и тот	1	3
59	и к тому	2	3
60	в этой связи	2	3
61	состоит в том	6	3
62	не более чем	4	3
63	по меньшей мере	1	3
64	внешней и внутренней	1	3
65	из того же	1	3
66	если бы он	1	3
67	том числе и	1	3
68	и там и	1	3
69	тому же не	1	2
70	мере в какой	2	2
71	как будто бы	1	2
72	и даже не	1	2
73	в конечном счете	5	2
74	в этом смысле	3	2
75	с этой точки	2	2
76	по отношению ко	1	2
77	как и в	2	2
78	в частности в	2	2
79	в первом случае	2	2
80	в отношении к	1	2
81	в зависимости от	1	2
82	и таким образом	1	2
83	не было и	1	2
84	а затем и	1	2
85	в основе своей	2	2
86	себя внимание что	1	2
87	в тех случаях	1	2
88	если говорить о	2	2
89	а в качестве	1	2
90	как это было	1	2
91	так и не	5	2
92	этой точки зрения	2	2
93	только в том	1	2
94	и тем что	1	2
95	но и все	1	2
96	выходят за пределы	1	2
97	подобно тому как	5	2
98	имеем в виду	1	2
99	не только в	3	2
100	только для того	1	2
101	мы имеем в	1	2
102	в этом случае	4	2
103	в поле зрения	2	2
104	тех случаях когда	1	2
105	и все же	2	2
106	на фоне которых	1	1
107	тех пор пока	1	1
108	следует понимать как	2	1
109	на этом фоне	1	1
110	как и во	1	1
111	но и не	5	1
112	выходит далеко за	1	1
113	в центре этой	1	1
114	и вся его	1	1
115	не является по	1	1
116	в применении к	1	1
117	никак не может	1	1
118	в той мере	2	1
119	отнюдь не является	1	1
120	в литературе нового	1	1
121	не может быть	17	1
122	несмотря на то	1	1
123	не следует упускать	1	1
124	имеется в виду	1	1
125	можно сказать что	1	1
126	в борьбе с	2	1
127	имеем дело с	4	1
128	литературе нового времени	1	1
129	в собственном смысле	1	1
130	да и в	1	1
131	далеко за пределы	1	1
132	не в мире	1	1
133	а то что	1	1
134	в течение всего	1	1
135	и частной жизни	1	1
136	в коем случае	2	1
137	и во всех	1	1
138	именно к этому	1	1
139	все что ни	1	1
140	в наибольшей степени	1	1
141	далеко не всегда	2	1
142	от которого он	1	1
143	первой из них	1	1
144	а также диалог	1	1
145	того или иного	3	1
146	себя внимание в	1	1
147	бы ни был	1	1
148	при известии о	1	1
149	этот раз не	1	1
150	одного и того	2	1
151	событие о котором	1	1
152	по своему содержанию	1	1
153	сам по себе	1	1
154	и если бы	1	1
155	в том случае	1	1
156	а между тем	1	1
157	как он полагает	1	1
158	даже если он	1	1
159	и в любых	1	1
160	следует упускать из	1	1
161	смысле этого слова	1	1
162	ни в коем	2	1
163	и повсюду в	1	1
164	ли не в	1	1
165	том что именно	1	1
166	ни о чем	1	1
167	всего лишь два	1	1
168	не сводится к	2	1
169	они относятся к	1	1
170	большей или меньшей	4	1
171	по аналогии с	1	1
172	в полной мере	3	1
173	именно здесь в	1	1
174	одна из функций	1	1
175	и тем самым	2	1
176	как будто он	1	1
177	в данном случае	3	1
178	вместе с ними	1	1
179	это было в	1	1
180	ответ на слова	1	1
181	но если бы	1	1
182	и остается в	1	1
183	той мере в	2	1
184	попадает в поле	1	1
185	не столько о	1	1
186	так же точно	1	1
187	и в пределах	2	1
188	и того же	2	1
189	и не требует	1	1
190	в третий раз	1	1
191	если не будет	1	1
192	следует думать что	1	1
193	в значительной степени	1	1
194	поводу того что	1	1
195	и в тексте	1	1
196	или хотя бы	1	1
197	а не в	3	1
198	и не может	4	1
199	и в этом	4	1
200	мы имеем дело	7	1
201	в углу комнаты	1	1
202	собственном смысле слова	1	1
203	вслед за ним	1	1
204	за единственным исключением	1	1
205	героя нашего времени	2	1
206	той или иной	8	1
207	но прежде всего	1	1
208	и что же?	1	1
209	не в его	1	1
210	хотя он и	1	1
211	могла бы быть	1	1
212	не следует думать	1	1
213	и особенно в	1	1
214	а вместе с	1	1
215	каков бы ни	1	1
216	он не только	1	1
217	в одном лице	1	1
218	в котором по	1	1
219	в том чтобы	7	1
220	по крайней мере	4	1
221	же время он	1	1
222	в любой другой	1	1
223	как и вся	1	1
224	приходится прибегать к	1	1
225	это не так	1	1
226	бы столь же	1	1
227	каждый из которых	1	1
228	бы он был	1	1
229	в свое время	3	1
230	что же касается	1	1
231	самом деле не	1	1
232	же самое что	1	1
233	на вопрос почему	1	1
234	как один из	1	1
235	жизни но и	1	1
236	вложены в уста	1	1
237	том же году	1	1
238	внешнее и внутреннее	1	1
239	той же мере	1	1
240	в самом его	1	1
241	по себе мало	1	1
242	на этот вопрос	1	1
243	во времени и	4	1
244	так как будто	1	1
245	что с ними	1	1
246	со всех сторон	1	1
247	он может быть	1	1
248	первую из этих	1	1
249	не выходят за	1	1
250	самом его конце	1	1
251	в противном случае	1	1
252	не что иное	5	1
253	и в частности	1	1
254	и та же	1	1
255	мы узнаем о	1	1
256	по поводу того	1	1
257	в отрыве от	2	1
258	состоит не в	1	1
259	так и на	1	1
260	ему и не	1	1
261	которые могут быть	1	1
262	при всей их	1	1
263	у него на	4	1
264	для них обоих	1	1
265	не менее в	1	1
266	не вызывает сомнений	1	1
267	одна и та	1	1
268	должна была бы	1	1
269	том случае если	1	1
270	что иное как	6	1
271	не последнюю роль	1	1
272	отношению ко всем	1	1
273	этом случае в	1	1
274	все это делает	1	1
275	не с целью	1	1
276	со стороны других	1	1
277	тому как мы	1	1
278	в том виде	1	1
279	если в основе	1	1
280	во время экспедиции	1	1
281	как уже говорилось	3	1
282	сама по себе	1	1
283	и не знает	1	1
