N	2gram	Propp_Isto	NovoeSre
1	а не	5	17
2	не может	10	16
3	и в	44	16
4	совсем не	1	12
5	и не	19	11
6	и есть	3	10
7	что в	18	9
8	в том	13	8
9	жизни и	4	8
10	он не	5	8
11	в этом	20	7
12	может быть	31	7
13	не будет	1	7
14	как и	12	7
15	ни в	2	6
16	не знает	1	6
17	не в	11	6
18	лишь в	2	6
19	с его	3	6
20	но это	10	6
21	никогда не	5	6
22	и к	3	5
23	не только	17	5
24	в ней	8	5
25	все это	4	5
26	xix века	1	5
27	в жизни	1	5
28	в нем	10	5
29	должен быть	2	5
30	перестает быть	1	4
31	и потому	2	4
32	и мы	3	4
33	по своему	1	4
34	потому что	18	4
35	большую роль	1	4
36	это не	8	4
37	прежде всего	7	4
38	в них	3	4
39	то что	16	4
40	не было	2	4
41	и все	4	4
42	не менее	6	4
43	не имеет	4	4
44	значит что	2	4
45	и для	3	4
46	о том	11	4
47	во всех	3	3
48	истории не	1	3
49	вопрос о	5	3
50	не означает	1	3
51	в наши	2	3
52	в наше	2	3
53	и пр	6	3
54	должна быть	3	3
55	она не	7	3
56	тому как	2	3
57	в ее	4	3
58	эти формы	1	3
59	что такое	1	3
60	конечно не	1	3
61	подобно тому	2	3
62	в истории	7	3
63	с другой	11	3
64	право и	1	3
65	в основе	3	3
66	к ним	2	3
67	бога и	1	3
68	сказать что	2	3
69	наряду с	7	3
70	и начало	1	3
71	с тем	9	3
72	к жизни	1	3
73	не есть	1	3
74	в своей	3	3
75	в мире	1	3
76	как в	11	3
77	перейти к	2	3
78	но и	16	3
79	это было	2	3
80	к ее	1	3
81	к тому	1	3
82	человека и	2	3
83	еще не	16	3
84	с этим	7	2
85	все они	1	2
86	центр тяжести	2	2
87	и от	1	2
88	это и	3	2
89	ни к	1	2
90	силы и	2	2
91	и что	13	2
92	что она	3	2
93	ли это	2	2
94	не имеют	2	2
95	зависит от	4	2
96	с одной	7	2
97	хотя бы	2	2
98	в судьбах	1	2
99	такого рода	2	2
100	мы не	6	2
101	того чтобы	3	2
102	хозяйственной жизни	2	2
103	вот почему	2	2
104	хотя и	1	2
105	переход к	1	2
106	так и	9	2
107	как это	5	2
108	но она	1	2
109	думать что	2	2
110	одной стороны	7	2
111	для чего	2	2
112	другой стороны	10	2
113	в русском	1	2
114	у него	7	2
115	место в	1	2
116	приобщиться к	1	2
117	а в	9	2
118	и даже	4	2
119	люди не	1	2
120	и с	8	2
121	и начинается	1	2
122	вернуться к	1	2
123	связана с	1	2
124	по существу	2	2
125	для этого	3	2
126	равно как	1	2
127	могут быть	9	2
128	в себе	1	2
129	том чтобы	3	2
130	и на	11	2
131	быть в	1	2
132	уже не	14	2
133	мира а	2	2
134	я не	1	2
135	не знал	2	2
136	что все	4	2
137	время как	3	2
138	все эти	11	2
139	есть в	2	2
140	же как	12	2
141	такой же	3	2
142	вместе с	26	2
143	общества и	1	2
144	одна из	6	2
145	стремление к	1	2
146	мира и	2	2
147	роль в	3	2
148	к образованию	1	2
149	как будто	2	2
150	но не	8	2
151	в то	5	2
152	должно было	3	2
153	том что	12	2
154	мир и	1	2
155	так же	14	2
156	и это	5	2
157	можно назвать	1	2
158	но для	4	2
159	к созданию	1	2
160	себя в	6	2
161	но в	7	2
162	формы и	3	2
163	не к	1	2
164	связаны с	3	2
165	войны и	1	2
166	своего рода	1	1
167	он выходит	2	1
168	в самом	1	1
169	во всем	4	1
170	к одному	1	1
171	дальнейшее развитие	1	1
172	но те	1	1
173	нет ничего	1	1
174	было так	1	1
175	они являются	1	1
176	играла в	1	1
177	для борьбы	1	1
178	еще при	1	1
179	в дальний	1	1
180	ее на	2	1
181	до этого	3	1
182	перестала быть	1	1
183	попал в	3	1
184	этого идет	1	1
185	и хочет	1	1
186	может иметь	2	1
187	можно сказать	2	1
188	то он	2	1
189	все что	5	1
190	человека в	5	1
191	социальной жизни	3	1
192	то они	1	1
193	это одна	2	1
194	во все	1	1
195	умер он	1	1
196	но оно	3	1
197	на человека	1	1
198	и быть	2	1
199	в более	6	1
200	до сих	7	1
201	существования и	1	1
202	вступить в	1	1
203	в старых	1	1
204	и более	3	1
205	о берег	1	1
206	в котором	2	1
207	характерно также	1	1
208	то это	8	1
209	над нами	2	1
210	но наряду	2	1
211	что этот	5	1
212	отличие от	1	1
213	по всем	1	1
214	же и	1	1
215	конечно есть	1	1
216	они не	5	1
217	из них	4	1
218	он стремится	1	1
219	к ней	2	1
220	все еще	6	1
221	на нем	3	1
222	также что	3	1
223	случае если	1	1
224	и сейчас	3	1
225	который не	1	1
226	свидетельствует о	1	1
227	он также	1	1
228	мы уже	6	1
229	бог и	1	1
230	переходит в	1	1
231	уже давно	3	1
232	богом он	1	1
233	не могу	1	1
234	уже в	4	1
235	погружается в	1	1
236	и процесс	2	1
237	во власти	2	1
238	к себе	3	1
239	в свою	3	1
240	от мира	1	1
241	и имеет	1	1
242	в состоянии	1	1
243	борьбы со	2	1
244	иного мира	1	1
245	из этих	5	1
246	и оттуда	1	1
247	во всяком	1	1
248	том числе	3	1
249	христианство и	1	1
250	смысле в	1	1
251	всего мира	2	1
252	как думает	2	1
253	одну из	5	1
254	с миром	2	1
255	в человеческом	2	1
256	для того	3	1
257	в глубину	1	1
258	в каких	1	1
259	не по	3	1
260	античности к	1	1
261	быть отнесены	1	1
262	быть не	1	1
263	вступление в	1	1
264	власть над	6	1
265	думаю что	1	1
266	это значит	2	1
267	не всегда	9	1
268	из их	1	1
269	а это	1	1
270	в этот	2	1
271	это уже	2	1
272	или нет	1	1
273	было бы	2	1
