N	2gram	Bakhtin_Pr	NovoeSre
1	а не	29	17
2	не может	26	16
3	и в	64	16
4	нового времени	3	12
5	и не	55	11
6	и есть	3	10
7	что в	11	9
8	истории и	1	9
9	в том	12	8
10	как не	9	8
11	жизни и	3	8
12	он не	14	8
13	в этом	33	7
14	может быть	43	7
15	не будет	1	7
16	это есть	1	7
17	как и	25	7
18	воля к	2	6
19	ни в	5	6
20	не знает	6	6
21	не в	15	6
22	лишь в	4	6
23	высшей степени	1	6
24	с его	11	6
25	но это	6	6
26	в высшей	1	6
27	никогда не	11	6
28	и к	5	5
29	не только	26	5
30	в ней	2	5
31	все это	9	5
32	в жизни	5	5
33	в нем	28	5
34	с ее	1	5
35	должен быть	1	5
36	перестает быть	4	4
37	и потому	7	4
38	и мы	2	4
39	по своему	1	4
40	не во	5	4
41	со всех	1	4
42	должно быть	8	4
43	воли к	1	4
44	потому что	8	4
45	это не	12	4
46	прежде всего	16	4
47	в них	5	4
48	то что	21	4
49	не было	5	4
50	есть лишь	1	4
51	и все	6	4
52	не менее	3	4
53	не имеет	2	4
54	и для	7	4
55	эпохи и	1	4
56	о том	5	4
57	во всех	4	3
58	вопрос о	3	3
59	и пр	5	3
60	должна быть	8	3
61	она не	10	3
62	тому как	3	3
63	в ее	2	3
64	смысле слова	2	3
65	что такое	2	3
66	за пределы	7	3
67	дня и	1	3
68	конечно не	4	3
69	подобно тому	3	3
70	в истории	2	3
71	не существует	1	3
72	в духе	4	3
73	с другой	7	3
74	в основе	4	3
75	к ним	1	3
76	в россии	2	3
77	сказать что	4	3
78	всех сферах	1	3
79	не значит	4	3
80	не есть	4	3
81	в своей	11	3
82	в мире	7	3
83	как в	7	3
84	перейти к	1	3
85	но и	26	3
86	это было	1	3
87	жизни не	2	3
88	к тому	4	3
89	человека и	2	3
90	еще не	10	3
91	с этим	3	2
92	все они	2	2
93	народ русский	1	2
94	центр тяжести	1	2
95	и от	3	2
96	и весь	1	2
97	культуры нового	1	2
98	это и	5	2
99	в центре	1	2
100	стремиться к	1	2
