N	4gram	Potebnia_M	slovoVRo
1	в то же время	3	18
2	с одной стороны и	2	4
3	с этой точки зрения	1	2
4	и в том и	1	2
5	и т п и	1	2
6	не для того чтобы	1	2
7	языка не может быть	1	2
8	в то время как	1	2
9	бы они ни были	2	2
10	привело к тому что	1	2
11	и связанное с ним	1	1
12	это было бы невозможно	1	1
13	в том случае если	1	1
14	как бы ни были	1	1
15	во всяком случае не	1	1
16	дело в том что	3	1
17	было бы невозможно так	1	1
18	а в том что	2	1
19	что не может быть	1	1
20	мы можем сказать в	1	1
21	одной и той же	3	1
22	даже с точки зрения	1	1
23	то есть только в	1	1
24	но во всяком случае	3	1
25	в том что оно	1	1
26	и там где нет	1	1
27	в том что он	1	1
28	не исчерпывают и не	1	1
29	и др и они	1	1
30	но с другой стороны	2	1
31	и не могут быть	1	1
32	как бы ни был	1	1
33	все более и более	2	1
34	бы то ни было	1	1
35	языка а следовательно и	1	1
36	с другой стороны и	1	1
37	могут быть сведены к	1	1
38	и связанные с этим	1	1
39	прежде чем перейти к	1	1
40	он имеет дело с	1	1
41	тем не менее в	2	1
42	не только в смысле	1	1
