N	2gram	Bakhtin_Fr	OGranits
1	и в	105	13
2	и его	24	12
3	прежде всего	26	9
4	может быть	11	8
5	и не	34	8
6	не может	9	8
7	и пр	5	7
8	в его	24	7
9	и т.п	26	7
10	и их	3	7
11	точки зрения	10	7
12	таким образом	5	6
13	не только	24	6
14	мы должны	2	6
15	только в	16	6
16	то что	7	6
17	как бы	33	6
18	языка и	1	5
19	хотя бы	2	5
20	с точки	6	5
21	и т.д	2	5
22	в процессе	2	5
23	все же	10	5
24	и эта	5	5
25	и наконец	2	5
26	мы можем	2	4
27	не является	4	4
28	только и	1	4
29	вполне понятно	2	4
30	мы не	1	4
31	то же	6	4
32	еще и	6	4
33	было бы	4	4
34	все это	16	4
35	слов и	2	4
36	лишь в	4	4
37	в своей	8	4
38	на фоне	4	4
39	но в	16	4
40	г в	1	3
41	с этим	1	3
42	что в	4	3
43	понятно что	2	3
44	только путем	1	3
45	со всей	1	3
46	связана с	8	3
47	в искусстве	3	3
48	и уже	1	3
49	так и	16	3
50	говорить о	1	3
51	в одном	8	3
52	не столько	1	3
53	за пределы	10	3
54	отношению к	2	3
55	по отношению	2	3
56	превращается в	6	3
57	в пределах	3	3
58	в их	6	3
59	в ее	5	3
60	здесь мы	2	3
61	самом деле	3	3
62	не в	4	3
63	в которой	1	3
64	и все	7	3
65	но для	3	3
66	тела и	7	3
67	в себе	7	3
68	так как	11	3
69	все вопросы	1	3
70	вряд ли	1	3
71	да и	5	3
72	но и	20	3
73	и для	3	3
74	как и	15	3
75	точку зрения	2	3
76	никогда не	11	3
77	литературного языка	1	2
78	в области	10	2
79	своего рода	2	2
80	описания и	1	2
81	в самом	7	2
82	во всем	5	2
83	нет ничего	3	2
84	и к	7	2
85	что они	2	2
86	того или	1	2
87	телом и	1	2
88	форм и	11	2
89	мы видим	2	2
90	мы уже	18	2
91	и этот	1	2
92	а как	1	2
93	в своих	8	2
94	в этом	22	2
95	в общем	4	2
96	в целях	2	2
97	на язык	2	2
98	он только	1	2
99	в языке	1	2
100	с одной	2	2
101	в произведении	1	2
102	в течение	3	2
103	входит в	4	2
104	для себя	1	2
105	наконец в	2	2
106	не чем	1	2
107	и при	1	2
108	одной стороны	2	2
109	роль в	6	2
110	в другом	2	2
111	при этом	10	2
112	несмотря на	5	2
113	между тем	5	2
114	в материал	1	2
115	в полном	1	2
116	для него	12	2
117	и стиль	1	2
118	в этот	1	2
119	символов и	1	2
120	в руках	1	2
121	с помощью	1	2
122	и может	1	2
123	те же	1	2
124	связанные с	2	2
125	ее в	2	2
126	в том	17	2
127	в которую	1	2
128	с этой	1	2
129	произведения но	1	2
130	в тех	5	2
131	в отношении	7	2
132	чем же	1	2
133	конечно в	2	2
134	другой стороны	1	2
135	сознания и	1	2
136	во времени	1	2
137	не на	2	2
138	отношений между	1	2
139	от этого	1	2
140	так же	2	2
141	думать что	2	2
142	в них	13	2
143	а в	4	2
144	в г	3	2
145	связанных с	4	2
146	если бы	1	2
147	мы понимаем	1	2
148	от всех	3	2
149	от своего	2	2
150	элемента в	1	2
151	в книге	3	2
152	на две	1	2
153	еще в	3	2
154	в ней	7	2
155	с самого	1	2
156	нужно отметить	3	2
157	тем что	5	2
158	и др	32	2
159	могут быть	4	2
160	вовсе не	25	2
161	двух разных	1	2
162	его на	2	2
163	чем иным	1	2
164	учение о	2	2
165	в связи	2	2
166	имеет место	2	2
167	во всей	4	2
168	с ними	2	2
169	может стать	1	2
170	вне всякой	1	2
171	все эти	15	2
172	с другой	3	2
173	как в	6	2
174	в подборе	1	2
175	иным как	1	2
176	не менее	2	2
177	нуждается в	1	2
178	изобразительных искусствах	1	2
179	с историей	1	2
180	там где	3	2
181	живой исторической	1	2
182	том что	9	2
183	в нем	16	2
184	уже в	5	2
185	и следовательно	3	2
186	или иного	1	2
187	языка но	1	2
188	не мог	1	2
189	а не	1	2
190	всей своей	1	2
191	в чем	2	2
192	с телом	1	2
193	в целом	3	2
194	и ее	1	2
195	тот же	4	2
196	подойти к	2	2
197	к тому	3	2
198	есть не	1	2
199	кажется что	1	2
200	слова и	1	2
201	бы в	2	2
202	более того	3	2
203	в дальнейшем	10	1
204	была создана	1	1
205	этого термина	1	1
206	его наиболее	2	1
207	в особенности	7	1
208	неизменная и	1	1
209	но у	2	1
210	его к	2	1
211	в некоторых	2	1
212	всего в	1	1
213	новым материалом	1	1
214	необходимость в	1	1
215	себе в	2	1
216	как к	3	1
217	момент как	2	1
218	появляется и	1	1
219	к которому	2	1
220	переходим к	1	1
221	литературы в	4	1
222	свою историческую	1	1
223	одного автора	1	1
224	особенности и	1	1
225	выражение в	5	1
226	не зная	1	1
227	еще тем	1	1
228	речи здесь	1	1
229	для всех	1	1
230	находит свое	2	1
231	еще одну	1	1
232	это конечно	1	1
233	в данную	1	1
234	только к	1	1
235	произведение и	1	1
236	и других	6	1
237	и он	3	1
238	один из	5	1
239	как ни	1	1
240	идеологической жизни	1	1
241	уже первая	1	1
242	можно говорить	3	1
243	перейти в	1	1
244	и здесь	4	1
245	рождения и	2	1
246	вообще в	1	1
247	приближается к	1	1
248	явления как	2	1
249	выходит за	5	1
250	она и	1	1
251	отличие от	5	1
252	как же	1	1
253	что мы	2	1
254	на этом	2	1
255	они не	1	1
256	ведь именно	1	1
257	которую мы	1	1
258	ведь в	1	1
259	строя и	3	1
260	ясное и	1	1
261	в последнее	1	1
262	таком подходе	2	1
263	даже и	5	1
264	же объясняется	1	1
265	ее на	1	1
266	его эстетической	1	1
