N	2gram	Vygotskiy_	Problemy
1	и в	33	106
2	и не	18	90
3	как бы	11	70
4	может быть	15	66
5	в его	15	56
6	в этом	43	52
7	в нем	10	51
8	не может	31	49
9	как и	13	44
10	что он	40	44
11	точки зрения	27	40
12	но и	14	40
13	для него	9	39
14	и его	6	39
15	а не	14	38
16	то же	12	36
17	не только	28	36
18	в пределах	6	35
19	то что	48	33
20	но в	9	33
21	прежде всего	5	32
22	он не	13	29
23	в то	5	29
24	все это	2	29
25	и все	2	28
26	в одном	3	27
27	не в	10	27
28	к другому	3	27
29	в самом	10	25
30	и с	7	25
31	к нему	4	25
32	с точки	12	25
33	в сущности	17	25
34	не как	3	24
35	вовсе не	2	24
36	самом деле	9	24
37	рядом с	1	23
38	и на	11	23
39	слова и	3	23
40	по себе	8	22
41	в каждом	1	22
42	что я	4	22
43	таким образом	30	22
44	там где	2	21
45	как мы	20	21
46	все же	5	20
47	никогда не	10	20
48	только в	21	20
49	потому что	40	20
50	что же	2	19
51	что в	33	19
52	с его	3	19
53	отношению к	19	19
54	слова в	3	19
55	по отношению	19	18
56	в себе	4	18
57	еще не	11	18
58	на самом	3	18
59	но не	13	18
60	все эти	9	18
61	и к	7	17
62	с ним	6	17
63	а в	5	17
64	в том	44	17
65	это не	8	17
66	так и	8	17
67	так же	22	16
68	если бы	13	16
69	в своей	5	16
70	этом смысле	5	16
71	в другом	7	16
72	у него	8	15
73	до конца	3	15
74	и для	3	15
75	и наконец	3	15
76	и сам	1	14
77	в своем	11	14
78	как раз	5	14
79	в конце	3	14
80	а как	1	14
81	в отношении	18	14
82	так как	20	14
83	я не	6	14
84	он и	1	14
85	с другим	1	14
86	лишь в	1	14
87	но все	2	13
88	точка зрения	8	13
89	его в	6	13
90	и это	3	13
91	себя и	2	13
92	перед нами	1	13
93	в целом	8	13
94	при этом	9	12
95	даже в	1	12
96	отношении к	2	12
97	и как	7	12
98	и даже	3	12
99	и слово	1	12
100	к тому	14	12
101	во всяком	4	12
102	в котором	2	12
103	что и	11	12
104	не знает	6	12
105	так сказать	1	12
106	себе и	1	12
107	так что	8	12
108	и что	18	12
109	за пределы	4	12
110	было бы	18	12
111	между тем	5	12
112	как в	7	12
113	том что	41	12
114	но это	4	12
115	ничего не	6	12
116	слово в	3	12
117	в одной	2	12
118	последнее слово	1	12
119	в плане	2	12
120	тем что	12	11
121	их в	3	11
122	входит в	1	11
123	с другой	11	11
124	ни одного	2	11
125	он сам	2	11
126	должно быть	10	11
127	это слово	3	11
128	слово и	2	11
129	бы в	6	11
130	мы уже	4	11
131	в форме	1	11
132	не могут	7	11
133	сливается с	1	11
134	так чтобы	1	11
135	этого слова	3	11
136	сознания и	3	11
137	она не	2	11
138	как будто	2	11
139	конце концов	2	11
140	более того	1	11
141	самого начала	8	10
142	слово не	1	10
143	говорит он	3	10
144	что не	2	10
145	сих пор	3	10
146	в него	1	10
147	до сих	3	10
148	для себя	1	10
149	в слове	1	10
150	приводит к	10	10
151	той же	7	10
152	в самой	1	10
153	к одному	4	10
154	отношение к	12	10
155	в той	8	9
156	зрения на	1	9
157	другой стороны	9	9
158	в них	3	9
159	хотя бы	5	9
160	друг с	10	9
161	что у	4	9
162	хотя и	1	9
163	но он	8	9
164	с самого	8	9
165	точек зрения	4	9
166	могут быть	7	9
167	всяком случае	2	9
168	ни в	1	9
169	в единстве	2	9
170	да и	1	9
171	или в	1	9
172	раз и	3	9
173	и потому	3	9
174	в результате	9	8
175	о том	13	8
176	мы увидим	3	8
177	все время	3	8
178	из них	6	8
179	и он	3	8
180	несмотря на	3	8
181	ни было	1	8
182	но как	6	8
183	одним из	4	8
184	и у	1	8
185	и от	2	8
186	мы должны	13	8
187	нам кажется	2	8
188	должна быть	7	8
189	что это	1	8
190	никак не	6	8
191	не на	5	8
192	с ними	4	8
193	и так	1	8
194	сознание и	2	8
195	из его	2	8
196	как к	1	8
197	уже в	4	8
198	того что	34	8
199	это и	3	8
200	с их	4	8
201	с другом	10	8
202	знает и	1	8
203	и о	1	8
204	бы он	1	8
205	от него	3	7
206	устную речь	1	7
207	уже говорили	2	7
208	мысли и	7	7
209	в виду	4	7
210	в жизни	2	7
211	отличается от	2	7
212	и со	1	7
213	вопрос о	15	7
214	в себя	4	7
215	только на	3	7
216	сказать что	18	7
217	что все	9	7
218	что она	3	7
219	что они	8	7
220	все его	1	7
221	не было	1	7
222	как его	2	7
223	между ними	5	7
224	в этих	7	7
225	и следовательно	7	7
226	во всех	3	7
227	то ни	1	7
228	если же	1	7
229	друг другу	2	7
230	и др	1	7
231	с которым	2	7
232	его к	2	7
233	и ее	2	7
234	были бы	1	7
235	бы то	2	7
236	например в	1	7
237	в процессе	37	7
238	его и	4	7
239	он в	3	7
240	на этот	9	7
241	точку зрения	1	7
242	тот же	7	7
243	но на	2	7
244	в их	4	7
245	все равно	2	7
246	в виде	3	7
247	но эта	1	7
248	сама по	4	7
249	как слово	1	7
250	и их	4	7
251	такой же	4	7
252	что было	2	6
253	во всем	2	6
254	кроме того	2	6
255	в своих	5	6
256	не менее	4	6
257	с этим	9	6
258	но эти	1	6
259	как на	4	6
260	не мог	1	6
261	и этим	1	6
262	как же	2	6
263	слово слово	1	6
264	на этом	8	6
265	внутренней речи	7	6
266	для его	2	6
267	а с	3	6
268	но зато	1	6
269	можно было	11	6
270	этот вопрос	8	6
271	в этой	8	6
272	себя в	4	6
273	во время	1	6
274	он говорил	1	6
275	и самое	1	6
276	и здесь	2	6
277	за ним	1	6
278	в другой	1	6
279	в плоскости	2	6
280	отношения к	2	6
281	может стать	2	6
282	в которых	2	6
283	зависимости от	3	6
284	знает что	5	6
285	в основе	12	6
286	другого в	1	6
287	в отличие	3	6
288	и во	2	6
289	он может	5	6
290	друг друга	1	6
291	на вопрос	7	6
292	но с	2	6
293	по существу	5	6
294	словом и	2	6
295	на его	4	6
296	отличие от	3	6
297	как он	7	6
298	в начале	2	6
299	идет о	1	6
300	обращаться к	1	6
301	жизни и	2	6
302	на то	6	6
303	и только	4	6
304	для этого	3	6
305	но для	3	6
306	те же	6	5
307	именно в	8	5
308	в речи	3	5
309	отношением к	3	5
310	с тем	9	5
311	на материале	1	5
312	в высшей	3	5
313	а между	1	5
314	и противоречивость	1	5
315	в глаза	1	5
316	к которому	7	5
317	в зависимости	2	5
318	того же	13	5
319	но так	1	5
320	слов в	1	5
321	другого как	1	5
322	тому же	3	5
323	зрения и	1	5
324	в чем	10	5
325	в такой	5	5
326	той или	1	5
327	не могу	1	5
328	говорили что	2	5
329	однако в	1	5
330	в общем	1	5
331	словом в	1	5
332	один из	4	5
333	была бы	1	5
334	сам по	1	5
335	подобно тому	6	5
336	функции в	4	5
337	со всеми	2	5
338	здесь мы	1	5
339	с таким	4	5
340	на протяжении	2	5
341	вместе с	9	5
342	ни на	3	5
343	совершенно не	5	5
344	мы не	6	5
345	слов и	3	5
346	том же	1	5
347	в ее	1	5
348	другого и	1	5
349	поэтому он	2	5
350	высшей степени	3	5
351	его мысль	1	5
352	и то	9	5
353	они не	7	5
354	где он	1	5
355	как можно	1	5
356	по своему	4	5
357	нисколько не	2	5
358	лежит в	5	5
359	но при	2	5
360	в ней	2	5
361	когда он	3	5
362	же что	1	5
363	благодаря этому	2	5
364	или иной	1	5
365	тому что	14	5
366	тому как	6	5
367	для другого	4	5
368	является в	2	4
369	все что	2	4
370	что если	6	4
371	к другу	4	4
372	мы и	6	4
373	только что	6	4
374	с этой	8	4
375	без исключения	1	4
376	еще более	5	4
377	они уже	1	4
378	нами в	4	4
379	по мере	6	4
380	типа и	1	4
381	более или	1	4
382	в духе	1	4
383	в первом	4	4
384	друг к	3	4
385	на друга	2	4
386	то это	2	4
387	он был	1	4
388	всего этого	1	4
389	за собой	4	4
390	в свете	4	4
391	уже и	1	4
392	но этот	3	4
393	друг на	2	4
394	его за	1	4
395	или менее	1	4
396	образом как	1	4
397	находится в	2	4
398	входят в	1	4
399	во всей	3	4
400	на котором	3	4
401	не то	5	4
402	его собственного	2	4
403	его собственных	1	4
404	тем не	1	4
405	которого он	2	4
406	что такое	6	4
407	связи с	9	4
408	в которой	8	4
409	и своего	1	4
410	то в	7	4
411	время как	4	4
412	не есть	4	4
413	под влиянием	4	4
414	остается в	1	4
415	они действительно	1	4
416	оно не	2	4
417	если оно	1	4
418	эти слова	1	4
419	именно потому	3	4
420	этих трех	1	4
421	речи и	8	4
422	одно и	2	4
423	но только	4	4
424	а вовсе	1	4
425	ни были	1	4
426	в направлении	1	4
427	не значит	1	4
428	в первой	2	4
429	с ее	1	4
430	всех этих	1	4
431	мы видели	10	4
432	образом и	1	4
433	он уже	1	4
434	своего собственного	3	4
435	теперь в	1	4
436	из которых	3	4
437	этот принцип	1	4
438	речи как	4	4
439	если не	3	4
440	быть даже	1	4
441	как нам	1	4
442	бы не	1	4
443	то он	1	4
444	то и	2	4
445	совпадает с	4	4
446	в первых	1	4
447	которую он	1	4
448	каждый из	1	4
449	сами по	1	4
450	тому чтобы	4	4
451	к миру	1	4
452	со словом	1	4
453	появляется в	1	4
454	только с	1	4
455	материал и	1	4
456	во внутреннем	2	4
457	он должен	9	4
458	заставляет его	1	4
459	что оно	9	4
460	этом отношении	7	4
461	что с	7	4
462	здесь в	1	4
463	смысле этого	2	4
464	а то	1	4
465	вообще не	5	4
466	в плоскость	2	4
467	слова не	2	4
468	и понимания	1	4
469	это было	1	4
470	об этом	1	4
471	мысли в	5	4
472	это как	1	4
473	также и	2	4
474	и слова	1	4
475	конечно в	1	4
476	еще в	3	4
477	стороны и	3	4
478	от того	8	4
479	его отношение	3	4
480	как их	1	4
481	оно должно	2	4
482	и прежде	1	4
483	это в	2	4
484	таким же	3	4
485	само по	2	4
486	с которыми	2	3
487	говорить о	3	3
488	о чем	3	3
489	в большей	1	3
490	говорит о	4	3
491	но что	6	3
492	самый факт	1	3
493	есть в	2	3
494	к другим	2	3
495	приходит в	2	3
496	они ни	1	3
497	является для	2	3
498	функций в	1	3
499	он является	1	3
500	в письме	1	3
501	можно сказать	7	3
502	в данном	4	3
503	что этот	1	3
504	направлено на	1	3
505	это последнее	1	3
506	сам не	2	3
507	объект а	1	3
508	другу как	1	3
509	между двумя	4	3
510	увидим что	1	3
511	но они	2	3
512	в различных	3	3
513	особенно отчетливо	1	3
514	является как	2	3
515	точке зрения	1	3
516	настоящее время	2	3
517	в голове	2	3
518	одной из	5	3
519	в реальном	1	3
520	то чем	1	3
521	как я	3	3
522	знает только	1	3
523	что говорит	1	3
524	что даже	1	3
525	в структуре	1	3
526	всего в	1	3
527	только не	7	3
528	мы видим	6	3
529	она в	1	3
530	мы знаем	5	3
531	он умеет	5	3
532	этими двумя	3	3
533	чем в	6	3
534	с отношением	1	3
535	что его	2	3
536	его мысли	3	3
537	целом ряде	1	3
538	между собой	17	3
539	в смысле	3	3
540	могли бы	15	3
541	мы можем	15	3
542	ему но	1	3
543	не дает	2	3
544	ту же	5	3
545	совсем не	1	3
546	себя на	1	3
547	по своей	7	3
548	на который	2	3
549	и есть	8	3
550	значение в	3	3
551	и по	5	3
552	в один	1	3
553	и сами	2	3
554	своего рода	1	3
555	как таковой	2	3
556	он стремится	1	3
557	в основном	2	3
558	почти не	1	3
559	которых мы	1	3
560	должны быть	2	3
561	и при	4	3
562	с внутренним	1	3
563	и делает	2	3
564	сводится к	1	3
565	том и	1	3
566	самом предмете	1	3
567	и одновременно	1	3
568	и единство	2	3
569	то время	4	3
570	есть нечто	1	3
571	независимость от	1	3
572	именно тем	1	3
573	не является	7	3
574	слово или	1	3
575	на нее	2	3
576	как целое	1	3
577	того чтобы	26	3
578	оно является	4	3
579	и уже	1	3
580	и больше	1	3
581	именно на	1	3
582	значение для	4	3
583	всеми своими	1	3
584	еще один	1	3
585	как например	1	3
586	без всякого	2	3
587	если мы	9	3
588	тем же	1	3
589	мог бы	1	3
590	бы сказать	4	3
591	в сознании	5	3
592	есть только	1	3
593	не из	1	3
594	же он	1	3
595	во времени	1	3
596	в настоящее	2	3
597	связан с	1	3
598	этом случае	5	3
599	данном случае	3	3
600	того как	6	3
601	сколько в	1	3
602	речь и	4	3
603	которых он	2	3
604	ее в	3	3
605	и всегда	1	3
606	не способен	3	3
607	в других	2	3
608	на которой	1	3
609	у нас	4	3
610	мы будем	4	3
611	раз в	4	3
612	к внутренней	3	3
613	со словами	1	3
614	ко второму	1	3
615	внутренняя речь	7	3
616	себе что	1	3
617	этого не	1	3
618	в руках	1	3
619	дело в	1	3
620	места в	1	3
621	или даже	2	3
622	на одном	2	3
623	словом как	1	3
624	но уже	2	3
625	которой он	1	3
626	а он	1	3
627	оно может	2	3
628	чтобы сделать	2	3
629	социальных форм	1	3
630	которая как	2	3
631	того или	1	3
632	реагирует на	1	3
633	сказать о	1	3
634	он говорит	3	3
635	не удалось	1	3
636	из этих	2	3
637	не с	2	3
638	ним как	1	3
