N	3gram	Tiupa_Narr	formyVre
1	то же время	3	21
2	в то же	3	18
3	как мы уже	1	15
4	в связи с	2	15
5	с точки зрения	2	15
6	друг с другом	1	13
7	не только в	2	11
8	и в то	1	10
9	до сих пор	1	10
10	и того же	1	9
11	одного и того	1	9
12	в том числе	6	8
13	и прежде всего	1	8
14	не может быть	5	7
15	в отличие от	5	7
16	в этом отношении	3	7
17	прежде всего в	1	7
18	в том же	1	6
19	друг от друга	1	6
20	а также и	1	6
21	и в особенности	1	6
22	с одной стороны	7	6
23	в том что	8	5
24	том числе и	4	5
25	то есть в	2	5
26	той или иной	4	5
27	как и в	1	5
28	пространства и времени	1	5
29	на протяжении всего	1	5
30	по отношению к	6	4
31	в этом ряду	2	4
32	не могло быть	1	4
33	но все же	4	4
34	с другой стороны	4	4
35	человеческой жизни в	1	4
36	включает в себя	1	4
37	может быть и	1	4
38	в той или	2	3
39	и как бы	1	3
40	все то что	1	3
41	бы он ни	1	3
42	до нас в	1	3
43	между вещами и	1	3
44	до известной степени	1	3
45	точки зрения не	1	3
46	в себя и	2	3
47	он ни был	1	3
48	может быть только	1	3
49	сами по себе	2	3
50	в нем не	1	3
51	что в этом	1	3
52	а не в	2	3
53	как мы увидим	1	3
54	то же самое	1	3
55	же как и	1	3
56	о том что	6	3
57	так же как	2	3
58	существенную роль в	1	3
59	так и в	1	3
60	тот или иной	1	3
61	жизни то есть	1	2
62	или иной степени	1	2
63	можно сказать что	4	2
64	здесь не только	1	2
65	прежде всего они	1	2
66	ни с чем	1	2
67	но по существу	1	2
68	в соответствии с	1	2
69	в данном случае	4	2
70	к тому же	4	2
71	в произведении и	1	2
72	же время они	1	2
73	произведения в его	1	2
74	все без исключения	1	2
75	то что было	1	2
76	в свою очередь	3	2
77	на другой день	2	2
78	и др в	1	2
79	как и для	1	2
80	не было и	1	2
81	здесь как и	1	2
82	тем более что	1	2
83	дело в том	1	2
84	во всей его	1	2
85	с другом и	1	2
86	и не могло	1	2
87	по своей природе	1	2
88	времени и пространстве	5	2
89	в основе своей	4	2
90	события эти происходят	1	1
91	уст в уста	1	1
92	едином но сложном	1	1
93	в его событийной	2	1
94	приходит к умирающему	1	1
95	так и для	1	1
96	сложном событии которое	1	1
97	жанров в частности	1	1
98	в литературе нового	1	1
99	состоит именно в	2	1
100	том что в	1	1
101	в этом смысле	1	1
102	как слушатели-читатели события	1	1
103	во всех его	1	1
104	что все то	1	1
105	мира в котором	1	1
106	как своего рода	1	1
107	в первый раз	1	1
108	до наших дней	1	1
109	с этой точки	1	1
110	в самом деле	1	1
111	на свет и	1	1
112	произведение в его	1	1
113	тем не менее	3	1
114	их между собой	1	1
115	качестве одной из	1	1
116	самого рассказывания в	1	1
117	нераздельности но одновременно	1	1
118	более или менее	2	1
119	длительности и на	1	1
120	сказать что жанр	1	1
121	разность составляющих ее	1	1
122	событие о котором	1	1
123	мы можем обозначить	1	1
124	в себе самом	1	1
125	объединены в едином	1	1
126	и всю разность	1	1
127	античности и до	1	1
128	прежде всего к	1	1
129	всю разность составляющих	1	1
130	быть развернуто в	1	1
131	событие самого рассказывания	1	1
132	по аналогии с	1	1
133	по себе они	1	1
134	этом ряду как	1	1
135	обозначить как произведение	1	1
136	в разные времена	1	1
137	если же в	1	1
138	человек с которым	1	1
139	в историческом событии	1	1
140	в частности само	1	1
141	мы воспринимаем эту	1	1
142	мы и сами	1	1
143	участвуем как слушатели-читатели	1	1
144	его в иной	1	1
145	каков бы он	1	1
146	ни единого слова	1	1
147	не может не	2	1
148	об этом свидетельствует	1	1
149	слушатели-читатели события эти	1	1
150	не входит в	1	1
151	значении этого слова	2	1
152	в конечном счете	2	1
153	только то что	1	1
154	полноту в ее	1	1
155	как бы не	1	1
156	в едином но	1	1
157	эти происходят в	1	1
158	никогда не было	1	1
159	не то что	2	1
160	в ее целостности	1	1
161	в значительной степени	2	1
162	с точкой зрения	2	1
163	местах и в	1	1
164	они неразрывно объединены	1	1
165	ни для кого	1	1
166	или хотя бы	1	1
167	в этом последнем	1	1
168	и до наших	1	1
169	в чистом виде	1	1
170	между ними не	1	1
171	нами два события	1	1
172	ему что он	1	1
173	в какой-то мере	1	1
174	перед нами два	1	1
175	разных местах и	1	1
176	может показаться что	1	1
177	все те же	4	1
178	и у нас	1	1
179	но сложном событии	1	1
180	отца к сыну	1	1
181	никогда не бывает	1	1
182	в это же	1	1
183	к нему в	1	1
184	как то что	1	1
185	но одновременно понимаем	1	1
186	в качестве одной	1	1
187	отнюдь не предполагает	2	1
188	можем обозначить как	1	1
189	ни в мире	3	1
190	не оставляет места	1	1
191	одновременно понимаем и	1	1
192	которое мы можем	1	1
193	последнем мы и	1	1
194	необходимо указать на	1	1
195	событии которое мы	1	1
196	этой точки зрения	2	1
197	в данный момент	1	1
198	от отца к	1	1
199	и нераздельности но	1	1
200	в русской литературе	1	1
201	может включать в	2	1
202	ее целостности и	1	1
203	на разных местах	1	1
204	рассказывания в этом	1	1
205	и сами участвуем	1	1
206	да и в	1	1
207	из уст в	1	1
208	не переставая быть	1	1
209	котором рассказано в	1	1
210	о котором рассказано	1	1
211	во времени и	4	1
212	неразрывно объединены в	1	1
213	как произведение в	1	1
214	и на разных	1	1
215	на самом деле	1	1
216	прошлого и будущего	1	1
217	эту полноту в	1	1
218	сами участвуем как	1	1
219	происходят в разные	1	1
220	и с точки	1	1
221	его жизни и	1	1
222	в отрыве от	1	1
223	этом последнем мы	1	1
224	подобно тому как	2	1
225	по длительности и	1	1
226	и событие самого	1	1
227	включать в себя	2	1
228	было и не	1	1
229	так и его	1	1
230	то есть его	1	1
231	и по длительности	1	1
232	именно в том	2	1
233	есть прежде всего	1	1
234	как мы видели	1	1
235	тем что как	1	1
236	и является в	1	1
237	в себе не	1	1
238	литературе нового времени	1	1
239	том что он	1	1
240	он не мог	1	1
241	быть осуществлено только	1	1
242	целостности и нераздельности	1	1
243	на первый взгляд	2	1
244	или иной форме	1	1
245	понимаем и всю	1	1
246	не могло не	1	1
247	картины мира и	1	1
248	если бы между	1	1
249	рассказано в произведении	1	1
250	один из них	1	1
251	его событийной полноте	2	1
252	то есть к	1	1
253	время они неразрывно	1	1
254	воспринимаем эту полноту	1	1
255	в различных сферах	1	1
256	составляющих ее моментов	1	1
257	произведении и событие	1	1
258	при всем своем	1	1
