N	2gram	Propp_Russ	Otkroven
1	у него	2	22
2	и в	59	19
3	и не	6	13
4	но и	20	13
5	в этом	18	12
6	а не	3	11
7	не только	28	11
8	не в	2	11
9	может быть	14	11
10	вопрос о	4	10
11	человека и	1	10
12	и все	4	10
13	в нем	3	10
14	потому что	15	9
15	прежде всего	2	9
16	не было	3	9
17	никогда не	1	9
18	и он	1	8
19	он был	2	8
20	от него	1	7
21	ни с	1	7
22	в его	3	7
23	он не	1	7
24	но он	3	7
25	до конца	5	7
26	все это	12	6
27	как и	19	6
28	в том	33	5
29	для него	1	5
30	него в	1	5
31	в этой	4	5
32	а в	16	5
33	до самого	1	5
34	отношение к	1	5
35	в россии	4	5
36	то что	10	5
37	все в	2	4
38	что в	35	4
39	того чтобы	6	4
40	т е	41	4
41	не может	6	4
42	что не	1	4
43	все эти	5	4
44	на земле	3	4
45	и его	2	4
46	с его	1	4
47	только одно	2	3
48	в русской	1	3
49	и от	2	3
50	до самой	1	3
51	все что	2	3
52	это не	14	3
53	для того	6	3
54	с ним	2	3
55	когда он	3	3
56	быть может	1	3
57	в этих	3	3
58	не могут	1	3
59	в своих	3	3
60	как бы	18	3
61	было бы	3	3
62	могут быть	3	3
63	в себе	1	3
64	и есть	1	3
65	что он	2	3
66	и ее	3	3
67	о том	14	3
68	того что	6	3
69	к нему	3	3
70	еще не	7	3
71	и к	3	2
72	и потому	3	2
73	так и	8	2
74	что они	8	2
75	и то	2	2
76	все же	7	2
77	что у	3	2
78	был еще	1	2
79	не могли	1	2
80	так как	25	2
81	и очень	1	2
82	за все	2	2
83	на западе	2	2
84	должно быть	2	2
85	к этой	1	2
86	к ней	4	2
87	уже в	2	2
88	в другом	1	2
89	совсем не	1	2
90	так что	4	2
91	в своем	3	2
92	в этот	19	2
93	с тем	14	2
94	и из	3	2
95	с которой	1	2
96	в которой	3	2
97	ее в	7	2
98	не все	4	2
99	русского народа	3	2
100	и этим	1	2
101	одно из	6	2
102	что и	8	2
103	россии в	1	2
104	в истории	1	2
105	его в	9	2
106	должен был	3	2
107	чем в	4	2
108	их не	2	2
109	и с	12	2
110	те которые	1	2
111	и там	2	2
112	он в	1	2
113	и о	4	2
114	природы и	3	2
115	сказать что	1	2
116	что для	4	2
117	тем что	7	2
118	него не	1	2
119	что есть	2	2
120	и много	1	2
121	из всего	1	2
122	и на	14	2
123	в других	24	2
124	же можно	1	2
125	что все	2	2
126	ничего не	4	2
127	хотя и	3	2
128	в своей	1	2
129	все еще	1	2
130	ставится в	1	2
131	не имеет	9	2
132	к этому	7	2
133	сразу же	2	2
134	том что	33	2
135	и для	3	2
136	подойти к	2	2
137	но в	5	2
138	чтобы сделать	2	1
139	что было	1	1
140	ближе к	1	1
141	во всем	2	1
142	в каждом	2	1
143	христова и	1	1
144	и бессмертие	1	1
145	во всяком	1	1
146	не так	1	1
147	бросается в	3	1
148	ко всему	2	1
149	благополучия и	1	1
150	видели в	1	1
151	его и	2	1
152	совершенно ином	1	1
153	но можно	2	1
154	смерть и	1	1
155	но вопрос	1	1
156	ее и	2	1
157	но оно	1	1
158	нет такого	1	1
159	над ними	1	1
160	а с	6	1
161	и других	9	1
162	к другу	2	1
163	один из	10	1
164	в котором	2	1
165	и здесь	3	1
166	та же	4	1
167	после этого	6	1
168	и состоит	1	1
169	друг к	2	1
170	тому кто	1	1
171	они и	2	1
172	же и	1	1
173	уверен что	1	1
174	христа в	2	1
175	после того	3	1
176	которым можно	1	1
177	не имеют	1	1
178	сам и	1	1
179	и хлеб	1	1
180	того как	6	1
181	и пр	4	1
182	в первый	5	1
183	его с	4	1
184	она не	4	1
185	есть одно	1	1
186	должна быть	1	1
187	мы не	11	1
188	не могу	1	1
189	когда будет	1	1
190	притом не	1	1
191	и остаются	1	1
192	жизни человека	1	1
193	также и	1	1
194	ту же	2	1
195	но не	7	1
196	это должно	1	1
197	в культурном	1	1
198	это все	1	1
199	связывали с	2	1
200	и менее	1	1
201	из жизни	1	1
202	не по	1	1
203	представляет собой	5	1
204	быть не	1	1
205	все можно	1	1
206	в ней	3	1
207	из всех	1	1
208	это часто	1	1
209	проповедей и	1	1
210	главное и	1	1
211	и дело	2	1
212	это для	1	1
213	что это	4	1
214	этом отношении	1	1
215	может служить	1	1
216	и был	1	1
217	всяком случае	1	1
218	на этих	1	1
219	он и	1	1
220	очень ясно	2	1
221	с трудом	1	1
222	природе и	1	1
223	о чем	7	1
224	этот случай	2	1
225	указал на	1	1
226	но тем	2	1
227	в частности	2	1
228	говорит о	3	1
229	как это	11	1
230	между двумя	2	1
231	не оставляет	2	1
232	но может	1	1
233	чем у	2	1
234	на нем	1	1
235	как у	2	1
236	что сам	1	1
237	и через	2	1
238	он должен	2	1
239	видеть в	1	1
240	не с	5	1
241	ты не	1	1
242	и что	8	1
243	в одном	4	1
244	на самом	3	1
245	у нас	11	1
246	можно было	3	1
