N	2gram	Propp_Morf	Komedia
1	и в	17	77
2	и не	16	47
3	в том	10	44
4	том что	7	42
5	о том	6	33
6	т е	25	33
7	в г	1	33
8	но и	9	32
9	может быть	61	30
10	из них	4	29
11	таким образом	26	29
12	в то	4	28
13	и его	3	28
14	в этом	18	27
15	потому что	7	27
16	что он	5	26
17	к тому	5	26
18	не только	8	25
19	так как	20	24
20	как и	4	23
21	ни в	3	23
22	в доме	2	23
23	что в	10	23
24	что и	10	22
25	если бы	3	22
26	то же	10	21
27	ясно что	5	21
28	так и	10	21
29	а в	8	21
30	в его	1	20
31	к этому	4	19
32	во время	6	19
33	со стороны	5	19
34	в этой	3	18
35	тем что	4	17
36	же время	1	17
37	и здесь	7	17
38	и т	62	17
39	еще не	4	17
40	при этом	1	16
41	все же	9	16
42	не менее	7	16
43	у него	2	16
44	сих пор	1	16
45	он не	5	16
46	действующих лиц	22	16
47	до сих	1	16
48	тот же	1	16
49	не в	3	15
50	точки зрения	7	15
51	его в	4	15
52	в которой	3	15
53	между тем	5	15
54	один из	7	15
55	и на	1	15
56	было бы	5	15
57	прежде всего	14	15
58	и с	1	14
59	к нему	3	14
60	в свою	1	14
61	все это	2	14
62	об этом	5	14
63	только что	3	13
64	самом деле	4	13
65	о чем	1	13
66	в них	1	13
67	в одном	2	13
68	что она	2	13
69	как раз	1	13
70	мы можем	5	13
71	так что	1	13
72	то что	10	13
73	того чтобы	4	13
74	но в	4	13
75	в котором	1	12
76	для того	3	12
77	так же	4	12
78	с другой	9	12
79	несмотря на	4	12
80	хотя и	5	12
81	в качестве	8	12
82	как это	7	12
83	из которых	5	12
84	как в	5	12
85	не по	2	12
86	в начале	3	12
87	не может	19	12
88	но не	8	12
89	и даже	2	11
90	с тем	2	11
91	по отношению	7	11
92	наряду с	7	11
93	что его	4	11
94	то время	3	11
95	как мы	8	11
96	на этот	2	11
97	и для	4	11
98	в их	1	11
99	из дому	3	11
100	в частности	2	11
101	к ней	3	11
102	с этим	14	10
103	сразу же	2	10
104	он был	1	10
105	свою очередь	1	10
106	на него	4	10
107	с одной	2	10
108	к себе	2	10
109	в чем	2	10
110	как бы	6	10
111	и что	3	10
112	и все	1	10
113	более чем	1	10
114	на основании	1	10
115	одной из	2	10
116	с его	3	10
117	ничего не	5	10
118	из дома	9	10
119	мы не	8	10
120	на его	5	10
121	что касается	1	10
122	еще в	1	10
123	отношение к	1	10
124	же в	3	10
125	в целом	5	10
126	все что	1	9
127	но все	4	9
128	в своей	1	9
129	больше чем	1	9
130	одной стороны	2	9
131	говорить о	4	9
132	тому что	5	9
133	время как	3	9
134	только в	3	9
135	друг друга	3	9
136	что отец	1	9
137	в тех	8	9
138	даже не	3	9
139	о его	4	9
140	и по	3	9
141	независимо от	4	9
142	из его	2	9
143	в образе	6	9
144	однако в	2	9
145	ответ на	2	9
146	того как	2	9
147	а также	7	9
148	вовсе не	6	9
149	отличие от	1	9
150	отношению к	7	9
151	с этой	3	8
152	а затем	10	8
153	другой стороны	5	8
154	что ни	2	8
155	г в	1	8
156	то это	5	8
157	не знает	2	8
158	бы в	2	8
159	во всех	6	8
160	то ни	3	8
161	можно было	4	8
162	если не	1	8
163	в которых	2	8
164	в жены	2	8
165	в течение	1	8
166	тех пор	1	8
167	связи с	12	8
168	возможно что	1	8
169	в v	1	8
170	по своему	2	8
171	с самого	1	8
172	как он	1	8
173	в в	2	8
174	и ее	5	8
175	и к	4	7
176	дело с	1	7
177	в результате	8	7
178	в этих	17	7
179	равно как	1	7
180	если в	7	7
181	во всяком	2	7
182	вопрос о	10	7
183	хотя бы	5	7
184	в другом	2	7
185	самого начала	1	7
186	бы то	3	7
187	что они	5	7
188	ни было	2	7
189	в связи	10	7
190	и это	1	7
191	в других	5	7
192	и тот	2	7
193	в себе	1	7
194	до начала	1	7
195	и у	3	7
196	это время	1	7
197	не имеет	2	7
198	не является	4	7
199	из этих	2	7
200	после смерти	1	7
201	целый ряд	3	7
202	но если	10	7
203	всяком случае	2	7
204	и вот	1	7
205	для нас	2	7
206	само собой	1	7
207	тех же	4	7
208	по всему	3	6
209	даже в	1	6
210	в виду	1	6
211	с собой	3	6
212	в своих	2	6
213	там же	1	6
214	представляет собой	17	6
215	не зная	1	6
216	после того	1	6
217	не слишком	3	6
218	его дочери	1	6
219	с точки	6	6
220	как видно	1	6
221	что не	1	6
222	о которых	1	6
223	больше всего	1	6
224	на этом	4	6
225	не дает	1	6
226	и тем	3	6
227	не приходится	1	6
228	могут быть	21	6
229	в силу	1	6
230	всего в	1	6
231	на ее	1	6
232	в сущности	3	6
233	в другой	1	6
234	никто не	4	6
235	к свадьбе	1	6
236	в середине	2	6
237	а не	11	6
238	которую он	1	6
239	главным образом	5	6
240	в области	1	6
241	тем не	7	6
242	сл в	1	6
243	на вопрос	2	6
244	у тебя	1	6
245	так в	1	6
246	или в	6	6
247	в какой	3	6
248	и как	6	6
249	к концу	1	6
250	на то	3	6
251	это было	3	6
252	во второй	2	6
253	а по	3	6
254	на это	1	6
255	как будто	2	6
256	надо было	1	6
257	не удалось	1	6
258	для всех	1	5
259	в первом	5	5
260	из двух	3	5
261	за ним	1	5
262	именно в	1	5
263	роль в	2	5
264	в это	1	5
265	со своей	1	5
266	с помощью	1	5
267	а на	3	5
268	сказать что	4	5
269	который в	2	5
270	тем же	2	5
271	себя в	2	5
272	отец и	1	5
273	в ее	1	5
274	чем в	2	5
275	но он	1	5
276	одним из	2	5
277	также в	2	5
278	в мире	1	5
279	между собой	5	5
280	в каждом	1	5
281	т д	60	5
282	действия в	1	5
283	все остальные	1	5
284	ни одной	2	5
285	друг другу	1	5
286	в первой	1	5
287	не так	2	5
288	что это	3	5
289	здесь нет	1	5
290	вывод что	2	5
291	обращается к	1	5
292	приводит к	3	5
293	том как	2	5
294	только один	1	5
295	вслед за	5	5
296	в обоих	2	5
297	же самое	1	5
298	что я	1	5
299	этом отношении	2	5
300	или вовсе	1	5
301	это не	6	5
302	мы имеем	19	5
303	же не	1	5
304	по существу	13	5
305	см ниже	2	5
306	от отца	2	5
307	от того	4	5
308	чаще всего	11	5
309	в той	1	4
310	тем как	1	4
311	с известной	1	4
312	не столько	1	4
313	чтобы в	1	4
314	из самых	1	4
315	например в	2	4
316	их в	2	4
317	обоих случаях	2	4
318	не всегда	10	4
319	перед ним	1	4
320	в глаза	2	4
321	ср также	1	4
322	с большим	1	4
323	а сам	1	4
324	его не	1	4
325	одна из	5	4
326	в состоянии	1	4
327	и этим	7	4
328	одно из	1	4
329	там и	1	4
330	прежде чем	5	4
331	как его	1	4
332	между ними	1	4
333	№ и	4	4
334	здесь мы	3	4
335	можно сделать	2	4
336	что эта	2	4
337	один раз	2	4
338	сомневаться в	1	4
339	из этого	1	4
340	которые он	1	4
341	когда в	2	4
342	так называемых	2	4
343	не на	2	4
344	одновременно с	1	4
345	бы не	1	4
346	что мы	2	4
347	большей частью	6	4
348	что же	2	4
349	и там	1	4
350	ли можно	1	4
351	к началу	4	4
352	ничем не	2	4
353	этой области	1	4
354	вероятно что	1	4
355	он называет	1	4
356	многие из	1	4
357	что с	1	4
358	и другие	6	4
359	у нас	3	4
360	чем же	1	4
361	а то	3	4
362	что ему	1	4
363	по его	1	4
364	или менее	2	4
365	такой же	1	4
366	в поле	5	4
367	мог бы	1	4
368	материал для	1	4
369	обстоит дело	1	4
370	и их	3	4
371	пор не	1	4
372	в пределах	3	4
373	далеко не	5	4
374	у нее	2	4
375	которые в	1	4
376	бы он	1	4
377	все более	1	4
378	отца не	1	4
379	в основе	2	4
380	во всем	1	3
381	от него	2	3
382	всего это	3	3
383	к этой	1	3
384	за исключением	1	3
385	и сравнительно	1	3
386	или по	2	3
387	этим объясняется	1	3
388	более или	2	3
389	или на	3	3
390	если он	2	3
391	выясняется что	1	3
392	только для	2	3
393	за ней	2	3
394	для их	1	3
395	ситуации в	1	3
396	видно что	5	3
397	нашего века	1	3
398	брата и	1	3
399	а после	1	3
400	этой связи	1	3
401	между двумя	1	3
402	только на	1	3
403	на пути	4	3
404	и когда	2	3
405	приходит к	1	3
406	художественных приемов	1	3
407	всего этого	1	3
408	путь к	2	3
409	из наиболее	1	3
410	как на	1	3
411	такую же	2	3
412	в нашем	6	3
413	находится в	1	3
414	же она	3	3
415	что именно	2	3
416	друг с	1	3
417	но там	1	3
418	этих двух	1	3
419	ее отца	2	3
420	время и	1	3
421	собой в	2	3
422	с другом	1	3
423	и за	2	3
424	и притом	1	3
425	отношения к	1	3
426	в таком	1	3
427	по ее	1	3
428	незадолго до	2	3
429	в эту	1	3
430	а с	2	3
431	бы к	1	3
432	в руки	4	3
433	для этой	3	3
434	одну из	1	3
435	могла бы	4	3
436	он в	1	3
437	действующего лица	1	3
438	этим же	2	3
