N	4gram	Trubetskoy	DiskursI
1	в то же время	2	8
2	состоит в том что	1	7
3	дело в том что	1	5
4	одного и того же	3	4
5	не говоря уже о	1	3
6	в том числе и	1	3
7	одно и то же	1	3
8	мысль о том что	1	2
9	в том случае если	4	2
10	и не может быть	1	2
11	а в том что	1	2
12	в тех случаях когда	1	2
13	одной и той же	1	2
14	бы то ни было	3	2
15	именно в том что	1	1
16	в том и в	1	1
17	не только по отношению	1	1
18	и в том и	1	1
19	том и в другом	1	1
20	же более или менее	1	1
21	как и все прочие	1	1
22	только в том случае	1	1
23	что как сказано выше	2	1
24	нет и не может	1	1
25	в том что они	1	1
26	тем не менее в	1	1
27	более или менее значительный	1	1
28	в данном случае не	1	1
29	и в другом случае	1	1
30	заключается в том что	3	1
31	все же более или	1	1
32	в том что он	1	1
33	только по отношению к	1	1
34	лишь в том случае	2	1
35	состоит именно в том	1	1
36	одному и тому же	1	1
37	не в том что	1	1
38	в том или ином	1	1
