N	3gram	Tiupa_Vved	Stilisti
1	в то же	5	9
2	для того чтобы	1	7
3	в зависимости от	1	7
4	то же время	4	7
5	того или иного	1	5
6	одно и то	1	5
7	и то же	1	5
8	в свою очередь	5	4
9	той или иной	4	4
10	то или иное	1	4
11	заключает в себе	4	4
12	и той же	1	4
13	одной и той	1	4
14	с самого начала	1	4
15	то же самое	2	4
16	в данной ситуации	1	4
17	то что мы	1	4
18	прежде всего в	1	4
19	в конце фразы	1	3
20	но и в	3	3
21	бы мы ни	1	3
22	внутренней и внешней	1	3
23	на самом деле	4	3
24	как мы видели	3	3
25	не только в	3	3
26	и тем самым	2	3
27	которое может быть	1	3
28	в этом случае	1	3
29	и т.п и	2	3
30	как бы в	2	3
31	в той же	1	3
32	в самом деле	2	2
33	мы не имеем	1	2
34	все то что	1	2
35	и точек зрения	1	2
36	не может быть	6	2
37	по отношению к	11	2
38	о том что	6	2
39	можно сказать что	1	2
40	и вследствие этого	4	2
41	не было бы	1	2
42	то же слово	1	2
43	но при этом	3	2
44	не что иное	1	2
45	но в то	1	2
46	только потому что	1	2
47	и в то	1	2
48	как бы мы	1	2
49	как мы увидим	1	2
50	на первый взгляд	3	2
51	в связи с	1	2
52	к тому что	1	2
53	что иное как	1	2
54	и т.п но	1	2
55	той же самой	1	2
56	в этом отношении	7	2
57	в значительной степени	2	2
58	и т.п это	1	1
59	в нашем случае	3	1
60	в том что	10	1
61	благодаря тому что	1	1
62	и в жизни	2	1
63	говорящего но и	1	1
64	в одном из	1	1
65	мы должны были	1	1
66	только благодаря этому	1	1
67	определяется отнюдь не	1	1
68	событие речевого взаимодействия	1	1
69	понимания а не	1	1
70	мысль о том	1	1
71	в конечном счете	2	1
72	для этого необходимо	1	1
73	вследствие того что	1	1
74	отношение к миру	1	1
75	вследствие этого как	1	1
76	как и вообще	1	1
77	дело не с	1	1
78	по крайней мере	1	1
79	одних и тех	1	1
80	мы увидим ниже	1	1
81	в нашем сознании	2	1
82	нем ничего не	1	1
83	по большей части	4	1
84	могло бы стать	1	1
85	как и в	2	1
86	тем не менее	3	1
87	и тем более	1	1
88	в одном и	1	1
89	и тех же	1	1
90	той же мере	1	1
91	при этом не	2	1
92	мертвых душ в	1	1
93	более или менее	2	1
94	по сравнению с	1	1
95	не должен быть	1	1
96	и та же	1	1
97	одного и того	1	1
98	но не только	1	1
99	не свидетельствуют о	1	1
100	также нуждаются в	1	1
101	у нас есть	1	1
102	пространство и время	1	1
103	иметь в виду	1	1
104	так и по	1	1
105	содержит в себе	1	1
106	тем же самым	1	1
107	как и всякий	1	1
108	точек зрения в	1	1
109	к одной и	1	1
110	само по себе	1	1
111	тому или иному	2	1
112	но если бы	1	1
113	в пределах одного	1	1
114	несет в себе	4	1
115	следует искать в	1	1
116	и того же	1	1
117	в высшей степени	2	1
118	одна и та	1	1
119	как раз и	1	1
120	и все же	6	1
121	с другой стороны	2	1
122	и т.п как	1	1
123	которой не может	1	1
124	должен был бы	1	1
125	можно было бы	2	1
126	или иному типу	1	1
127	мы не можем	1	1
128	и не может	1	1
129	и в этом	1	1
130	прежде всего на	2	1
131	же самое и	1	1
132	это мы должны	1	1
133	отнюдь не является	1	1
