N	3gram	Trubetskoy	VrazhdaK
1	и все же	1	5
2	то же время	10	4
3	в то же	10	4
4	в связи с	1	3
5	в том что	7	2
6	не может быть	4	2
7	но в то	1	2
8	с точки зрения	9	2
9	и что в	1	2
10	но для нас	1	1
11	но при этом	1	1
12	в свою очередь	1	1
13	а между тем	5	1
14	на россию в	1	1
15	в конце концов	3	1
16	речь идет о	1	1
17	в нем самом	1	1
18	точно так же	2	1
19	так же как	1	1
20	на то что	4	1
21	и во всем	1	1
22	не только от	1	1
23	по крайней мере	1	1
24	заключается в том	1	1
25	и то что	3	1
26	о том что	2	1
27	но и от	1	1
28	но мы знаем	1	1
29	до сих пор	5	1
30	в том же	1	1
31	за границей и	1	1
32	во всяком случае	6	1
33	а следовательно и	2	1
34	тем не менее	1	1
35	к вопросу о	3	1
36	это и есть	1	1
37	самим собой в	1	1
38	тем более что	1	1
39	на первый взгляд	1	1
40	между прочим и	1	1
41	тем что он	1	1
42	в этом отношении	1	1
43	и не может	3	1
44	и в этом	1	1
45	идет не об	1	1
46	речь идет не	1	1
