N	4gram	Tiupa_Disk	FransuaR
1	в то же время	7	55
2	в том числе и	3	17
3	большей или меньшей степени	1	14
4	в большей или меньшей	1	14
5	дело в том что	3	13
6	и в то же	2	12
7	в той или иной	1	10
8	с одной стороны и	3	5
9	между жизнью и смертью	1	5
10	и не может быть	1	4
11	жизнью и смертью в	1	3
12	нет и не может	1	3
13	одного и того же	4	3
14	с другой стороны в	1	2
15	заключается в том что	1	2
16	говорит о том что	1	2
17	то же время они	1	2
18	в тех или иных	1	2
19	с большей или меньшей	1	2
20	все дело в том	1	2
21	или во всяком случае	1	2
22	то же время и	2	2
23	одним и тем же	1	2
24	в том или ином	1	2
25	в том и в	1	1
26	и т.п так и	1	1
27	в том что в	3	1
28	не определяет и не	1	1
29	верха и низа и	1	1
30	в тех случаях когда	1	1
31	между вещами и ценностями	1	1
32	не может быть ни	1	1
33	одной стороны и к	1	1
34	свидетельствует о том что	1	1
35	в данном случае не	1	1
36	и в другом случае	1	1
37	с одной стороны он	1	1
38	одно и то же	2	1
39	той или иной мере	1	1
40	одном и том же	1	1
41	тех или иных отношениях	1	1
42	громадное значение в истории	1	1
43	говорит об этом так	1	1
44	том и в другом	1	1
45	состоит в том что	2	1
46	определяет и не ограничивает	1	1
47	и в том и	1	1
48	в большинстве случаев это	1	1
49	в том случае если	1	1
50	обратим особое внимание на	1	1
51	ни о чем не	2	1
52	ни в чем не	1	1
53	лишь в тех случаях	1	1
54	в том что он	1	1
55	роль в этом отношении	1	1
56	в отличие от современной	1	1
57	в этом отношении на	1	1
58	не в том что	1	1
59	подобно тому как в	1	1
60	если можно так выразиться	2	1
