N	3gram	Tiupa_Disk	Marksizm
1	с точки зрения	3	46
2	не может быть	5	25
3	в самом деле	1	19
4	по отношению к	13	15
5	то же время	9	15
6	в то же	7	15
7	в том что	18	14
8	в связи с	1	14
9	и не может	3	12
10	до сих пор	1	11
11	в отличие от	12	10
12	с самого начала	2	10
13	в большинстве случаев	2	9
14	одного и того	4	9
15	и того же	4	9
16	то же самое	2	8
17	до настоящего времени	1	7
18	с другой стороны	4	7
19	в свою очередь	3	7
20	на то что	1	6
21	на самом деле	1	6
22	во всяком случае	2	6
23	с одной стороны	12	6
24	одни и те	1	5
25	и как бы	5	5
26	в таком случае	1	5
27	чужой речи и	2	5
28	той или иной	6	5
29	и те же	1	5
30	как мы видели	1	5
31	в этом случае	3	5
32	в этом отношении	4	5
33	так и от	1	4
34	в нем нет	1	4
35	и прежде всего	2	4
36	но все же	1	4
37	о том что	8	4
38	можно сказать что	3	4
39	том что он	1	4
40	в той или	1	3
41	не только в	2	3
42	тем не менее	1	3
43	и тем же	1	3
44	одной стороны и	3	3
45	хотя бы и	1	3
46	в том числе	3	3
47	более или менее	2	3
48	и то же	2	3
49	но при этом	3	3
50	том числе и	3	3
51	в данном конкретном	1	3
52	в данном отношении	1	3
53	и т.п в	1	3
54	не могут быть	1	3
55	в значительной степени	3	3
56	а не в	2	3
57	в этом последнем	1	3
58	в науке о	2	3
59	и что это	1	3
60	одним и тем	1	3
61	одно и то	2	3
62	именно в том	1	3
63	в следующей главе	1	3
64	что он не	1	2
65	слова в слове	1	2
66	речевого общения в	2	2
67	в этом направлении	1	2
68	до известной степени	2	2
69	в этом смысле	1	2
70	именно здесь в	1	2
71	она могла бы	1	2
72	друг от друга	1	2
73	что во всех	1	2
74	так и в	4	2
75	может стать объектом	1	2
76	между тем как	1	2
77	в данном случае	6	2
78	в пределах одной	1	2
79	в том или	1	2
80	к тому же	4	2
81	нашли свое наиболее	1	2
82	языка и не	1	2
83	лицом к лицу	2	2
84	а не только	2	2
85	и в том	1	2
86	сами по себе	2	2
87	того или иного	2	2
88	только по отношению	1	2
89	и в особенности	2	2
90	а иногда и	1	2
91	по крайней мере	3	2
92	том или ином	1	2
93	ту или иную	1	2
94	как и в	3	2
95	в противном случае	1	2
96	как и все	1	2
97	во всех областях	1	2
98	крайней мере двух	1	2
99	к чужой речи	1	2
100	из одного и	1	2
101	это и есть	1	2
102	прежде всего в	2	2
103	и в большинстве	1	2
104	нет и не	1	2
105	тот или иной	2	2
106	из виду что	2	1
107	от утверждения что	1	1
108	себе не может	1	1
109	к своему герою	1	1
110	и столь же	1	1
111	все то что	1	1
112	не было в	3	1
113	и приводит в	1	1
114	точка зрения на	1	1
115	и даже не	1	1
116	заключать в себе	1	1
117	в конечном счете	2	1
118	одну из них	1	1
119	к другому в	1	1
120	на том что	1	1
121	при этом как	1	1
122	и в другом	1	1
123	или же так	1	1
124	здесь в этом	1	1
125	не столько в	1	1
126	до наших дней	1	1
127	говоря уже о	2	1
128	в предыдущей главе	1	1
129	он не может	1	1
130	при этом даже	1	1
131	не только его	1	1
132	в своей основе	1	1
133	как и всякое	2	1
134	пролить свет и	1	1
135	свидетельствует о том	1	1
136	в строгом смысле	1	1
137	по природе своей	6	1
138	что в них	2	1
139	в различные эпохи	1	1
140	для данного высказывания	1	1
141	во втором случае	1	1
142	как целое высказывание	1	1
143	сам по себе	1	1
144	так и с	1	1
145	приходит к выводу	1	1
146	хотя и в	2	1
147	на себя самого	1	1
148	не совпадает с	1	1
149	двух точек зрения	1	1
150	для правильного понимания	1	1
151	между собой и	1	1
152	что он ее	1	1
153	не сводится к	4	1
154	речевого общения и	1	1
155	может быть сведена	1	1
156	может быть осуществлено	1	1
157	по аналогии с	2	1
158	первого и второго	2	1
159	в гуманитарных науках	1	1
160	всего в том	1	1
161	для понимания и	1	1
162	в соответствии с	4	1
163	но также и	1	1
164	оно определяется не	1	1
165	их отношении к	1	1
166	а с другой	4	1
167	а в том	2	1
168	к выводу о	1	1
169	может быть названа	1	1
170	в особенности у	1	1
171	два значения слова	1	1
172	как раз и	1	1
173	в наше время	4	1
174	друг на друга	1	1
175	не имеют никакого	1	1
176	к одной из	1	1
177	между которыми не	1	1
178	и т.п но	4	1
179	в их отношении	1	1
180	же время они	1	1
181	но в этом	1	1
182	и не дает	1	1
183	свет и на	1	1
184	перед нами не	1	1
185	между внутренним и	1	1
186	в первую очередь	3	1
187	в равной степени	2	1
188	в переходе от	1	1
189	в тех случаях	1	1
190	в форме определенной	1	1
191	мы все же	1	1
192	прежде всего как	1	1
193	не только по	1	1
194	в данной сфере	2	1
195	лишь в тех	1	1
196	то есть в	2	1
197	но прежде всего	1	1
198	то все же	1	1
199	большей или меньшей	2	1
