N	2gram	Berdyaev_N	TeoriaLi
1	в мире	3	26
2	не только	5	24
3	и в	16	24
4	может быть	7	22
5	в том	8	20
6	и не	11	17
7	а в	2	15
8	но и	3	14
9	а не	17	14
10	так и	2	14
11	в себе	2	14
12	такого рода	2	13
13	но не	2	13
14	в этом	7	12
15	но в	2	12
16	в его	1	12
17	своего рода	1	11
18	том что	2	11
19	и его	1	11
20	что в	9	10
21	как это	2	10
22	лишь в	6	10
23	только в	1	9
24	с другой	3	9
25	не в	6	9
26	в то	2	9
27	в своей	3	8
28	по своей	1	8
29	не может	16	8
30	в самом	1	7
31	не столько	1	7
32	на смену	1	7
33	особого рода	1	7
34	и т.п	2	7
35	в отличие	1	7
36	в своем	1	7
37	себя в	2	7
38	а также	1	7
39	отличие от	1	7
40	место в	2	7
41	в области	1	7
42	в нем	5	7
43	другой стороны	2	6
44	как и	7	6
45	не менее	4	6
46	приводит к	1	6
47	еще не	3	6
48	в основе	3	6
49	то что	4	6
50	уже не	2	6
51	с его	6	6
52	в ее	3	6
53	с другими	1	6
54	ни в	6	5
55	в виду	1	5
56	как в	3	5
57	можно сказать	1	5
58	того чтобы	2	5
59	для того	1	5
60	жизни как	2	5
61	по преимуществу	1	5
62	он не	8	5
63	могут быть	2	5
64	не случайно	1	5
65	не на	1	4
66	в этих	1	4
67	что он	1	4
68	говорить о	1	4
69	и а	1	4
70	сказать что	3	4
71	к тому	3	4
72	во времени	1	4
73	никогда не	6	4
74	и того	1	4
75	это не	4	4
76	хотя и	2	4
77	слова в	1	4
78	но он	1	4
79	не знает	6	4
80	мира и	2	4
81	по своему	4	4
82	в свою	1	4
83	и что	2	4
84	того же	1	4
85	одного и	1	4
86	в силу	1	4
87	с ее	5	4
88	и к	5	3
89	для себя	1	3
90	подобно тому	3	3
91	все эти	2	3
92	в жизни	5	3
93	их в	1	3
94	роль в	2	3
95	культуры в	5	3
96	своей природе	1	3
97	потому что	4	3
98	одной стороны	2	3
99	из этих	1	3
100	и для	4	3
101	к содержанию	2	3
102	с одной	2	3
103	том числе	1	3
104	и потому	4	3
105	ни к	2	3
106	к которому	1	3
107	есть в	2	3
108	прежде всего	4	3
109	а на	1	3
110	во всех	3	3
111	тому как	3	3
112	в которой	1	3
113	не будет	7	3
114	не с	1	3
115	нового времени	12	3
116	этом смысле	2	3
117	в этой	1	3
118	человеческой жизни	1	3
119	в той	1	2
120	более не	2	2
121	для всех	1	2
122	и мира	1	2
123	и на	2	2
124	жизни а	1	2
125	которая в	1	2
126	мы в	1	2
127	по себе	1	2
128	не могут	1	2
129	в них	4	2
130	оно не	1	2
131	и даже	2	2
132	к более	2	2
133	вместе с	2	2
134	жизни в	3	2
135	себя и	1	2
136	в известном	1	2
137	в каком	1	2
138	о том	4	2
139	это и	2	2
140	духовной жизни	2	2
141	к нему	1	2
142	в значительной	1	2
143	но во	1	2
144	времени в	2	2
145	не всегда	1	2
146	вступает в	1	2
147	говорит что	1	2
148	и это	2	2
149	превращается в	1	2
150	времени и	2	2
151	значительной степени	1	2
152	передо мной	1	2
153	что она	2	2
154	который в	2	2
155	в мировой	2	2
156	он и	1	2
157	мир все	1	2
158	менее чем	1	2
159	войне и	1	2
160	рода и	1	2
161	в формах	1	2
162	что такое	3	2
163	все это	5	2
164	у нас	1	2
165	xix века	5	2
166	духовной культуры	1	2
167	с их	2	2
168	к жизни	3	2
169	у него	2	2
170	от всех	1	2
171	к чему	1	2
172	на себя	1	2
173	не могли	2	2
174	в конце	1	2
175	я не	2	2
176	это было	3	2
177	в чем	1	2
178	должен быть	5	2
179	к одному	1	2
180	одну из	1	2
181	к такой	1	2
182	но она	2	2
183	за пределы	3	2
184	перед лицом	1	2
185	человека и	3	2
186	в большинстве	1	2
187	так же	2	2
188	числе и	1	2
189	на уровне	2	2
190	известном смысле	1	2
191	и особенно	1	2
192	как будто	2	2
193	этой системе	1	2
194	мира с	1	2
195	все что	1	1
196	ночь и	1	1
197	вступить в	1	1
198	же и	1	1
199	также что	1	1
200	на ее	1	1
201	в которую	1	1
202	можно назвать	2	1
203	вопросу о	1	1
204	процессы которые	1	1
205	во внешних	1	1
206	думаю что	1	1
207	с ним	1	1
208	это уже	1	1
209	природе и	2	1
210	в сущности	1	1
211	самой жизни	2	1
212	одному из	1	1
213	сама жизнь	2	1
214	должно будет	1	1
215	быть может	4	1
216	с собой	1	1
217	и вполне	1	1
218	том и	2	1
219	которые будут	1	1
220	в центре	2	1
221	их не	1	1
222	до этого	1	1
223	новое время	4	1
224	а во-вторых	1	1
225	жизнь в	1	1
226	мы говорим	2	1
227	это скорее	1	1
228	значение в	1	1
229	тем что	1	1
230	то время	1	1
231	с тем	3	1
232	не имеет	4	1
233	обращения к	1	1
234	зависимости от	1	1
235	в это	1	1
236	на их	1	1
237	нет в	1	1
238	истины о	1	1
239	с этим	2	1
240	все они	2	1
241	особенно для	1	1
242	и пути	1	1
243	не существует	3	1
244	истории не	3	1
245	в котором	1	1
246	зависит от	2	1
247	и пр	3	1
248	вопрос о	3	1
249	и заключается	2	1
250	она могла	1	1
251	связана с	2	1
252	ей было	1	1
253	можно лишь	1	1
254	не должно	1	1
255	не быть	1	1
256	вступление в	1	1
257	имея в	1	1
258	жизни и	8	1
259	и вся	1	1
260	значение для	1	1
261	и ему	1	1
262	если нет	2	1
263	теми которые	1	1
264	в мир	1	1
265	и до	1	1
266	добро и	1	1
267	явление культуры	1	1
268	в истории	3	1
269	и означает	1	1
270	и общества	2	1
271	было и	1	1
272	всего что	1	1
273	в прошлом	3	1
274	и формы	2	1
275	этого мира	1	1
276	свободу от	1	1
277	я думаю	1	1
278	внешнюю жизнь	1	1
279	времени его	1	1
280	к ним	3	1
281	во внешней	1	1
282	духа и	3	1
283	за его	1	1
284	как я	1	1
285	что все	2	1
286	одна из	2	1
287	но если	1	1
288	культуры и	7	1
289	друг друга	1	1
290	освобождения от	1	1
291	из них	1	1
292	ближе к	1	1
293	обращена к	1	1
294	заинтересована в	1	1
295	или к	1	1
296	в более	1	1
297	тоже не	1	1
298	так как	1	1
299	они не	1	1
300	есть нарушение	1	1
301	не во	4	1
302	свидетельствует о	1	1
303	ее на	1	1
304	должно быть	4	1
305	всех сторон	4	1
306	ее судьбы	1	1
307	и процесс	1	1
308	от мира	1	1
309	в состоянии	1	1
310	не для	1	1
311	и зло	1	1
312	переход к	2	1
313	мы конечно	1	1
314	и через	1	1
315	глубже чем	1	1
316	стремится к	3	1
317	политике и	1	1
318	весь мир	1	1
319	в русском	2	1
320	от своих	1	1
321	свободы и	2	1
322	не было	4	1
323	это всегда	1	1
324	века и	2	1
325	говорим о	1	1
326	отказаться от	1	1
327	и более	1	1
328	что его	1	1
329	на нее	1	1
330	себя а	1	1
331	по существу	2	1
332	что не	1	1
333	xviii века	2	1
334	или иная	1	1
335	чтобы быть	1	1
336	мира а	2	1
337	долгое время	1	1
338	личности с	1	1
339	времени что	1	1
340	большинстве случаев	1	1
341	не есть	3	1
342	жизнью в	2	1
343	и религии	1	1
344	перед собой	1	1
345	от этого	1	1
346	того и	1	1
347	должно стать	2	1
348	в такой	1	1
349	лишь для	1	1
350	к вопросу	1	1
351	себе и	1	1
352	начало нового	3	1
353	таким центром	1	1
354	есть образный	1	1
355	связаны с	2	1
356	войны и	2	1
357	ему не	1	1
358	на них	1	1
359	людей в	1	1
360	же как	2	1
361	и мир	1	1
362	как того	1	1
363	может иметь	1	1
364	том случае	1	1
365	человек как	1	1
366	со всех	4	1
367	как ни	1	1
368	творческий процесс	1	1
369	не означает	3	1
370	личность в	2	1
371	и жизненной	1	1
372	случае если	1	1
373	она не	3	1
374	воспринимаются как	1	1
375	для будущего	1	1
376	совсем не	12	1
377	на всех	1	1
378	а блок	1	1
379	себя человек	1	1
380	а по	1	1
381	и их	1	1
382	такой обособленности	1	1
383	в последние	1	1
384	не могла	2	1
385	это была	1	1
386	можно было	2	1
387	заключает в	1	1
388	ни одно	1	1
389	человеческого духа	1	1
390	и жизни	1	1
391	в xix	1	1
392	в новое	3	1
393	когда мы	2	1
394	на это	1	1
395	было бы	1	1
396	не по	1	1
397	он в	1	1
398	так называемый	1	1
399	жизни не	3	1
400	та или	1	1
401	в зависимости	1	1
402	есть жизненный	1	1
403	также еще	1	1
404	системы он	1	1
405	и от	2	1
406	и есть	10	1
407	бытия и	1	1
408	всю жизнь	1	1
409	но я	2	1
410	героя но	1	1
411	нуждается в	1	1
412	и только	1	1
413	для этого	2	1
414	содержанию а	1	1
415	жизнью и	1	1
416	к реальному	3	1
417	совершается в	1	1
418	в статье	1	1
