N	4gram	Vygotskiy_	VeschiIm
1	не что иное как	2	12
2	бы то ни было	1	12
3	и т д и	1	11
4	т д и т	1	10
5	д и т д	1	10
6	есть не что иное	1	8
7	одно и то же	1	5
8	и тем не менее	2	5
9	с этой точки зрения	5	4
10	значит ли это что	1	4
11	дело в том что	1	4
12	в то же время	2	4
13	в то время как	6	4
14	указывает на то что	4	3
15	по крайней мере в	1	2
16	какого бы то ни	1	2
17	или что то же	1	2
18	уже не может быть	1	2
19	заключается в том что	7	2
20	в том что он	1	2
21	было бы сказать что	1	2
22	иначе как в результате	1	1
23	и в самом деле	3	1
24	умозаключений и т д	1	1
25	в том смысле что	1	1
26	ни в коем случае	1	1
27	одном и том же	1	1
28	и есть в сущности	1	1
29	к одному и тому	1	1
30	на что не направленный	1	1
31	и т д то	1	1
32	что с точки зрения	1	1
33	и т д вообще	1	1
34	она резко отличается от	1	1
35	и более или менее	1	1
36	с одной стороны и	1	1
37	в ее чистом виде	2	1
38	в первом случае мы	1	1
39	как бы вбирает в	1	1
40	одного и того же	1	1
41	само по себе но	1	1
42	в коем случае не	1	1
43	нельзя а можно только	1	1
44	ни на что не	1	1
45	если мы скажем что	1	1
46	не иначе как в	1	1
47	и мы увидим как	1	1
48	и т д все	1	1
49	никак не может быть	3	1
50	одному и тому же	1	1
51	т д все это	1	1
52	бы вбирает в себя	1	1
53	и не было бы	1	1
54	заключается в том чтобы	4	1
55	можно было бы и	1	1
56	заключается не в том	2	1
57	один и тот же	2	1
58	что бы то ни	1	1
