N	2gram	Trubetskoy	RusskieA
1	и в	24	79
2	в том	31	64
3	том что	20	59
4	что в	9	57
5	не только	10	41
6	а а	1	40
7	так как	7	34
8	и другие	1	33
9	в этом	13	33
10	состоит в	1	32
11	как бы	10	31
12	но и	11	31
13	в других	1	30
14	как и	10	28
15	и на	6	28
16	может быть	17	28
17	в этот	1	26
18	одна из	2	24
19	о том	7	23
20	с в	3	23
21	при этом	9	22
22	это не	3	20
23	а в	3	20
24	как мы	3	20
25	из них	5	19
26	все это	13	18
27	с тем	4	17
28	таким образом	34	17
29	то что	18	17
30	вместе с	7	17
31	потому что	9	17
32	во многих	1	16
33	мы не	1	16
34	будто бы	1	15
35	один из	1	15
36	в них	2	14
37	и с	5	14
38	не менее	7	14
39	тем не	4	14
40	и что	9	14
41	мы видели	2	14
42	и не	9	14
43	для нас	3	14
44	у нас	3	14
45	уже не	1	13
46	к этому	5	13
47	так что	6	13
48	и по	3	13
49	как в	1	13
50	в которых	2	13
51	еще не	6	13
52	не может	18	13
53	тем что	1	12
54	между собой	4	12
55	этом случае	4	12
56	в виде	4	12
57	а затем	2	11
58	не имеет	2	11
59	а на	1	11
60	далеко не	5	11
61	что на	2	11
62	все же	15	10
63	том чтобы	2	10
64	его в	5	10
65	между тем	12	10
66	что и	7	10
67	в течение	4	10
68	так и	10	10
69	по существу	7	10
70	и других	3	10
71	то же	4	9
72	что они	2	9
73	к жизни	1	9
74	с ней	1	9
75	и все	9	9
76	данном случае	3	9
77	того как	1	9
78	том же	4	9
79	но в	5	9
80	но не	3	9
81	одно из	3	8
82	в этих	3	8
83	представление о	3	8
84	что по	3	8
85	так же	8	8
86	после этого	1	8
87	связи с	4	8
88	на себя	1	8
89	во всех	10	8
90	что это	5	8
91	их в	2	8
92	того чтобы	8	8
93	того что	7	8
94	ее в	1	8
95	в данном	3	8
96	для того	8	8
97	в руках	1	7
98	должна была	1	7
99	настоящее время	3	7
100	в своем	12	7
101	на них	1	7
102	к нему	2	7
103	а и	8	7
104	не в	9	7
105	а с	4	7
106	не совсем	1	7
107	было бы	3	7
108	главным образом	1	7
109	только в	6	7
110	из этих	8	7
111	а не	1	7
112	начиная с	1	7
113	до конца	1	7
114	в настоящее	3	7
115	ничего не	1	7
116	и как	1	7
117	мы должны	4	7
118	по этому	2	7
119	как будто	5	7
120	в эти	3	7
121	для этого	7	7
122	же как	3	6
123	к тому	8	6
124	что этот	1	6
125	выше мы	4	6
126	и другой	1	6
127	только на	1	6
128	что она	2	6
129	в качестве	1	6
130	чем в	3	6
131	в разные	1	6
132	в таком	4	6
133	тому что	2	6
134	на земле	3	6
135	и у	4	6
136	на этом	2	6
137	в этой	7	6
138	в нем	3	6
139	видели что	1	6
140	в в	4	6
141	с ними	2	6
142	приводит к	1	6
143	и более	2	6
144	друг друга	2	6
145	и пр	1	6
146	или с	1	6
147	в их	4	6
148	на нее	2	6
149	все эти	19	6
150	так в	1	6
151	связаны с	1	6
152	она не	2	6
153	и их	5	6
154	этому поводу	1	6
155	и к	5	5
156	в разных	3	5
157	стоит в	1	5
158	некоторые другие	1	5
159	например в	1	5
160	только для	1	5
161	тогда как	6	5
162	с этим	12	5
163	вопрос о	3	5
164	рассматриваться как	3	5
165	входит в	1	5
166	с другой	6	5
167	связь между	1	5
168	к ним	2	5
169	что от	1	5
170	не было	2	5
171	как объяснить	1	5
172	в связи	3	5
173	в целях	1	5
174	мы уже	4	5
175	в тех	3	5
176	можно было	1	5
177	чаще всего	1	5
178	в то	6	5
179	прежде всего	3	5
180	тогда когда	3	5
181	с ним	6	5
182	к таким	2	5
183	что он	7	5
184	ничего общего	3	5
185	то и	2	5
186	в свою	2	5
187	заметить что	1	5
188	но если	2	5
189	и для	6	5
190	тот же	3	5
191	в его	5	5
192	вывод что	1	5
193	на самом	7	5
194	и потому	3	5
195	в народе	4	5
196	отнюдь не	2	5
197	их на	1	5
198	в целом	5	5
199	это представление	3	5
