N	2gram	Medvedev_V	Tragedij
1	и в	26	18
2	в романе	4	10
3	в этом	29	9
4	в году	7	9
5	не только	26	8
6	достоевский в	1	7
7	и не	20	7
8	может быть	23	7
9	как бы	5	7
10	он сам	2	7
11	что он	4	6
12	у него	6	6
13	же время	5	6
14	в образе	2	6
15	но в	2	6
16	и его	6	6
17	это не	7	5
18	несмотря на	1	5
19	так и	6	5
20	все же	6	5
21	у достоевского	1	5
22	в дальнейшем	1	5
23	то же	10	5
24	как и	7	5
25	не может	17	5
26	в то	6	5
27	что в	11	4
28	в себе	6	4
29	и даже	2	4
30	он всегда	1	4
31	все это	13	4
32	прежде всего	13	4
33	и все	1	4
34	об этом	9	4
35	еще не	2	4
36	но и	10	4
37	том что	8	4
38	и что	1	4
39	так же	3	4
40	то что	7	4
41	в этой	4	4
42	в нем	7	4
43	но это	1	4
44	в целом	5	4
45	и он	3	3
46	один из	6	3
47	достоевского в	1	3
48	должно быть	2	3
49	в основном	7	3
50	уже в	1	3
51	в его	15	3
52	для него	9	3
53	в своем	8	3
54	романа и	1	3
55	с ним	1	3
56	о чем	2	3
57	и сам	2	3
58	в конце	3	3
59	и как	3	3
60	как в	1	3
61	то есть	1	3
62	жизнь и	1	3
63	как это	12	3
64	с ее	1	3
65	как будто	1	3
66	отнюдь не	4	3
67	все эти	8	3
68	в самом	4	2
69	и то	1	2
70	человеческой личности	1	2
71	еще раз	1	2
72	писателя и	2	2
73	данном случае	1	2
74	по замыслу	1	2
75	в том	15	2
76	он и	2	2
77	с тем	4	2
78	в ее	4	2
79	говорит о	7	2
80	как у	2	2
81	что делать?	1	2
82	что и	3	2
83	из своих	2	2
84	ни в	1	2
85	бы и	6	2
86	чем он	1	2
87	к области	1	2
88	в русском	1	2
89	по словам	8	2
90	что все	4	2
91	не могут	10	2
92	в виде	1	2
93	его в	3	2
94	как же	1	2
95	не в	6	2
96	но все	1	2
97	даже на	1	2
98	было в	2	2
99	еще в	1	2
100	от всего	1	2
101	в таком	1	2
102	между этими	1	2
103	этими двумя	1	2
104	как говорит	5	2
105	одном из	4	2
106	вопрос о	1	2
107	вряд ли	1	2
108	состоит из	1	2
109	знает что	1	2
110	и это	1	2
111	во сне	21	2
112	уже не	1	2
113	к тому	5	2
114	о том	10	2
115	перед нами	5	2
116	не был	1	2
117	не имеет	1	2
118	что эти	1	2
119	бросается в	1	2
120	в данном	1	2
121	что этот	1	2
122	он был	1	2
123	потому что	1	2
124	и дети	1	2
125	личности и	1	2
126	отцы и	1	2
127	он не	2	2
128	по поводу	4	2
129	если б	1	2
130	в частности	12	2
131	и детей	1	2
132	в одном	5	2
133	говорит что	1	2
134	в глаза	1	2
135	отношение к	1	2
136	в ходе	1	2
137	о его	2	2
138	что она	2	2
139	который в	2	2
140	одна из	4	2
141	что говорит	3	2
142	с его	4	2
143	а как	2	2
144	тем что	1	2
145	не случайно	1	2
146	только о	2	2
147	и ее	4	2
148	никогда не	5	2
149	в известной	2	2
150	жизнью и	1	2
151	друг друга	1	2
152	в той	1	1
153	для самого	1	1
154	в особенности	2	1
155	ситуации и	1	1
156	н толстой	1	1
157	им как	2	1
158	то в	1	1
159	в кругу	1	1
160	от него	1	1
161	этом случае	1	1
162	романа с	1	1
163	утверждать что	5	1
164	могут быть	8	1
165	только не	2	1
166	не нашел	1	1
167	мы бы	1	1
168	к сожалению	2	1
169	взгляд на	1	1
170	мы видим	1	1
171	что оно	3	1
172	и мира	1	1
173	все герои	1	1
174	таким образом	32	1
175	опирается на	1	1
176	действия не	1	1
177	смотреть на	1	1
178	по определению	1	1
179	например что	3	1
180	что наконец	1	1
181	перед собою	1	1
182	достоевского и	2	1
183	после того	2	1
184	только что	4	1
185	на вопрос	2	1
186	его самого	1	1
187	непосредственного чувства	1	1
188	также что	2	1
189	замысел и	2	1
190	свидетельствует о	1	1
191	как много	1	1
192	того как	2	1
193	к этой	1	1
194	если он	1	1
195	главное для	1	1
196	почти не	1	1
197	в братьях	1	1
198	с одной	2	1
199	что даже	2	1
200	должна быть	2	1
201	случайное и	1	1
202	замысел его	1	1
203	с этой	1	1
204	и при	5	1
205	только нет	1	1
206	дело с	1	1
207	в применении	1	1
208	быть отнесены	1	1
209	к числу	1	1
210	что эта	1	1
211	естественно что	3	1
212	т е	18	1
213	подчеркнуть что	2	1
214	э по	2	1
215	романа в	1	1
216	вот как	4	1
217	что при	2	1
218	приступил к	1	1
219	того что	3	1
220	сам по	1	1
221	по слову	2	1
222	о нем	1	1
223	не как	1	1
224	и опирается	1	1
225	а затем	2	1
226	для нас	1	1
227	и всегда	1	1
228	является чисто	1	1
229	и достоевский	2	1
230	не способен	1	1
231	каким же	1	1
232	как он	3	1
233	нет это	1	1
234	же не	1	1
235	в результате	5	1
236	говорил что	3	1
237	сознает свою	1	1
238	перед сном	1	1
239	в виду	4	1
240	только в	8	1
241	не столько	2	1
242	по себе	2	1
243	ума и	2	1
244	в самой	1	1
245	говорит он	1	1
246	тем дело	1	1
247	не было	7	1
248	так выразиться	1	1
249	в духе	1	1
250	но он	1	1
251	говорит в	3	1
252	этого не	1	1
253	вот что	12	1
254	а также	1	1
255	сказал что	1	1
256	признается что	1	1
257	заключается в	2	1
258	и судьбы	1	1
259	одним из	5	1
260	и чисто	1	1
261	мысль о	2	1
262	же по	1	1
263	во взглядах	1	1
264	эти образы	1	1
265	на себя	1	1
266	можно так	1	1
267	что не	3	1
268	развития в	1	1
269	именно в	3	1
270	далее следует	1	1
271	при которой	1	1
272	тому что	7	1
273	эдгара по	1	1
274	из тех	1	1
275	в связи	4	1
276	с жизнью	1	1
277	с ними	4	1
278	приходит в	1	1
279	есть в	1	1
280	в своей	4	1
281	вместе с	8	1
282	и вместе	1	1
283	карамазовых даже	1	1
284	на этом	2	1
285	при таком	1	1
286	роль в	4	1
287	не менее	2	1
288	не знать	1	1
289	и т	25	1
290	это происходит	1	1
291	так сказать	2	1
292	неожиданное появление	1	1
293	еще к	1	1
294	бы не	2	1
295	но у	1	1
296	между собой	1	1
297	если можно	1	1
298	сравнению с	1	1
299	первоначальный замысел	1	1
300	это было	1	1
301	он вполне	1	1
302	в стихах	2	1
303	героя и	1	1
304	в чем	2	1
305	ли это	2	1
306	процесс у	1	1
307	могло бы	2	1
308	затем начинает	1	1
309	творца и	1	1
310	это самое	1	1
311	года и	2	1
312	начнем с	2	1
313	бы в	3	1
314	в черновиках	1	1
315	эти же	1	1
316	в них	5	1
317	при создании	3	1
318	во всех	7	1
319	братьях карамазовых	2	1
320	которых можно	1	1
321	во всяком	2	1
322	и потому	2	1
323	понятно что	2	1
324	отцов и	1	1
325	это и	6	1
326	попал в	3	1
327	необходимое условие	1	1
328	совершенно не	1	1
329	но как	3	1
330	более чем	1	1
331	чем же	4	1
332	он же	6	1
333	всего необходимо	1	1
334	не является	5	1
335	а к	2	1
336	это как	1	1
337	в котором	3	1
338	виду не	1	1
339	творческий процесс	17	1
340	говорит по	1	1
341	как нечто	1	1
342	этой схемы	1	1
343	это понятие	1	1
344	материал своих	1	1
345	применении к	1	1
346	которой он	1	1
347	связи с	5	1
348	за этими	1	1
349	от природы	1	1
350	силы и	1	1
351	он пытался	1	1
352	хотя бы	20	1
353	она не	3	1
354	стихах и	1	1
355	того чтобы	3	1
356	и если	1	1
357	исключительное значение	1	1
358	но не	2	1
359	в другом	2	1
360	крест и	1	1
361	между тем	6	1
362	необходимо подчеркнуть	1	1
363	общеизвестно что	1	1
364	не быть	2	1
365	в ней	2	1
366	вот почему	5	1
367	цитата из	1	1
368	в ход	1	1
369	свободен только	1	1
370	характерны для	1	1
371	самом деле	1	1
372	самого автора	1	1
373	из себя	2	1
374	о совершенно	1	1
375	в которой	2	1
376	идет в	1	1
377	в образах	2	1
378	лишь в	2	1
379	если так	1	1
380	только один	1	1
381	а не	7	1
382	а по	1	1
383	грубость и	1	1
384	значение для	1	1
385	только на	1	1
386	и их	3	1
387	старика и	1	1
388	есть и	1	1
389	же говорит	4	1
390	один раз	1	1
391	можно было	2	1
392	в форме	3	1
393	за пределы	1	1
394	а между	1	1
395	но только	1	1
396	даже не	2	1
397	толстой и	1	1
398	доходит до	1	1
399	не вполне	2	1
400	этого образа	1	1
401	что ее	1	1
402	в истории	1	1
403	даже самый	2	1
404	рассказывает о	4	1
405	ту же	2	1
406	человека и	3	1
407	отметить что	2	1
408	или как	1	1
409	самого начала	1	1
410	это его	1	1
411	у которого	1	1
412	всего этого	1	1
413	достоевский говорил	1	1
414	в какой-то	1	1
415	значение и	1	1
416	был прав	1	1
417	знает и	1	1
418	к ним	2	1
419	или вообще	1	1
420	и еще	1	1
421	т п	9	1
422	не получил	1	1
423	в книге	2	1
424	он в	2	1
425	к ней	1	1
426	как мы	1	1
427	литературы на	1	1
428	со своими	1	1
429	не для	1	1
430	и особенно	1	1
431	не случайное	1	1
432	пародия на	2	1
433	образы и	5	1
434	и служит	1	1
435	и др	10	1
436	ответа на	1	1
437	по сравнению	1	1
438	это мы	3	1
439	характерно что	1	1
440	обратимся к	1	1
441	вызова и	1	1
442	быть в	1	1
443	не значит	1	1
444	слова в	1	1
445	и от	3	1
446	и есть	5	1
447	роль играет	1	1
448	своих романов	1	1
449	в понятие	1	1
450	в общем	2	1
451	причем в	1	1
452	и художественной	1	1
453	на этот	1	1
454	и непосредственного	2	1
455	быть свободен	1	1
456	что без	3	1
457	согласиться с	1	1
458	этом свидетельствует	1	1
459	например в	3	1
460	году и	1	1
461	о своих	1	1
462	в сфере	2	1
463	в области	2	1
464	и по	3	1
465	романа или	1	1
466	для достижения	1	1
467	для характеристики	1	1
468	это в	1	1
469	всяком случае	2	1
470	конце концов	2	1
471	идей и	3	1
472	к ее	1	1
473	чтобы не	2	1
474	три года	2	1
475	носит в	2	1
476	воображение всегда	1	1
477	июля года	2	1
478	его воображение	1	1
479	таков второй	2	1
480	и наконец	2	1
481	некоторые черты	1	1
482	что на	1	1
483	вплоть до	2	1
484	с того	1	1
485	не к	1	1
486	судя по	1	1
