N	2gram	Berdyaev_V	Sotsiolo
1	все это	5	7
2	в том	3	5
3	в этом	4	5
4	не только	2	3
5	не в	3	3
6	и в	16	3
7	более чем	2	3
8	в его	4	3
9	для нас	2	3
10	что в	3	2
11	заключается что	1	2
12	то что	9	2
13	том что	2	2
14	или даже	1	2
15	как бы	5	2
16	в результате	1	2
17	и мы	3	2
18	но и	5	2
19	конце концов	1	2
20	может быть	1	2
21	и что	3	2
22	им не	1	2
23	в конце	3	2
24	должна быть	3	2
25	только в	2	2
26	то же	1	2
27	еще не	8	2
28	по достоинству	1	1
29	а в	2	1
30	что он	4	1
31	в целом	1	1
32	и самые	1	1
33	это значит	1	1
34	все эти	3	1
35	не было	3	1
36	единственный путь	1	1
37	в своей	3	1
38	во всяком	2	1
39	в мире	5	1
40	и потому	7	1
41	все же	1	1
42	что это	1	1
43	еще и	1	1
44	по крайней	1	1
45	с другой	1	1
46	и стало	1	1
47	это как	1	1
48	с ним	2	1
49	между тем	2	1
50	но как	1	1
51	своего же	1	1
52	в этой	1	1
53	и по	1	1
54	их на	1	1
55	один из	2	1
56	так и	4	1
57	в котором	4	1
58	никакая наука	1	1
59	и не	20	1
60	но она	1	1
61	но не	2	1
62	они не	1	1
63	что личность	1	1
64	прежде всего	2	1
65	тем что	2	1
66	нам право	1	1
67	в чем	3	1
68	а с	2	1
69	еще недостаточно	1	1
70	а между	2	1
71	и будет	3	1
72	наше дело	1	1
73	он говорит	1	1
74	же теперь	1	1
75	крайней мере	1	1
76	в процессе	1	1
77	между собою	1	1
78	вовсе не	1	1
79	основной вопрос	1	1
80	конечно не	2	1
81	мы не	2	1
82	тому что	3	1
83	в этих	3	1
84	у него	1	1
85	вот в	1	1
86	хотя бы	3	1
87	что на	1	1
88	это не	2	1
89	бы в	1	1
90	в виде	1	1
91	никогда не	3	1
92	и есть	4	1
93	что все	4	1
94	как и	4	1
95	ничего не	1	1
96	в них	3	1
