N	2gram	Ircho_Kome	Problemy
1	и в	37	106
2	и не	28	90
3	как бы	7	70
4	может быть	14	66
5	т е	18	59
6	в его	12	56
7	в этом	18	52
8	в нем	8	51
9	не может	9	49
10	как и	10	44
11	что он	15	44
12	точки зрения	8	40
13	но и	18	40
14	для него	1	39
15	и его	10	39
16	а не	5	38
17	о себе	1	37
18	то же	14	36
19	не только	13	36
20	в пределах	3	35
21	то что	5	33
22	но в	7	33
23	прежде всего	7	32
24	он не	11	29
25	в то	14	29
26	все это	7	29
27	и все	6	28
28	в одном	3	27
29	не в	7	27
30	к другому	2	27
31	к себе	9	26
32	же время	12	26
33	в самом	17	25
34	и с	5	25
35	к нему	8	25
36	с точки	6	25
37	в сущности	3	25
38	и т	5	25
39	не как	2	24
40	вовсе не	6	24
41	самом деле	13	24
42	рядом с	1	23
43	и на	6	23
44	слова и	1	23
45	по себе	1	22
46	в каждом	3	22
47	что я	5	22
48	таким образом	16	22
49	как мы	6	21
50	все же	9	20
51	никогда не	5	20
52	только в	3	20
53	потому что	19	20
54	что же	2	19
55	что в	11	19
56	с его	6	19
57	отношению к	4	19
58	по отношению	6	18
59	т п	5	18
60	в себе	4	18
61	еще не	10	18
62	о нем	1	18
63	но не	9	18
64	все эти	1	18
65	и к	4	17
66	себе самом	1	17
67	с ним	10	17
68	а в	12	17
69	в том	24	17
70	это не	3	17
71	так и	4	17
72	человека из	1	17
73	так же	8	16
74	если бы	18	16
75	в своей	6	16
76	в другом	2	16
77	у него	10	15
78	до конца	4	15
79	и для	7	15
80	и наконец	1	15
81	и сам	11	14
82	в своем	9	14
83	как раз	9	14
84	в конце	14	14
85	а как	2	14
86	в отношении	4	14
87	себя самого	1	14
88	так как	16	14
89	я не	4	14
90	он и	5	14
91	но все	5	13
92	на него	6	13
93	с другими	2	13
94	его в	9	13
95	в мире	2	13
96	и это	4	13
97	героя в	1	13
98	себя и	2	13
99	перед нами	1	13
100	в большинстве	1	13
101	в целом	4	13
102	при этом	11	12
103	даже в	3	12
104	отношении к	1	12
105	и как	3	12
106	и даже	6	12
107	к тому	11	12
108	во всяком	3	12
109	в котором	6	12
110	что и	12	12
111	не знает	7	12
112	себе и	1	12
113	так что	7	12
114	и что	8	12
115	за пределы	3	12
116	было бы	7	12
117	между тем	6	12
118	как в	4	12
119	том что	22	12
120	у меня	5	12
121	ничего не	6	12
122	слово в	1	12
123	в одной	2	12
124	тем что	12	11
125	их в	3	11
126	входит в	1	11
127	с другой	5	11
128	ни одного	1	11
129	он сам	1	11
130	бы в	5	11
131	мы уже	1	11
132	не могут	2	11
133	бы и	1	11
134	она не	3	11
135	как будто	3	11
136	конце концов	3	11
137	в речах	1	10
138	самого начала	5	10
139	что не	5	10
140	сих пор	12	10
141	в него	1	10
142	до сих	12	10
143	для себя	1	10
144	в слове	1	10
145	приводит к	4	10
146	в творчестве	1	10
147	той же	2	10
148	в самой	1	10
149	к одному	1	10
150	слова с	1	10
151	далеко не	3	10
152	как не	2	10
153	отношение к	7	10
154	ведь и	1	10
155	в той	2	9
156	другой стороны	2	9
157	в них	6	9
158	хотя бы	5	9
159	друг с	3	9
160	что у	2	9
161	хотя и	6	9
162	но он	3	9
163	с самого	5	9
164	из одного	1	9
165	я ведь	2	9
166	могут быть	3	9
167	всяком случае	3	9
168	ни в	14	9
169	да и	3	9
170	или в	1	9
171	и потому	2	9
172	человека в	4	9
173	же и	2	8
174	в результате	2	8
175	и до	2	8
176	о том	21	8
177	а что	1	8
