N	4gram	Ircho_Kome	EvropaiC
1	до сих пор не	1	5
2	в том случае если	1	4
3	бы то ни было	4	3
4	о которых идет речь	1	3
5	как бы то ни	1	2
6	в то же время	5	2
7	состоит в том что	1	1
8	с этой точки зрения	1	1
9	в то время как	6	1
10	не говоря уже о	4	1
11	в том что он	4	1
12	представление о том что	1	1
13	в конце концов в	1	1
14	в целом ряде случаев	1	1
15	и в конце концов	1	1
16	только в том случае	1	1
17	с оружием в руках	1	1
18	из этих элементов и	1	1
19	в тех случаях когда	1	1
20	в том числе и	1	1
21	одному и тому же	1	1
22	мало или вовсе не	1	1
23	в том что они	1	1
24	для того чтобы проверить	1	1
25	то что у него	1	1
