N	3gram	Medvedev_U	Poddanst
1	то же время	3	7
2	в то же	3	7
3	в том что	2	4
4	не только в	1	4
5	с одной стороны	1	3
6	в ней не	1	2
7	в значительной мере	1	2
8	и в то	1	2
9	и не только	1	2
10	не было бы	1	1
11	друг с другом	1	1
12	что мы и	1	1
13	и в частности	2	1
14	в последние годы	1	1
15	и только к	1	1
16	но в то	1	1
17	само по себе	1	1
18	не может быть	4	1
19	в отдельности и	1	1
20	она должна была	1	1
21	в этом смысле	2	1
22	и то что	2	1
23	хотя бы и	2	1
24	между тем в	1	1
25	сводится к следующему	1	1
26	с другой стороны	3	1
27	все это в	1	1
28	не в том	1	1
29	более или менее	1	1
30	для тех кто	1	1
