N	3gram	Berdyaev_N	Narrotol
1	в том что	1	18
2	не только в	1	13
3	в отличие от	1	11
4	о том что	1	9
5	не может быть	4	8
6	в известном смысле	1	6
7	с одной стороны	2	6
8	но и в	1	5
9	подобно тому как	3	5
10	во всяком случае	1	4
11	заключает в себе	1	3
12	и не может	1	3
13	до сих пор	1	3
14	в зависимости от	1	3
15	не было и	1	3
16	по природе своей	1	3
17	и в жизни	1	2
18	и не в	1	2
19	не в том	1	2
20	одного и того	1	2
21	сами по себе	1	2
22	в нем не	1	2
23	и того же	1	2
24	и потому что	1	2
25	в том смысле	1	2
26	к одному из	1	2
27	можно было бы	1	2
28	так же как	2	2
29	только потому что	1	2
30	по своей природе	1	2
31	лишь в том	1	1
32	в этой системе	1	1
33	не только потому	1	1
34	для себя и	1	1
35	то что он	1	1
36	в большинстве случаев	1	1
37	в этом смысле	2	1
38	более не будет	1	1
39	и в будущем	1	1
40	он не может	2	1
41	в том числе	1	1
42	в одну из	1	1
43	в том случае	1	1
44	в то что	1	1
45	а не в	1	1
46	а не с	1	1
47	этом я уже	1	1
48	том числе и	1	1
49	с другой стороны	2	1
50	никогда не было	2	1
51	имея в виду	1	1
52	в значительной степени	1	1
53	может быть только	1	1
54	слова а не	1	1
55	что он может	1	1
56	как это было	1	1
57	в мире а	1	1
58	как и в	1	1
59	он не имел	1	1
60	в то время	1	1
61	я не могу	1	1
62	ни одна из	2	1
63	и для другого	1	1
64	несоизмеримо более высокой	1	1
65	то время как	1	1
66	изнутри а не	1	1
67	же как и	1	1
68	без обращения к	1	1
69	в нее входит	1	1
70	том случае если	1	1
71	нового времени и	1	1
72	совсем не в	2	1
73	ни в чем	1	1
74	к жизни и	1	1
