N	2gram	Losev_Prob	KFilosof
1	может быть	11	45
2	в его	19	42
3	в нем	8	32
4	не может	6	29
5	и не	29	28
6	и в	48	28
7	по отношению	2	26
8	в котором	5	24
9	не есть	3	22
10	для меня	1	22
11	отношению к	2	22
12	в себе	7	21
13	только в	21	18
14	и его	11	18
15	в своем	16	17
16	в ее	6	17
17	а не	7	17
18	в этом	31	15
19	для него	2	13
20	не в	16	13
21	точки зрения	17	13
22	к нему	3	12
23	ни в	17	12
24	но не	12	12
25	и это	3	12
26	в своей	29	11
27	все эти	12	11
28	во всех	2	11
29	из себя	1	11
30	все это	8	10
31	это не	8	10
32	в едином	1	10
33	с точки	13	10
34	и есть	4	10
35	бытия и	1	10
36	и для	11	10
37	в их	4	9
38	и все	12	9
39	но и	21	9
40	как бы	10	9
41	для нее	1	9
42	в единстве	1	8
43	не было	4	8
44	если бы	2	8
45	быть только	6	8
46	в мире	1	8
47	со стороны	1	8
48	было бы	12	8
49	жизни и	7	8
50	во всем	5	7
51	и здесь	1	7
52	со мной	1	7
53	этот момент	1	7
54	что и	8	7
55	должен быть	2	7
56	вовсе не	18	7
57	уже не	12	7
58	совершенно не	1	7
59	то что	26	7
60	конечно не	2	7
61	на основе	1	7
62	но лишь	1	7
63	для себя	6	7
64	момент в	1	7
65	и только	4	7
66	отнюдь не	14	7
67	должно быть	1	6
68	не значит	1	6
69	но все	6	6
70	в моем	1	6
71	но эта	2	6
72	я не	3	6
73	не имеет	3	6
74	и я	1	6
75	в смысле	8	6
76	в том	25	6
77	и их	7	6
78	отношение к	3	6
79	он не	4	6
80	но это	7	6
81	мира в	3	6
82	то же	6	5
83	мы имеем	3	5
84	не только	28	5
85	эстетического созерцания	1	5
86	с ним	4	5
87	я могу	1	5
88	но как	3	5
89	и единственной	1	5
90	его в	9	5
91	но в	17	5
92	именно в	11	5
93	как и	10	5
94	все же	12	5
95	жизни в	7	5
96	себя и	1	5
97	еще не	4	5
98	что я	1	5
99	хотя бы	11	5
100	в одном	6	5
101	а в	8	5
102	я и	1	5
103	его как	2	5
104	жизни как	1	5
105	в контексте	1	5
106	там где	1	5
107	бытия в	1	5
108	никогда не	7	5
109	что в	12	4
110	я есмь	1	4
111	и весь	2	4
112	при этом	6	4
113	ни было	2	4
114	что это	4	4
115	не как	3	4
116	для нас	14	4
117	прежде всего	15	4
118	с другим	1	4
119	в своих	3	4
120	единая и	1	4
121	как его	1	4
122	места и	1	4
123	нет в	1	4
124	с ними	1	4
125	за свое	1	4
126	мира и	5	4
127	это противопоставление	1	4
128	том что	29	4
129	в чем	3	4
130	в каком	1	4
131	и жизни	2	4
132	входит в	1	4
133	только как	1	4
134	нисколько не	7	4
135	во всей	1	4
136	не по	1	4
137	между тем	2	4
138	здесь мы	2	4
139	времени и	1	4
140	тем самым	2	4
141	чем не	2	4
142	к ним	3	4
143	единому и	1	4
144	из него	1	4
145	жизни но	1	3
146	от него	1	3
147	и на	9	3
148	здесь нет	4	3
149	мы не	7	3
150	был бы	2	3
151	ним и	1	3
152	тогда когда	4	3
153	всем его	1	3
154	и этот	1	3
155	того что	8	3
156	где он	2	3
157	и этим	1	3
158	сознания и	1	3
159	на самом	2	3
160	ясно что	11	3
161	а все	1	3
162	в виду	3	3
163	и делает	2	3
164	самом деле	3	3
165	тем что	2	3
166	но для	2	3
167	людей и	13	3
168	меня в	4	3
169	в корне	2	3
170	что этот	6	3
171	единый и	1	3
172	не менее	8	3
173	по своему	3	3
174	бы не	4	3
175	здесь не	12	3
176	его жизни	1	3
177	поскольку он	1	3
178	той или	5	3
179	в каждом	2	3
180	это и	4	3
181	того или	3	3
182	бы и	1	3
183	в конкретной	1	3
184	ясно и	2	3
185	что не	3	3
186	отсюда и	1	3
187	не могу	1	3
188	в свою	4	3
189	не должен	1	3
190	и ни	4	3
191	во мне	1	3
192	в другом	6	3
193	для того	4	3
194	и должна	1	3
195	в ней	4	3
196	быть и	1	3
197	вступает в	1	3
198	других людей	1	3
199	единый план	1	3
200	этом смысле	4	3
201	от того	1	3
202	человека и	4	3
203	не я	1	3
204	мы здесь	2	3
205	нем и	2	3
206	из его	1	3
207	эти моменты	1	3
208	нет и	3	3
209	не быть	1	3
210	могут быть	2	3
211	до конца	4	3
212	котором мы	1	3
213	о том	17	3
214	человека вообще	2	3
215	тем как	2	3
216	в то	6	3
217	для которого	1	3
218	или иного	2	3
219	всех этих	3	3
220	и совершенно	2	3
221	тот же	6	3
222	и тем	4	3
223	ничего не	3	3
224	котором он	1	3
225	были бы	1	2
226	бы то	4	2
227	которой все	1	2
228	один из	2	2
229	и мы	1	2
230	ему в	3	2
231	и отсюда	1	2
232	где его	1	2
233	можно ли	2	2
234	чтобы быть	1	2
235	его с	2	2
236	дело с	1	2
237	еще более	4	2
238	тому что	2	2
239	именно она	2	2
240	это уже	4	2
241	будет ли	1	2
242	тем не	8	2
243	так и	15	2
244	жить и	1	2
245	из которых	2	2
246	этот мир	3	2
247	и то	6	2
248	своей истории	1	2
249	и за	2	2
250	в качестве	9	2
251	и свой	1	2
252	это есть	2	2
253	и когда	1	2
254	сводится к	1	2
255	по себе	5	2
256	и смысл	1	2
257	в виде	25	2
258	со всеми	5	2
259	не потому	1	2
260	если не	6	2
261	не о	2	2
262	ее от	1	2
263	в сознании	3	2
264	дело в	4	2
265	в мир	3	2
266	в ту	1	2
267	в составе	1	2
268	дело здесь	2	2
269	в жизни	4	2
270	смысле и	1	2
271	с тем	7	2
272	человек и	2	2
273	его на	3	2
274	и общее	1	2
275	и как	10	2
276	лишь с	1	2
277	весь мир	1	2
278	и чувство	2	2
279	что он	12	2
280	истины и	1	2
281	и она	1	2
282	но я	2	2
283	на волю	1	2
284	есть именно	1	2
285	первом плане	3	2
286	и просто	3	2
287	как в	3	2
288	на первом	3	2
289	во главе	1	2
290	от этого	4	2
291	и специально	1	2
292	есть на	1	2
293	смысла и	1	2
294	это было	2	2
295	под ним	1	2
296	в это	3	2
297	не нужно	1	2
298	свое бытие	1	2
299	ничего общего	6	2
300	а для	1	2
301	и смерти	3	2
302	можно и	1	2
303	жизнь и	6	2
304	или как	1	2
305	вошли в	1	2
306	я живу	1	2
307	поскольку она	1	2
308	к этому	2	2
309	и потому	4	2
310	ни к	2	2
311	было и	1	2
312	которого и	2	2
313	и ясно	2	2
314	ведь это	1	2
315	а с	4	2
316	в данном	6	2
317	и других	1	2
318	он ни	1	2
319	вопрос о	2	2
320	ни у	1	2
321	раз и	2	2
322	она не	1	2
323	потому что	21	2
324	того чтобы	3	2
325	то ни	4	2
326	совсем не	4	2
327	но всегда	2	2
328	дело не	1	2
329	к себе	1	2
330	общего не	1	2
331	не будет	4	2
332	в него	1	2
333	именно на	2	2
334	а по	1	2
335	содержания и	1	2
336	свою жизнь	1	2
337	что эта	3	2
338	для этого	2	2
339	отношении к	1	2
340	всех других	1	2
341	этот факт	1	2
342	всей своей	2	2
343	же время	1	2
344	их для	1	2
345	всей его	1	2
346	или иное	1	2
347	и всех	2	2
348	это только	1	2
349	и будущее	1	2
350	имеем в	1	2
351	в этой	14	2
352	он и	5	2
353	и под	2	2
354	нем не	1	2
355	него и	2	2
356	своем месте	1	2
357	при условии	1	2
358	только по	2	2
359	смысле не	1	2
360	это можно	2	2
361	и временные	1	2
362	что только	3	2
363	или иной	4	2
364	с его	3	2
365	в области	3	2
366	его к	2	2
367	как предмет	1	2
368	а как	2	2
369	содержания но	1	2
370	ни был	1	2
371	с ее	1	2
372	к содержанию	1	2
373	чтобы не	1	2
374	то или	1	2
375	и ее	2	2
376	едва ли	13	2
377	этих моментов	1	2
378	вся эта	3	2
379	гораздо более	5	2
380	себе а	3	2
381	в оценке	1	1
382	тон его	1	1
383	все в	3	1
384	всего в	1	1
385	в самом	7	1
386	только я	1	1
387	уже во	1	1
388	и к	9	1
389	стихийные силы	1	1
390	к действительности	1	1
391	только не	1	1
392	мы прежде	1	1
393	во втором	2	1
394	все что	2	1
395	как это	5	1
396	в единую	1	1
397	своем я	1	1
398	только путем	1	1
399	до сих	3	1
400	в душе	1	1
401	и он	5	1
402	и всякий	2	1
403	для мира	1	1
404	можно говорить	1	1
405	и эстетических	1	1
406	всем своим	1	1
407	не выходит	1	1
408	говоря вообще	1	1
409	содержится в	1	1
410	ничем не	1	1
411	так как	10	1
412	и очень	3	1
413	менее в	2	1
414	здесь именно	1	1
415	же и	2	1
416	как с	2	1
417	в план	1	1
418	как единство	1	1
419	только что	2	1
420	то есть	38	1
421	которого есть	1	1
422	это будет	1	1
423	в религии	1	1
424	зависит от	1	1
425	даже к	1	1
426	однако по	1	1
427	все люди	1	1
428	на том	1	1
429	не за	2	1
430	мысль моя	1	1
431	она в	2	1
432	человек это	1	1
433	нас как	1	1
434	мог бы	2	1
435	сознание в	1	1
436	нашей работы	1	1
437	вечной истины	1	1
438	смысле слова	12	1
439	и кроме	1	1
440	не могущий	1	1
441	оно было	1	1
442	не будем	3	1
443	науки искусства	1	1
444	он как	2	1
445	и должно	1	1
446	отношения к	1	1
447	всякого человека	1	1
448	это лишь	1	1
449	нет места	1	1
450	в предыдущем	1	1
451	но фактически	1	1
452	найти и	3	1
453	хотя ее	1	1
454	несмотря на	7	1
455	людей но	5	1
456	другого человека	1	1
457	была бы	3	1
458	нечто подобное	1	1
459	ним в	2	1
460	которых он	1	1
461	из всех	2	1
462	и наконец	4	1
463	художественного творчества	10	1
464	для всего	2	1
465	это значит	3	1
466	хотя и	10	1
467	мало одного	1	1
468	содержит в	1	1
469	уже с	1	1
470	ни на	2	1
471	не сказали	1	1
472	тобой и	1	1
473	или нет	1	1
474	и из	1	1
475	имеет с	1	1
476	как раз	7	1
477	что теория	1	1
478	не изолирован	1	1
479	в литературе	5	1
480	творчества но	1	1
481	и единственным	1	1
482	содержания нет	1	1
483	день и	1	1
484	причем все	1	1
485	ее в	2	1
486	а затем	1	1
487	и тут	4	1
488	поэтому в	1	1
489	и сама	4	1
490	я во	1	1
491	можно сказать	10	1
492	ориентации в	1	1
493	в человеке	1	1
494	только при	1	1
495	но где	1	1
496	к выводу	1	1
497	являются здесь	1	1
498	науки и	2	1
499	а есть	1	1
500	одно из	2	1
501	в отношении	8	1
502	человеку в	1	1
503	это слово	1	1
504	однако он	1	1
505	же не	4	1
506	в результате	11	1
507	или иную	1	1
508	здесь в	7	1
509	они будут	1	1
510	есть это	1	1
511	не от	1	1
512	уже нет	1	1
513	этот термин	1	1
514	должен поступать	2	1
515	до их	1	1
516	то только	3	1
517	нет никакого	6	1
518	бы что	1	1
519	и всякого	1	1
520	в третьем	1	1
521	основана на	1	1
522	него нет	1	1
523	функции в	1	1
524	но такое	1	1
525	другого как	2	1
526	все равно	1	1
527	отвлечься от	2	1
528	нельзя жить	1	1
529	она становится	1	1
530	всеми другими	1	1
531	только он	1	1
532	самого и	1	1
533	не сможет	1	1
534	творчества и	1	1
535	дать в	1	1
536	чем в	1	1
537	поэтому и	4	1
538	не мир	1	1
539	бы только	1	1
540	и даже	24	1
541	к его	5	1
